phase,dataset,trial_id,profile_id,seed,horizon,test_mse,test_mae,complete,checkpoint_sha256
H2,ECL,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,96,0.11683624645800295,0.21495666344707656,True,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1
H2,ECL,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,192,0.136800277881022,0.23298019228555047,True,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1
H2,ECL,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,336,0.1562018226091565,0.2509450912429564,True,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1
H2,ECL,ECL__h2_intermediate_capacity,h2_intermediate_capacity,2021,720,0.19666098558669823,0.28365932758789697,True,97cf661db7fbf6d09e39c9f3f9f59c0a9817bba4d73b33c4e8a8219f6e5b85e1
H4J,ETTh1,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,96,0.351976402970048,0.39123289011502366,True,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814
H4J,ETTh1,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,192,0.3781118196471161,0.4064746981892506,True,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814
H4J,ETTh1,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,336,0.39353640120983735,0.41980139259626054,True,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814
H4J,ETTh1,ETTh1__h4j_lr3e4,h4j_lr3e4,2021,720,0.45045415910275827,0.46662598434351565,True,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,96,0.2405494467507989,0.3144207512151374,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,192,0.28245514440266534,0.34509201304952075,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
