dataset,target_horizon,hierarchical_mse,reference_mse,mse_abs_diff,hierarchical_mae,reference_mae,mae_abs_diff
Weather,96,0.14136819541454315,0.14136819541454315,0.0,0.18159954249858856,0.18159954249858856,0.0
Weather,192,0.18240033090114594,0.18240033090114594,0.0,0.22314205765724182,0.22314205765724182,0.0
Weather,336,0.2316502183675766,0.2316502183675766,0.0,0.26356613636016846,0.26356613636016846,0.0
Weather,720,0.3030458390712738,0.3030458390712738,0.0,0.3143439292907715,0.3143439292907715,0.0
