baseline,dataset,horizon,repeat,seed_contract,mse,mae,checkpoint,checkpoint_sha256,test_role
SimpleTM,ETTh1,96,0,fix_seed_2025_advancing_rng_across_itr,0.3658614456653595,0.3923591375350952,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_96_32_32_1_db1_None_3_0.3_0.0005_0.02_TST_256_2025_1_0/checkpoint.pth,0c8fae7f0289022f5c599e1253232e15040c3beeb793dfac160840ad7d1c09ad,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,96,1,fix_seed_2025_advancing_rng_across_itr,0.3683823347091675,0.3940165340900421,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_96_32_32_1_db1_None_3_0.3_0.0005_0.02_TST_256_2025_1_1/checkpoint.pth,62dd00f7a340a886a24398d7f5b3a25a8c49b4ffc428885dab25bc61729ab3b1,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,96,2,fix_seed_2025_advancing_rng_across_itr,0.3673595190048218,0.3936218321323395,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_96_32_32_1_db1_None_3_0.3_0.0005_0.02_TST_256_2025_1_2/checkpoint.pth,ba670bee7f4e9c8be564cd00cf575a7c5b3d432785d5bfae537a336628a22ebc,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,192,0,fix_seed_2025_advancing_rng_across_itr,0.4219970107078552,0.4212891459465027,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_192_32_32_1_db1_None_3_1.0_5e-05_0.02_TST_256_2025_1_0/checkpoint.pth,50ec14827d62d8c5233d12d58476471fb408c68f97dbeb742f4db7d0e6b2a896,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,192,1,fix_seed_2025_advancing_rng_across_itr,0.44303667545318604,0.4380435049533844,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_192_32_32_1_db1_None_3_1.0_5e-05_0.02_TST_256_2025_1_1/checkpoint.pth,762474dd3ac62633ac5ccbb9438bfbff920e13fdc0aca6380db936589d92c95f,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,192,2,fix_seed_2025_advancing_rng_across_itr,0.42099204659461975,0.4217897057533264,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_192_32_32_1_db1_None_3_1.0_5e-05_0.02_TST_256_2025_1_2/checkpoint.pth,b4cf51e01a33e53e6aaa24835dd4d3d78186f19b12195e21a63cf99ea68194bc,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,336,0,fix_seed_2025_advancing_rng_across_itr,0.45219913125038147,0.4481745958328247,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_336_64_64_4_db1_None_3_0.0_0.0_0.002_TST_256_2025_1_0/checkpoint.pth,06e601f8d1d90679432202b6cf8ca321f5f5c9000630c3bfab8b2a75832a33bc,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,336,1,fix_seed_2025_advancing_rng_across_itr,0.4357684552669525,0.4390801191329956,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_336_64_64_4_db1_None_3_0.0_0.0_0.002_TST_256_2025_1_1/checkpoint.pth,aaae4bd33af36ff47bb3f565428ab9f24e923cd6d063b03cbb9ec1a94a978e42,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,336,2,fix_seed_2025_advancing_rng_across_itr,0.4525415003299713,0.44890567660331726,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_336_64_64_4_db1_None_3_0.0_0.0_0.002_TST_256_2025_1_2/checkpoint.pth,41b9317e838b872e3283c7f6b6f82eb2d1b37abe9c2e6be0a48d3394da220c62,official_test_once_after_validation_selected_checkpoint
SimpleTM,ETTh1,720,0,fix_seed_2025_advancing_rng_across_itr,0.476279079914093,0.46892720460891724,/home/yingch/exp_outputs/r-2026-fatst/amd_simpletm_main_i_7dataset_20260807_recovery/runs/SimpleTM__ETTh1/workspace/source/checkpoints/ETTh1_ETTh1_96_720_32_32_1_db1_None_1_0.9_0.0005_0.009_TST_256_2025_1_0/checkpoint.pth,aa62819f515a2062aa81faa5f0908281b3557681163e5bf3c4380272af0267c9,official_test_once_after_validation_selected_checkpoint
