comparison,metric,candidate,reference,macro_gain_percent,cell_wins,dataset_wins,horizon_wins,positive_seed_macros
independent_over_q1_wide,mse,iscf_v0,iscf_q1_wide,0.8496192473416335,43,5,4,2
independent_over_q1_wide,mae,iscf_v0,iscf_q1_wide,0.5995544383583423,47,4,4,2
canonical_over_random_partition,mse,iscf_v0,iscf_random_partition,-0.19902082160633475,24,1,0,1
canonical_over_random_partition,mae,iscf_v0,iscf_random_partition,-0.434692835200034,17,1,0,0
iscf_over_a6_full_context,mse,iscf_v0,a6_full,1.3584022731264598,49,5,4,3
iscf_over_a6_full_context,mae,iscf_v0,a6_full,0.9144321893551691,45,5,4,3
