comparison,metric,dataset,seed,horizon,gain_percent,candidate_value,reference_value
independent_over_q1_wide,mse,Weather,2021,96,0.5895057776782231,0.14248069210844252,0.1433256048298065
independent_over_q1_wide,mse,Weather,2021,192,0.20593118559193435,0.18541769931965432,0.18580032012171457
independent_over_q1_wide,mse,Weather,2021,336,-0.31025049752242406,0.23774543095401202,0.23701010592121302
independent_over_q1_wide,mse,Weather,2021,720,-0.8573051647605467,0.31143443416416394,0.3087871856732683
independent_over_q1_wide,mse,Weather,2022,96,-0.6605848201375331,0.14330906065681942,0.1423685953274433
independent_over_q1_wide,mse,Weather,2022,192,-0.7154613551689115,0.18596762440272982,0.18464654969600217
independent_over_q1_wide,mse,Weather,2022,336,-0.5798904196745891,0.2362805230355473,0.23491825458315282
independent_over_q1_wide,mse,Weather,2022,720,-0.3261329334416585,0.3077601330031429,0.30675968863199093
independent_over_q1_wide,mse,Weather,2023,96,0.6651882756388505,0.14254475867990465,0.1434992991937655
independent_over_q1_wide,mse,Weather,2023,192,0.8892939811770528,0.18493378719838538,0.186593148840311
independent_over_q1_wide,mse,Weather,2023,336,1.5565719029779324,0.2350700845423047,0.238786975511081
independent_over_q1_wide,mse,Weather,2023,720,1.2737856792240487,0.3074132987469165,0.3113796075965048
independent_over_q1_wide,mse,ETTm1,2021,96,0.12434751584641246,0.2890729628886925,0.28943286546694375
independent_over_q1_wide,mse,ETTm1,2021,192,1.2836251910706253,0.32630321943829477,0.3305461936480867
independent_over_q1_wide,mse,ETTm1,2021,336,0.9151513150994717,0.3670505633338473,0.3704406558676835
independent_over_q1_wide,mse,ETTm1,2021,720,0.2272278724229304,0.4244134471424136,0.425380029132323
independent_over_q1_wide,mse,ETTm1,2022,96,3.5856712325924245,0.2788751672822824,0.28924659938778197
independent_over_q1_wide,mse,ETTm1,2022,192,2.10914742682784,0.3212494120287227,0.3281710227098011
independent_over_q1_wide,mse,ETTm1,2022,336,2.106629690588102,0.3612881142054833,0.36906290289481175
independent_over_q1_wide,mse,ETTm1,2022,720,1.389903190512165,0.42060664613979426,0.426535070696052
independent_over_q1_wide,mse,ETTm1,2023,96,0.36694319229833017,0.2885016375497378,0.28956417357199515
independent_over_q1_wide,mse,ETTm1,2023,192,0.09192404775504315,0.32642438086690384,0.3267247194540423
