dataset,proxy,unit_len,num_units,spearman_proxy_mse,pearson_proxy_mse,spearman_proxy_detrended_mse,pearson_proxy_detrended_mse,top_quartile_overlap,top_quartile_detrended_overlap,proxy_mean,proxy_std
ETTh2,label_novelty,48,15,0.9857,0.9342,0.0500,0.0855,1.0000,0.5000,1.1092651761,0.2685301181
ETTh2,local_variation,48,15,-0.6679,-0.6083,0.0893,0.1572,0.0000,0.2500,0.0844764923,0.0001437200
ETTh2,seasonal_residual,48,15,-0.7357,-0.6945,0.3500,0.4126,0.0000,0.5000,0.3739726080,0.0078716834
ETTm1,label_novelty,48,15,0.9857,0.9812,-0.1679,0.4105,0.7500,0.0000,0.9392068462,0.0936103773
ETTm1,local_variation,48,15,0.8964,0.8305,-0.2929,-0.1787,0.7500,0.2500,0.0465413271,0.0001383777
ETTm1,seasonal_residual,48,15,-0.7893,-0.7457,0.5893,0.3437,0.0000,0.5000,0.4698313534,0.0009420178
Weather,label_novelty,48,15,0.5464,0.5984,-0.0214,0.3526,0.2500,0.5000,1.2536436664,0.2272575728
Weather,local_variation,48,15,-0.5607,-0.3753,0.7536,0.5737,0.0000,0.7500,0.2240353954,0.0001202868
Weather,seasonal_residual,48,15,-0.0964,0.0149,0.8107,0.7232,0.0000,0.5000,0.8068097684,0.0011672317
