dataset,proxy,unit_start,unit_end,mse,detrended_mse,proxy_value,is_raw_top_quartile,is_detrended_top_quartile,is_proxy_top_quartile
ETTm1,local_variation,576,624,0.4833036179,-0.0022595840,0.0467313460,1,0,1
ETTm1,local_variation,624,672,0.4786403099,-0.0224546497,0.0467030915,1,0,1
ETTm1,local_variation,672,720,0.4948667252,-0.0217599920,0.0467573876,1,0,1
ETTm1,seasonal_residual,0,48,0.2485612384,-0.0506208715,0.4705150042,0,0,0
ETTm1,seasonal_residual,48,96,0.2976033955,-0.0171104720,0.4703922431,0,0,0
ETTm1,seasonal_residual,96,144,0.3435765604,0.0133309352,0.4710459783,0,0,1
ETTm1,seasonal_residual,144,192,0.3476897341,0.0019123512,0.4705771000,0,0,0
ETTm1,seasonal_residual,192,240,0.3843629995,0.0230538590,0.4708253228,0,1,1
ETTm1,seasonal_residual,240,288,0.3889751794,0.0121342812,0.4706282643,0,0,1
ETTm1,seasonal_residual,288,336,0.4194784944,0.0271058385,0.4709131193,0,1,1
ETTm1,seasonal_residual,336,384,0.4216429515,0.0137385379,0.4700038077,0,1,0
ETTm1,seasonal_residual,384,432,0.4390500828,0.0156139116,0.4701327062,0,1,0
ETTm1,seasonal_residual,432,480,0.4387993311,-0.0001685978,0.4689671594,0,0,0
ETTm1,seasonal_residual,480,528,0.4635373241,0.0090376375,0.4692042717,0,0,0
ETTm1,seasonal_residual,528,576,0.4684782591,-0.0015531851,0.4684318447,1,0,0
ETTm1,seasonal_residual,576,624,0.4833036179,-0.0022595840,0.4686575217,1,0,0
ETTm1,seasonal_residual,624,672,0.4786403099,-0.0224546497,0.4685008288,1,0,0
ETTm1,seasonal_residual,672,720,0.4948667252,-0.0217599920,0.4686751282,1,0,0
Weather,label_novelty,0,48,0.1116440726,-0.0658734858,0.7546407856,0,0,0
Weather,label_novelty,48,96,0.1710734916,-0.0244272134,1.3277608343,0,0,0
Weather,label_novelty,96,144,0.2050753835,-0.0084084680,0.9926756455,0,0,0
Weather,label_novelty,144,192,0.2419558522,0.0104888541,1.0611620817,0,0,0
Weather,label_novelty,192,240,0.2750721501,0.0256220054,1.4780980573,0,1,1
Weather,label_novelty,240,288,0.2978052938,0.0303720025,1.1350680972,0,1,0
Weather,label_novelty,288,336,0.3197135966,0.0342971588,1.1765422923,0,1,0
Weather,label_novelty,336,384,0.3359127867,0.0325132023,1.5560233996,0,1,1
Weather,label_novelty,384,432,0.3442751307,0.0228923997,1.1963745678,0,0,0
Weather,label_novelty,432,480,0.3564850026,0.0171191251,1.2206897426,0,0,0
Weather,label_novelty,480,528,0.3669999055,0.0096508814,1.6013818679,0,0,1
Weather,label_novelty,528,576,0.3708838418,-0.0044483289,1.2232679491,1,0,0
Weather,label_novelty,576,624,0.3784516598,-0.0148636574,1.2378051327,1,0,0
Weather,label_novelty,624,672,0.3865862494,-0.0247122144,1.6091368539,1,0,1
Weather,label_novelty,672,720,0.3890593490,-0.0402222614,1.2340276893,1,0,0
Weather,local_variation,0,48,0.1116440726,-0.0658734858,0.2240430826,0,0,0
Weather,local_variation,48,96,0.1710734916,-0.0244272134,0.2240503210,0,0,0
Weather,local_variation,96,144,0.2050753835,-0.0084084680,0.2240621104,0,0,0
Weather,local_variation,144,192,0.2419558522,0.0104888541,0.2240909679,0,0,0
Weather,local_variation,192,240,0.2750721501,0.0256220054,0.2241109967,0,1,0
Weather,local_variation,240,288,0.2978052938,0.0303720025,0.2241406177,0,1,1
Weather,local_variation,288,336,0.3197135966,0.0342971588,0.2242746047,0,1,1
Weather,local_variation,336,384,0.3359127867,0.0325132023,0.2241381271,0,1,1
Weather,local_variation,384,432,0.3442751307,0.0228923997,0.2241488304,0,0,1
Weather,local_variation,432,480,0.3564850026,0.0171191251,0.2239952491,0,0,0
Weather,local_variation,480,528,0.3669999055,0.0096508814,0.2238881479,0,0,0
Weather,local_variation,528,576,0.3708838418,-0.0044483289,0.2239926017,1,0,0
Weather,local_variation,576,624,0.3784516598,-0.0148636574,0.2238563633,1,0,0
Weather,local_variation,624,672,0.3865862494,-0.0247122144,0.2238290173,1,0,0
Weather,local_variation,672,720,0.3890593490,-0.0402222614,0.2239098935,1,0,0
Weather,seasonal_residual,0,48,0.1116440726,-0.0658734858,0.8062815496,0,0,0
Weather,seasonal_residual,48,96,0.1710734916,-0.0244272134,0.8064418175,0,0,0
Weather,seasonal_residual,96,144,0.2050753835,-0.0084084680,0.8065278240,0,0,0
Weather,seasonal_residual,144,192,0.2419558522,0.0104888541,0.8065244589,0,0,0
Weather,seasonal_residual,192,240,0.2750721501,0.0256220054,0.8066845141,0,1,0
Weather,seasonal_residual,240,288,0.2978052938,0.0303720025,0.8071783347,0,1,0
Weather,seasonal_residual,288,336,0.3197135966,0.0342971588,0.8079100971,0,1,1
Weather,seasonal_residual,336,384,0.3359127867,0.0325132023,0.8080923387,0,1,1
Weather,seasonal_residual,384,432,0.3442751307,0.0228923997,0.8087188075,0,0,1
Weather,seasonal_residual,432,480,0.3564850026,0.0171191251,0.8083125871,0,0,1
Weather,seasonal_residual,480,528,0.3669999055,0.0096508814,0.8074498593,0,0,0
Weather,seasonal_residual,528,576,0.3708838418,-0.0044483289,0.8070238020,1,0,0
Weather,seasonal_residual,576,624,0.3784516598,-0.0148636574,0.8056608869,1,0,0
Weather,seasonal_residual,624,672,0.3865862494,-0.0247122144,0.8047615816,1,0,0
Weather,seasonal_residual,672,720,0.3890593490,-0.0402222614,0.8045780667,1,0,0
