dataset,arm,epochs,first_val_mean_mse,best_epoch,best_val_mean_mse,last_val_mean_mse,last_minus_best_pct,first_minus_best_pct,train_h720_l1_last,train_h96_l1_last,train_h720_vs_h96_l1_ratio_last
ETTh2,a6_lbf_r256,10,0.4232694730,3,0.4175242931,0.4586698934,9.8547,1.3760,0.4681576051,0.3157917509,1.4825
ETTm1,a6_lbf_r256,10,0.6221131980,9,0.6014749184,0.6019416898,0.0776,3.4313,0.4260417978,0.3269201046,1.3032
Weather,a6_lbf_r256,10,0.4995764717,5,0.4887669683,0.4903529063,0.3245,2.2116,0.3924868991,0.2664738390,1.4729
