short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.4335822568108114e-14,6.647076133958763e-08,0.0
192,720,1.3218236286072476e-14,6.336562563546977e-08,0.0
336,720,9.433549082139229e-15,4.9184926353973424e-08,0.0
