comparison,role,metric,candidate,reference,dataset,horizon,gain_percent,candidate_value,reference_value
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,Weather,96,1.8424338031604814,0.14280098390433107,0.14548138206479796
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,Weather,192,1.4891707018310774,0.18398657557923903,0.18676786794917266
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,Weather,336,1.2986174109366866,0.23405307602961206,0.23713252022423698
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,Weather,720,1.3591556982049946,0.3045573192155346,0.3087537635867462
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm1,96,2.4994968827419584,0.287551725814144,0.2949233251323049
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm1,192,1.8319278675969275,0.3274844699633159,0.3335957026044323
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm1,336,1.8691244537314966,0.3651728281194414,0.37212837049157194
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm1,720,2.048099895984412,0.4214201815437537,0.4302317577262367
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm2,96,1.6368267021853122,0.16118568345568354,0.16386791728207142
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm2,192,0.7077618919386408,0.21725004419200847,0.21879861742624002
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm2,336,0.9655003177333921,0.2717103614477961,0.27435930137429604
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTm2,720,1.6573158415942313,0.35036079535943987,0.35626523554624073
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh1,96,2.8110280502336993,0.3580029001691447,0.3683575337685271
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh1,192,2.0842507247607056,0.3895088559213071,0.3978000054173156
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh1,336,2.268354538675188,0.4092353839706897,0.41873374999363516
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh1,720,3.220213958159035,0.4613577129774465,0.4767087548405893
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh2,96,2.786318854837644,0.2471837242444889,0.2542684541236401
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh2,192,1.7748337974967443,0.29248092182901353,0.2977657693406475
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh2,336,1.1037965026435836,0.328793732314789,0.33246345227355256
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,ETTh2,720,2.2697561219024776,0.4082652449088857,0.417747084943459
measure_effect_on_a6,diagnostic_decomposition,mae,a6_measure,a6_full,Weather,96,2.4323737524812095,0.18364199391137656,0.18822021296848626
measure_effect_on_a6,diagnostic_decomposition,mae,a6_measure,a6_full,Weather,192,1.482210596074962,0.2255833944320902,0.22897732053973874
measure_effect_on_a6,diagnostic_decomposition,mae,a6_measure,a6_full,Weather,336,1.0120039624116783,0.2664903742512376,0.269214839090231
