comparison,role,metric,candidate,reference,macro_gain_percent,cell_wins,dataset_wins,horizon_wins
measure_effect_on_a6,diagnostic_decomposition,mse,a6_measure,a6_full,1.8761992008174344,20,5,4
measure_effect_on_a6,diagnostic_decomposition,mae,a6_measure,a6_full,1.2981894226113722,20,5,4
pcsd_architecture_under_measure,diagnostic_decomposition,mse,pcsd_measure,a6_measure,-0.865750200780786,8,2,0
pcsd_architecture_under_measure,diagnostic_decomposition,mae,pcsd_measure,a6_measure,-0.626291582912265,5,0,0
equal_skill_effect_on_pcsd,diagnostic_decomposition,mse,pcsd_equal,pcsd_measure,0.017724580404080426,9,2,2
equal_skill_effect_on_pcsd,diagnostic_decomposition,mae,pcsd_equal,pcsd_measure,-0.2880423606111443,8,2,1
equal_skill_effect_on_siff,diagnostic_decomposition,mse,siff_equal,siff_measure,2.099054270773737,19,5,4
equal_skill_effect_on_siff,diagnostic_decomposition,mae,siff_equal,siff_measure,1.4488923627168644,20,5,4
siff_architecture_under_measure,claim_narrowing,mse,siff_measure,pcsd_measure,-1.5258866759449596,4,1,0
siff_architecture_under_measure,claim_narrowing,mae,siff_measure,pcsd_measure,-1.244893057739056,0,0,0
siff_equal_over_a6_full,hard_gate,mse,siff_equal,a6_full,1.6435773728978327,17,4,4
siff_equal_over_a6_full,hard_gate,mae,siff_equal,a6_full,0.9083527627092691,16,5,4
siff_equal_over_a6_measure,hard_gate,mse,siff_equal,a6_measure,-0.23659407435787594,10,2,1
siff_equal_over_a6_measure,hard_gate,mae,siff_equal,a6_measure,-0.3960936376217111,9,3,0
siff_equal_over_pcsd_equal,hard_gate,mse,siff_equal,pcsd_equal,0.5906180909420944,14,3,4
siff_equal_over_pcsd_equal,hard_gate,mae,siff_equal,pcsd_equal,0.506869214282144,15,4,4
ordered_over_constant_equal,hard_gate,mse,siff_equal,siff_constant_equal,0.9392604763023571,19,5,4
ordered_over_constant_equal,hard_gate,mae,siff_equal,siff_constant_equal,1.0296189475518147,19,5,4
ordered_over_permuted_equal,hard_gate,mse,siff_equal,siff_permuted_equal,0.3958956822125276,14,3,4
ordered_over_permuted_equal,hard_gate,mae,siff_equal,siff_permuted_equal,0.49886396960212354,14,4,4
ordered_over_q1_wide_equal,hard_gate,mse,siff_equal,siff_q1_wide_equal,1.1618626882397909,18,4,4
ordered_over_q1_wide_equal,hard_gate,mae,siff_equal,siff_q1_wide_equal,0.9358595895704802,15,5,4
ordered_over_independent_equal,hard_gate,mse,siff_equal,siff_independent_equal,0.25804728246195785,12,3,4
ordered_over_independent_equal,hard_gate,mae,siff_equal,siff_independent_equal,0.2847839242168587,12,3,4
