baseline,dataset,horizon,baseline_mse,candidate_mse,delta_mse,relative_mse_change,baseline_mae,candidate_mae,delta_mae,relative_mae_change,baseline_epochs,candidate_epochs,baseline_parameter_count,candidate_parameter_count,parameter_ratio,candidate_passes_mse
PatchEncoderFixedHead,ETTh2,96,0.3074484169483185,0.32162752747535706,0.014179110527038574,0.046118664938262006,0.36609065532684326,0.3711831867694855,0.005092531442642212,0.013910574794911479,13,17,921184,1087456,1.1804981415222149,False
PatchEncoderFixedHead,ETTh2,192,0.37734004855155945,0.408347487449646,0.031007438898086548,0.0821737290200452,0.4069473147392273,0.42434200644493103,0.017394691705703735,0.042744333420286336,12,17,1437376,1603904,1.1158555590186563,False
PatchEncoderFixedHead,ETTh2,336,0.3841150403022766,0.37559330463409424,-0.008521735668182373,-0.02218537358359166,0.4212876260280609,0.41340965032577515,-0.007877975702285767,-0.01869975573828279,13,11,2211664,2378576,1.075468968161529,True
PatchEncoderFixedHead,ETTh2,720,0.4074031412601471,0.40287068486213684,-0.004532456398010254,-0.011125236747048193,0.4438471794128418,0.4398919343948364,-0.003955245018005371,-0.008911276676890682,11,12,4276432,4444368,1.039270120511679,True
PatchEncoderFixedHead,ETTm1,96,0.29047533869743347,0.28876325488090515,-0.0017120838165283203,-0.0058940763240203,0.3442326486110687,0.34322261810302734,-0.0010100305080413818,-0.0029341508195597243,14,13,921184,1087456,1.1804981415222149,True
PatchEncoderFixedHead,ETTm1,192,0.3377011716365814,0.32705798745155334,-0.010643184185028076,-0.03151657464926354,0.3733891248703003,0.3696807324886322,-0.003708392381668091,-0.009931709668716867,14,13,1437376,1603904,1.1158555590186563,True
PatchEncoderFixedHead,ETTm1,336,0.361540287733078,0.36233264207839966,0.0007923543453216553,0.002191607331757847,0.3907651901245117,0.39004436135292053,-0.0007208287715911865,-0.0018446596314311025,11,11,2211664,2378576,1.075468968161529,False
PatchEncoderFixedHead,ETTm1,720,0.412788063287735,0.40677523612976074,-0.006012827157974243,-0.014566378470549392,0.42070141434669495,0.4176936149597168,-0.0030077993869781494,-0.007149487223970819,11,11,4276432,4444368,1.039270120511679,True
PatchEncoderFixedHead,Weather,96,0.14708691835403442,0.14853712916374207,0.0014502108097076416,0.009859549890201803,0.1950538456439972,0.19802692532539368,0.0029730796813964844,0.015242353574626798,16,13,921184,1087456,1.1804981415222149,False
PatchEncoderFixedHead,Weather,192,0.19520847499370575,0.19385626912117004,-0.0013522058725357056,-0.006926983434399073,0.24188493192195892,0.24242807924747467,0.0005431473255157471,0.002245478133755709,15,17,1437376,1603904,1.1158555590186563,True
PatchEncoderFixedHead,Weather,336,0.25078684091567993,0.24649055302143097,-0.004296287894248962,-0.017131233355634753,0.28711846470832825,0.27889126539230347,-0.00822719931602478,-0.028654372070366325,16,13,2211664,2378576,1.075468968161529,True
PatchEncoderFixedHead,Weather,720,0.32312721014022827,0.3280617892742157,0.004934579133987427,0.015271320331846878,0.33546921610832214,0.33604931831359863,0.0005801022052764893,0.0017292263415584926,12,14,4276432,4444368,1.039270120511679,False
