baseline,dataset,horizon,segment,baseline_mse,candidate_mse,delta_mse,relative_mse_change,candidate_passes_mse
PatchEncoderFixedHeadAdapter,ETTh2,96,1-96,0.30123046040534973,0.32162752747535706,0.020397067070007324,0.06771249840590517,False
PatchEncoderFixedHeadAdapter,ETTh2,192,1-96,0.3329656422138214,0.3248440623283386,-0.008121579885482788,-0.024391645430693814,True
PatchEncoderFixedHeadAdapter,ETTh2,192,97-192,0.4499402344226837,0.491850882768631,0.041910648345947266,0.09314714519745634,False
PatchEncoderFixedHeadAdapter,ETTh2,336,1-96,0.28478601574897766,0.27831006050109863,-0.006475955247879028,-0.02273972347570327,True
PatchEncoderFixedHeadAdapter,ETTh2,336,97-192,0.3935405910015106,0.3854296803474426,-0.008110910654067993,-0.020610099287158054,True
PatchEncoderFixedHeadAdapter,ETTh2,336,193-336,0.4448659121990204,0.4338912069797516,-0.010974705219268799,-0.02466969241365256,True
PatchEncoderFixedHeadAdapter,ETTh2,720,1-96,0.25333839654922485,0.25473055243492126,0.0013921558856964111,0.005495242350386901,False
PatchEncoderFixedHeadAdapter,ETTh2,720,97-192,0.33585748076438904,0.33789119124412537,0.002033710479736328,0.006055278194511969,False
PatchEncoderFixedHeadAdapter,ETTh2,720,193-336,0.35477086901664734,0.348388671875,-0.006382197141647339,-0.017989631333986046,True
PatchEncoderFixedHeadAdapter,ETTh2,720,337-720,0.4739055335521698,0.4765813648700714,0.0026758313179016113,0.005646339045346983,False
PatchEncoderFixedHeadAdapter,ETTm1,96,1-96,0.2897811233997345,0.28876325488090515,-0.0010178685188293457,-0.0035125425248119465,True
PatchEncoderFixedHeadAdapter,ETTm1,192,1-96,0.29978907108306885,0.2908068299293518,-0.008982241153717041,-0.02996186992830083,True
PatchEncoderFixedHeadAdapter,ETTm1,192,97-192,0.3676954209804535,0.3633090853691101,-0.004386335611343384,-0.011929263627072906,True
PatchEncoderFixedHeadAdapter,ETTm1,336,1-96,0.29980218410491943,0.2974063754081726,-0.002395808696746826,-0.007991298341937307,True
PatchEncoderFixedHeadAdapter,ETTm1,336,97-192,0.37194138765335083,0.36550846695899963,-0.006432920694351196,-0.01729552264924783,True
PatchEncoderFixedHeadAdapter,ETTm1,336,193-336,0.4108257293701172,0.4034995436668396,-0.007326185703277588,-0.01783283075894536,True
PatchEncoderFixedHeadAdapter,ETTm1,720,1-96,0.30194997787475586,0.3006395995616913,-0.0013103783130645752,-0.004339719851240061,True
PatchEncoderFixedHeadAdapter,ETTm1,720,97-192,0.36912333965301514,0.367371141910553,-0.0017521977424621582,-0.0047469166921529984,True
PatchEncoderFixedHeadAdapter,ETTm1,720,193-336,0.4117748737335205,0.40825438499450684,-0.003520488739013672,-0.008549547249189252,True
PatchEncoderFixedHeadAdapter,ETTm1,720,337-720,0.44770434498786926,0.44260549545288086,-0.005098849534988403,-0.011388876592489982,True
PatchEncoderFixedHeadAdapter,Weather,96,1-96,0.1495135873556137,0.14853712916374207,-0.0009764581918716431,-0.006530899359328231,True
PatchEncoderFixedHeadAdapter,Weather,192,1-96,0.1518111377954483,0.1502218097448349,-0.0015893280506134033,-0.010469113621655864,True
PatchEncoderFixedHeadAdapter,Weather,192,97-192,0.23809950053691864,0.2374907284975052,-0.0006087720394134521,-0.0025567967931081764,True
PatchEncoderFixedHeadAdapter,Weather,336,1-96,0.15427136421203613,0.15261195600032806,-0.0016594082117080688,-0.010756424046573662,True
PatchEncoderFixedHeadAdapter,Weather,336,97-192,0.2407510131597519,0.2376072257757187,-0.003143787384033203,-0.013058251937436802,True
PatchEncoderFixedHeadAdapter,Weather,336,193-336,0.3181469738483429,0.3149985074996948,-0.0031484663486480713,-0.009896263700276181,True
PatchEncoderFixedHeadAdapter,Weather,720,1-96,0.15336692333221436,0.15025337040424347,-0.0031135529279708862,-0.020301332649325515,True
PatchEncoderFixedHeadAdapter,Weather,720,97-192,0.23802396655082703,0.23453916609287262,-0.0034848004579544067,-0.014640544431101526,True
PatchEncoderFixedHeadAdapter,Weather,720,193-336,0.31843969225883484,0.3189389705657959,0.0004992783069610596,0.0015678896792653445,False
PatchEncoderFixedHeadAdapter,Weather,720,337-720,0.3952022194862366,0.39931556582450867,0.004113346338272095,0.010408206572370597,False
