model,dataset,horizon,seed,mse,mae,epochs,parameter_count
PatchEncoderFixedHead,ETTh2,96,2021,0.3074484169483185,0.36609065532684326,13,921184
PatchEncoderFixedHead,ETTh2,192,2021,0.37734004855155945,0.4069473147392273,12,1437376
PatchEncoderFixedHead,ETTh2,336,2021,0.3841150403022766,0.4212876260280609,13,2211664
PatchEncoderFixedHead,ETTh2,720,2021,0.4074031412601471,0.4438471794128418,11,4276432
PatchEncoderFixedHead,ETTm1,96,2021,0.29047533869743347,0.3442326486110687,14,921184
PatchEncoderFixedHead,ETTm1,192,2021,0.3377011716365814,0.3733891248703003,14,1437376
PatchEncoderFixedHead,ETTm1,336,2021,0.361540287733078,0.3907651901245117,11,2211664
PatchEncoderFixedHead,ETTm1,720,2021,0.412788063287735,0.42070141434669495,11,4276432
PatchEncoderFixedHead,Weather,96,2021,0.14708691835403442,0.1950538456439972,16,921184
PatchEncoderFixedHead,Weather,192,2021,0.19520847499370575,0.24188493192195892,15,1437376
PatchEncoderFixedHead,Weather,336,2021,0.25078684091567993,0.28711846470832825,16,2211664
PatchEncoderFixedHead,Weather,720,2021,0.32312721014022827,0.33546921610832214,12,4276432
PatchEncoderFixedHeadAdapter,ETTh2,96,2021,0.30123046040534973,0.36003977060317993,12,1066816
PatchEncoderFixedHeadAdapter,ETTh2,192,2021,0.3914529085159302,0.4186992049217224,14,1583264
PatchEncoderFixedHeadAdapter,ETTh2,336,2021,0.3844643831253052,0.4182983636856079,11,2357936
PatchEncoderFixedHeadAdapter,ETTh2,720,2021,0.40226325392723083,0.4394509792327881,11,4423728
PatchEncoderFixedHeadAdapter,ETTm1,96,2021,0.2897811233997345,0.3464817702770233,15,1066816
PatchEncoderFixedHeadAdapter,ETTm1,192,2021,0.3337422311306,0.37124085426330566,11,1583264
PatchEncoderFixedHeadAdapter,ETTm1,336,2021,0.36799493432044983,0.39499378204345703,12,2357936
PatchEncoderFixedHeadAdapter,ETTm1,720,2021,0.4106070399284363,0.42123308777809143,11,4423728
PatchEncoderFixedHeadAdapter,Weather,96,2021,0.1495135873556137,0.20226888358592987,12,1066816
PatchEncoderFixedHeadAdapter,Weather,192,2021,0.19495533406734467,0.24255649745464325,15,1583264
PatchEncoderFixedHeadAdapter,Weather,336,2021,0.24921225011348724,0.28483790159225464,14,2357936
PatchEncoderFixedHeadAdapter,Weather,720,2021,0.32664790749549866,0.34054994583129883,12,4423728
PatchEncoderStepSpecificStateAdapter,ETTh2,96,2021,0.32162752747535706,0.3711831867694855,17,1087456
PatchEncoderStepSpecificStateAdapter,ETTh2,192,2021,0.408347487449646,0.42434200644493103,17,1603904
PatchEncoderStepSpecificStateAdapter,ETTh2,336,2021,0.37559330463409424,0.41340965032577515,11,2378576
PatchEncoderStepSpecificStateAdapter,ETTh2,720,2021,0.40287068486213684,0.4398919343948364,12,4444368
PatchEncoderStepSpecificStateAdapter,ETTm1,96,2021,0.28876325488090515,0.34322261810302734,13,1087456
PatchEncoderStepSpecificStateAdapter,ETTm1,192,2021,0.32705798745155334,0.3696807324886322,13,1603904
PatchEncoderStepSpecificStateAdapter,ETTm1,336,2021,0.36233264207839966,0.39004436135292053,11,2378576
PatchEncoderStepSpecificStateAdapter,ETTm1,720,2021,0.40677523612976074,0.4176936149597168,11,4444368
PatchEncoderStepSpecificStateAdapter,Weather,96,2021,0.14853712916374207,0.19802692532539368,13,1087456
PatchEncoderStepSpecificStateAdapter,Weather,192,2021,0.19385626912117004,0.24242807924747467,17,1603904
PatchEncoderStepSpecificStateAdapter,Weather,336,2021,0.24649055302143097,0.27889126539230347,13,2378576
PatchEncoderStepSpecificStateAdapter,Weather,720,2021,0.3280617892742157,0.33604931831359863,14,4444368
