dataset,horizon,scope,mean_abs_gamma,mean_abs_beta,mean_segment_state_norm,std_segment_state_norm
ETTh2,96,all,0.5560888051986694,0.0946555957198143,9.070900917053223,2.02500319480896
ETTh2,96,segment_0,0.5484462976455688,0.09398854523897171,9.108796119689941,1.9742830991744995
ETTh2,96,segment_1,0.56373131275177,0.09532265365123749,9.03300666809082,2.07379150390625
ETTh2,192,all,0.597226083278656,0.08593196421861649,8.191094398498535,1.8321905136108398
ETTh2,192,segment_0,0.5529890656471252,0.08185945451259613,8.179647445678711,1.6429266929626465
ETTh2,192,segment_1,0.6109983921051025,0.08726098388433456,8.521368026733398,1.9043508768081665
ETTh2,192,segment_2,0.620693564414978,0.08814908564090729,8.296286582946777,1.8889963626861572
ETTh2,192,segment_3,0.6042234897613525,0.08645832538604736,7.767075061798096,1.7982079982757568
ETTh2,336,all,0.41513240337371826,0.09325655549764633,7.4664788246154785,1.047073483467102
ETTh2,336,segment_0,0.4099074900150299,0.0925564393401146,7.346132278442383,1.030394434928894
ETTh2,336,segment_1,0.41759392619132996,0.09363672137260437,7.468857765197754,1.0516557693481445
ETTh2,336,segment_2,0.41788381338119507,0.09346197545528412,7.536977291107178,1.0370434522628784
ETTh2,336,segment_3,0.4164389967918396,0.09356703609228134,7.507913112640381,1.0549254417419434
ETTh2,336,segment_4,0.41533955931663513,0.0932130515575409,7.59054708480835,1.090616226196289
ETTh2,336,segment_5,0.4139757752418518,0.09301568567752838,7.398609638214111,1.0159075260162354
ETTh2,336,segment_6,0.41478726267814636,0.09334494918584824,7.416313648223877,1.0263127088546753
ETTh2,720,all,0.5265205502510071,0.08943642675876617,6.653553485870361,0.8962447643280029
ETTh2,720,segment_0,0.5093711614608765,0.09109802544116974,6.236514091491699,0.8449803590774536
ETTh2,720,segment_1,0.527093231678009,0.09062686562538147,6.510629653930664,0.8613053560256958
ETTh2,720,segment_2,0.5300635099411011,0.08861848711967468,6.758794784545898,0.8983331918716431
ETTh2,720,segment_3,0.5300542712211609,0.08737187832593918,6.923590660095215,0.9176777005195618
ETTh2,720,segment_4,0.530016303062439,0.08898752927780151,6.764288425445557,0.9109712839126587
ETTh2,720,segment_5,0.5252170562744141,0.08842640370130539,6.563800811767578,0.8823022842407227
ETTh2,720,segment_6,0.5275526642799377,0.08939330279827118,6.666322231292725,0.9277451038360596
ETTh2,720,segment_7,0.5262140035629272,0.08969547599554062,6.557051181793213,0.8179567456245422
ETTh2,720,segment_8,0.5272455811500549,0.0892532616853714,6.669344425201416,0.7975103259086609
ETTh2,720,segment_9,0.5276896357536316,0.08972810953855515,6.711329936981201,0.8830206990242004
ETTh2,720,segment_10,0.5253352522850037,0.08991597592830658,6.610250949859619,0.9038370251655579
ETTh2,720,segment_11,0.5268457531929016,0.09048467129468918,6.689679145812988,0.9195186495780945
ETTh2,720,segment_12,0.5271642208099365,0.0897868350148201,6.70919132232666,0.9080544710159302
ETTh2,720,segment_13,0.5272080302238464,0.08959919959306717,6.581467628479004,0.8849034309387207
ETTh2,720,segment_14,0.5307367444038391,0.08856036514043808,6.851047992706299,0.8704904913902283
ETTm1,96,all,0.5986987948417664,0.09204050898551941,6.807890892028809,1.0581421852111816
ETTm1,96,segment_0,0.5908607840538025,0.09079235047101974,6.854542255401611,1.0165200233459473
ETTm1,96,segment_1,0.606536865234375,0.09328866004943848,6.761239528656006,1.096204161643982
ETTm1,192,all,0.6410418152809143,0.08147726207971573,6.511350631713867,1.0020599365234375
ETTm1,192,segment_0,0.6115866899490356,0.07924669235944748,6.509763240814209,1.0179067850112915
ETTm1,192,segment_1,0.6323133111000061,0.08152652531862259,6.516546726226807,1.0761440992355347
ETTm1,192,segment_2,0.6568087935447693,0.08252344280481339,6.333207130432129,0.9647428393363953
ETTm1,192,segment_3,0.6634585857391357,0.08261238783597946,6.685884952545166,0.910670280456543
ETTm1,336,all,0.5537407994270325,0.09718828648328781,5.5283589363098145,0.6940749287605286
ETTm1,336,segment_0,0.4941272735595703,0.09137614816427231,6.310088634490967,0.45600077509880066
ETTm1,336,segment_1,0.5475389361381531,0.09800758212804794,5.690430641174316,0.5866856575012207
ETTm1,336,segment_2,0.5656135082244873,0.09847258776426315,5.484910011291504,0.586888313293457
ETTm1,336,segment_3,0.5679050087928772,0.09825997799634933,5.3067626953125,0.6281944513320923
ETTm1,336,segment_4,0.5659919381141663,0.09777574241161346,5.289114952087402,0.6268990635871887
ETTm1,336,segment_5,0.5589377880096436,0.0977126881480217,5.20381498336792,0.6408405900001526
ETTm1,336,segment_6,0.5760708451271057,0.09871326386928558,5.413389205932617,0.6427696943283081
ETTm1,720,all,0.5839542746543884,0.0953131690621376,5.628090858459473,0.8557039499282837
ETTm1,720,segment_0,0.5353723764419556,0.08577113598585129,6.217941761016846,0.6277822852134705
ETTm1,720,segment_1,0.5784202218055725,0.09403103590011597,6.037230491638184,0.6597418189048767
ETTm1,720,segment_2,0.5992130637168884,0.09634420275688171,5.805506229400635,0.8005366325378418
ETTm1,720,segment_3,0.5889719128608704,0.09545932710170746,5.729222297668457,0.7731194496154785
ETTm1,720,segment_4,0.5869991183280945,0.0964287593960762,5.459105014801025,0.8199162483215332
ETTm1,720,segment_5,0.5903593897819519,0.09617912769317627,5.601286888122559,0.7790369987487793
ETTm1,720,segment_6,0.5952593684196472,0.09704113751649857,5.632054328918457,0.8161801695823669
ETTm1,720,segment_7,0.5819786787033081,0.09510449320077896,5.368664741516113,0.9042027592658997
ETTm1,720,segment_8,0.6019800901412964,0.09755075722932816,5.706222057342529,0.843245267868042
ETTm1,720,segment_9,0.5950281023979187,0.0974089577794075,5.631350994110107,0.8510138392448425
ETTm1,720,segment_10,0.5971925854682922,0.09674718976020813,5.708834171295166,0.8468755483627319
ETTm1,720,segment_11,0.5758070945739746,0.09492118656635284,5.358996391296387,0.8979573249816895
ETTm1,720,segment_12,0.5915495157241821,0.09670594334602356,5.596100330352783,0.8498706817626953
ETTm1,720,segment_13,0.567323625087738,0.09482444077730179,5.3054890632629395,0.8624379634857178
ETTm1,720,segment_14,0.5738590955734253,0.09517981112003326,5.263362884521484,0.8665603399276733
Weather,96,all,0.6240692734718323,0.07005590200424194,9.014104843139648,1.2736701965332031
Weather,96,segment_0,0.6244530081748962,0.07050031423568726,9.322469711303711,1.1718436479568481
Weather,96,segment_1,0.6236856579780579,0.06961148232221603,8.705739974975586,1.2965633869171143
Weather,192,all,0.6891041994094849,0.04906856268644333,7.872758865356445,1.5084975957870483
Weather,192,segment_0,0.6739017963409424,0.048922549933195114,8.227596282958984,1.361088752746582
Weather,192,segment_1,0.6955029964447021,0.049290746450424194,7.741245269775391,1.5189905166625977
Weather,192,segment_2,0.7009591460227966,0.0486331582069397,7.871942043304443,1.5625441074371338
Weather,192,segment_3,0.6860530376434326,0.04942779615521431,7.650252819061279,1.519244909286499
Weather,336,all,0.720152735710144,0.052845582365989685,8.370659828186035,1.2430775165557861
Weather,336,segment_0,0.6635832786560059,0.05243421718478203,8.336806297302246,1.033880591392517
Weather,336,segment_1,0.7206579446792603,0.052771661430597305,8.45138931274414,1.249131679534912
Weather,336,segment_2,0.740882158279419,0.05278722941875458,8.728543281555176,1.227251410484314
Weather,336,segment_3,0.7200227975845337,0.05329405888915062,8.448509216308594,1.2672736644744873
Weather,336,segment_4,0.7234382629394531,0.0532105416059494,8.291539192199707,1.2345144748687744
Weather,336,segment_5,0.7396681904792786,0.05268852785229683,8.186574935913086,1.2859560251235962
Weather,336,segment_6,0.7328170537948608,0.05273282900452614,8.151265144348145,1.29132878780365
Weather,720,all,0.7515804171562195,0.042911726981401443,7.35943078994751,1.4972299337387085
Weather,720,segment_0,0.6825968027114868,0.039045803248882294,8.136259078979492,1.1846591234207153
Weather,720,segment_1,0.7336999177932739,0.04101056605577469,7.856826305389404,1.2717045545578003
Weather,720,segment_2,0.7463988661766052,0.04051912575960159,7.804554462432861,1.322585105895996
Weather,720,segment_3,0.7353716492652893,0.042384009808301926,7.5557122230529785,1.4095014333724976
Weather,720,segment_4,0.74163419008255,0.04295104742050171,7.315001964569092,1.4487404823303223
Weather,720,segment_5,0.7512102723121643,0.04233013093471527,7.063199996948242,1.4628950357437134
Weather,720,segment_6,0.7497295141220093,0.04386141896247864,7.093271255493164,1.4991008043289185
Weather,720,segment_7,0.755469560623169,0.043569911271333694,7.260427951812744,1.5239276885986328
Weather,720,segment_8,0.7685672640800476,0.04251612722873688,7.157375812530518,1.4791669845581055
Weather,720,segment_9,0.7623388171195984,0.044333625584840775,7.143881320953369,1.5380299091339111
Weather,720,segment_10,0.7699900269508362,0.04414858669042587,7.131947040557861,1.5240398645401
Weather,720,segment_11,0.7773826718330383,0.042915962636470795,7.237549304962158,1.5651980638504028
Weather,720,segment_12,0.7617020010948181,0.0456949807703495,7.229044437408447,1.5792368650436401
Weather,720,segment_13,0.7605727314949036,0.04508744925260544,7.193440914154053,1.5690757036209106
Weather,720,segment_14,0.7770423889160156,0.043307140469551086,7.212977409362793,1.516749382019043
