dataset,horizon,n_pairs,cosine_mean,cosine_std,cosine_min,cosine_max
ETTh2,96,1,0.9728118181228638,0.0,0.9728118181228638,0.9728118181228638
ETTh2,192,6,0.9301798840363821,0.04073836605256758,0.8594158887863159,0.9731405973434448
ETTh2,336,21,0.9896937977700007,0.0032229299101480774,0.9801576137542725,0.9932796955108643
ETTh2,720,105,0.9828248722212655,0.011094741853181357,0.9370196461677551,0.9940001368522644
ETTm1,96,1,0.9733279943466187,0.0,0.9733279943466187,0.9733279943466187
ETTm1,192,6,0.9684823155403137,0.01464651156237996,0.9440125823020935,0.9851096272468567
ETTm1,336,21,0.9350599703334627,0.05473029138105214,0.8330145478248596,0.9846448302268982
ETTm1,720,105,0.9631703155381339,0.035603565372750307,0.8423789739608765,0.9907680749893188
Weather,96,1,0.9790374636650085,0.0,0.9790374636650085,0.9790374636650085
Weather,192,6,0.9656093517939249,0.022755400453272692,0.9314433336257935,0.9912918210029602
Weather,336,21,0.9526233758245196,0.05497197481958497,0.8397083878517151,0.9949386715888977
Weather,720,105,0.959893012046814,0.03625116894769855,0.8552736639976501,0.9943521618843079
