dataset,segment,r3_vs_uniform_mean_mse_pct,r3_vs_uniform_min_mse_pct,r3_vs_uniform_max_mse_pct,region_balanced_vs_r3_h720_mse_pct,novelty_score,novelty_share,prefix_pressure_share,uniform_pressure_share,novelty_minus_region_balanced_share,prefix_minus_novelty_share
ETTh2,1-96,-1.739492025067177,-2.104894600364138,-1.3317423829697805,0.6541483580720486,0.8671658921867,0.4763297151843164,0.7217033072706209,0.47976190476189357,0.22632971518431638,0.24537359208630455
ETTh2,193-336,1.2380023227700265,0.9359208024949606,1.5400838430450925,-0.7089113348903497,0.3081083364955538,0.16924230702704243,0.07745949489232658,0.15714285714285334,-0.08075769297295757,-0.09178281213471585
ETTh2,337-720,-1.1939365107561328,-1.1939365107561328,-1.1939365107561328,1.4302848206479535,0.3469731359874917,0.19059053928512645,0.046861692644794305,0.13333333333332992,-0.059409460714873547,-0.14372884664033214
ETTh2,97-192,0.7351185025945414,0.39538209709581995,1.033398719580414,-1.5366675201700764,0.2982686865935042,0.16383743850351476,0.15397550519225817,0.22976190476189992,-0.08616256149648524,-0.009861933311256593
ETTm1,1-96,-2.6844463084841146,-2.882779729681284,-2.5965762787046875,6.294246795720526,0.8090119097876565,0.6152471820939163,0.7217033072706209,0.47976190476189357,0.36524718209391627,0.10645612517670466
ETTm1,193-336,-0.4541474192734818,-0.4575415296969809,-0.45075330884998266,1.1659135961613387,0.16616325366318793,0.1263658449857258,0.07745949489232658,0.15714285714285334,-0.12363415501427419,-0.048906350093399234
ETTm1,337-720,0.006975980239065649,0.006975980239065649,0.006975980239065649,-0.15081105765621938,0.17079185554432066,0.12988586024130958,0.046861692644794305,0.13333333333332992,-0.12011413975869042,-0.08302416759651526
ETTm1,97-192,-1.5103118399562614,-1.6012247073212915,-1.4614189551859447,2.9817660472988727,0.1689709983303047,0.12850111267904843,0.15397550519225817,0.22976190476189992,-0.12149888732095157,0.025474392513209737
Weather,1-96,-1.3911750035591808,-1.4484689061432743,-1.2412743248092828,2.0849840345341875,0.7649429752320326,0.48150456734464026,0.7217033072706209,0.47976190476189357,0.23150456734464026,0.24019873992598068
Weather,193-336,-0.8402624867274722,-0.9225351428369555,-0.7579898306179889,0.8744434187533789,0.2540012896431608,0.15988483460157576,0.07745949489232658,0.15714285714285334,-0.09011516539842424,-0.08242533970924919
Weather,337-720,-0.9038743903065583,-0.9038743903065583,-0.9038743903065583,1.0837685909905526,0.25787610032027536,0.1623238909744518,0.046861692644794305,0.13333333333332992,-0.0876761090255482,-0.11546219832965748
Weather,97-192,-0.7777574361077103,-0.8694165809240539,-0.6190236438201713,0.8381351157467742,0.3118311806257347,0.1962867070793321,0.15397550519225817,0.22976190476189992,-0.0537132929206679,-0.042311201887073935
