dataset,horizon,segment,r3_vs_uniform_mse_pct,r3_vs_fixed_mse_pct,novelty_score,novelty_share,prefix_pressure_share,uniform_pressure_share
ETTh2,96,1-96,-1.3317423829697805,-0.8627450828338268,0.8671658921867,0.4763297151843164,0.7217033072706209,0.47976190476189357
ETTh2,192,1-96,-1.5284568576644841,-0.4760959524446884,0.8671658921867,0.4763297151843164,0.7217033072706209,0.47976190476189357
ETTh2,192,97-192,1.033398719580414,-3.3618923350860586,0.2982686865935042,0.16383743850351476,0.15397550519225817,0.22976190476189992
ETTh2,336,1-96,-2.104894600364138,-2.948519660444171,0.8671658921867,0.4763297151843164,0.7217033072706209,0.47976190476189357
ETTh2,336,97-192,0.7765746911073901,-2.704161118284709,0.2982686865935042,0.16383743850351476,0.15397550519225817,0.22976190476189992
ETTh2,336,193-336,1.5400838430450925,2.219412391554365,0.3081083364955538,0.16924230702704243,0.07745949489232658,0.15714285714285334
ETTh2,720,1-96,-1.9928742592703053,-1.8030651398461828,0.8671658921867,0.4763297151843164,0.7217033072706209,0.47976190476189357
ETTh2,720,97-192,0.39538209709581995,-0.8943395735259374,0.2982686865935042,0.16383743850351476,0.15397550519225817,0.22976190476189992
ETTh2,720,193-336,0.9359208024949606,4.070552006204586,0.3081083364955538,0.16924230702704243,0.07745949489232658,0.15714285714285334
ETTh2,720,337-720,-1.1939365107561328,0.46572828219921814,0.3469731359874917,0.19059053928512645,0.046861692644794305,0.13333333333332992
ETTm1,96,1-96,-2.6513892098323,2.826269514868307,0.8090119097876565,0.6152471820939163,0.7217033072706209,0.47976190476189357
ETTm1,192,1-96,-2.607040015718187,-0.10265039345160876,0.8090119097876565,0.6152471820939163,0.7217033072706209,0.47976190476189357
ETTm1,192,97-192,-1.6012247073212915,-4.186907606373724,0.1689709983303047,0.12850111267904843,0.15397550519225817,0.22976190476189992
ETTm1,336,1-96,-2.5965762787046875,0.5207372664083554,0.8090119097876565,0.6152471820939163,0.7217033072706209,0.47976190476189357
ETTm1,336,97-192,-1.4614189551859447,-0.5783320597437136,0.1689709983303047,0.12850111267904843,0.15397550519225817,0.22976190476189992
ETTm1,336,193-336,-0.45075330884998266,-0.3741576795781576,0.16616325366318793,0.1263658449857258,0.07745949489232658,0.15714285714285334
ETTm1,720,1-96,-2.882779729681284,-2.716984150449675,0.8090119097876565,0.6152471820939163,0.7217033072706209,0.47976190476189357
ETTm1,720,97-192,-1.4682918573615478,-1.7592407397165832,0.1689709983303047,0.12850111267904843,0.15397550519225817,0.22976190476189992
ETTm1,720,193-336,-0.4575415296969809,-1.2030802338018565,0.16616325366318793,0.1263658449857258,0.07745949489232658,0.15714285714285334
ETTm1,720,337-720,0.006975980239065649,3.0300441779770093,0.17079185554432066,0.12988586024130958,0.046861692644794305,0.13333333333332992
Weather,96,1-96,-1.4484689061432743,0.6386997008156259,0.7649429752320326,0.48150456734464026,0.7217033072706209,0.47976190476189357
Weather,192,1-96,-1.4318562027466952,-1.9753948716128678,0.7649429752320326,0.48150456734464026,0.7217033072706209,0.47976190476189357
Weather,192,97-192,-0.8694165809240539,-1.0889728538307164,0.3118311806257347,0.1962867070793321,0.15397550519225817,0.22976190476189992
Weather,336,1-96,-1.4431005805374708,-2.1820677586192883,0.7649429752320326,0.48150456734464026,0.7217033072706209,0.47976190476189357
Weather,336,97-192,-0.8448320835789058,-2.764715152754338,0.3118311806257347,0.1962867070793321,0.15397550519225817,0.22976190476189992
Weather,336,193-336,-0.9225351428369555,-2.2659320467931177,0.2540012896431608,0.15988483460157576,0.07745949489232658,0.15714285714285334
Weather,720,1-96,-1.2412743248092828,-4.042882233269129,0.7649429752320326,0.48150456734464026,0.7217033072706209,0.47976190476189357
Weather,720,97-192,-0.6190236438201713,-1.9057151982052822,0.3118311806257347,0.1962867070793321,0.15397550519225817,0.22976190476189992
Weather,720,193-336,-0.7579898306179889,-1.1613035546787165,0.2540012896431608,0.15988483460157576,0.07745949489232658,0.15714285714285334
Weather,720,337-720,-0.9038743903065583,-0.05458290083280026,0.25787610032027536,0.1623238909744518,0.046861692644794305,0.13333333333332992
