dataset,segment,region_index,train_windows,channels,pooled_region_mean_std,target_value_std,target_value_rms,max_prev_region_r2,novelty_score,transition_mean_rms,uniform_pressure_share,prefix_pressure_share,region_balanced_share,novelty_share,novelty_minus_region_balanced_share,prefix_minus_novelty_share
ETTh2,1-96,0,7585,7,0.8671658921867,1.0007393885787048,1.0011687377067082,0.0,0.8671658921867,0.0,0.47976190476189357,0.7217033072706209,0.25,0.4763297151843164,0.22632971518431638,0.24537359208630455
ETTh2,97-192,1,7585,7,0.8783769657273306,1.0100697540455026,1.0102875630065171,0.6604320260760412,0.2982686865935042,0.5364232270470828,0.22976190476189992,0.15397550519225817,0.25,0.16383743850351476,-0.08616256149648524,-0.009861933311256593
ETTh2,193-336,2,7585,7,0.8562047737155736,1.011803359201269,1.0118038618443457,0.6401464393167403,0.3081083364955538,0.5509842722660687,0.15714285714285334,0.07745949489232658,0.25,0.16924230702704243,-0.08075769297295757,-0.09178281213471585
ETTh2,337-720,3,7585,7,0.7857688674869424,1.0094515120991714,1.0107677532849757,0.5584285018860746,0.3469731359874917,0.5912311297370161,0.13333333333332992,0.046861692644794305,0.25,0.19059053928512645,-0.059409460714873547,-0.14372884664033214
ETTm1,1-96,0,33505,7,0.8090119097876565,0.9985579184497484,0.9985584795233111,0.0,0.8090119097876565,0.0,0.47976190476189357,0.7217033072706209,0.25,0.6152471820939163,0.36524718209391627,0.10645612517670466
ETTm1,97-192,1,33505,7,0.8076381507757394,0.9977147455837702,0.9977272780617701,0.7907837833465303,0.1689709983303047,0.3804893649003266,0.22976190476189992,0.15397550519225817,0.25,0.12850111267904843,-0.12149888732095157,0.025474392513209737
ETTm1,193-336,2,33505,7,0.7970726821967322,0.9980225749292113,0.9980718866125032,0.7915331219165083,0.16616325366318793,0.3770956795058323,0.15714285714285334,0.07745949489232658,0.25,0.1263658449857258,-0.12363415501427419,-0.048906350093399234
ETTm1,337-720,3,33505,7,0.7624264363825943,0.9978832195211436,0.99808224430011,0.7759890693787337,0.17079185554432066,0.3822031470917833,0.13333333333332992,0.046861692644794305,0.25,0.12988586024130958,-0.12011413975869042,-0.08302416759651526
Weather,1-96,0,35832,21,0.7649429752320326,1.002155998938865,1.00215606145513,0.0,0.7649429752320326,0.0,0.47976190476189357,0.7217033072706209,0.25,0.48150456734464026,0.23150456734464026,0.24019873992598068
Weather,97-192,1,35832,21,0.7647155804907746,1.0023060678656965,1.0023064309229366,0.5922259352613038,0.3118311806257347,0.5192479154523006,0.22976190476189992,0.15397550519225817,0.25,0.1962867070793321,-0.0537132929206679,-0.042311201887073935
Weather,193-336,2,35832,21,0.7270764226656409,1.0025933638832216,1.0025983784338484,0.6506539316569644,0.2540012896431608,0.46527254860824935,0.15714285714285334,0.07745949489232658,0.25,0.15988483460157576,-0.09011516539842424,-0.08242533970924919
Weather,337-720,3,35832,21,0.6769091192516773,1.0020633381275217,1.0020899107276005,0.6190388148332863,0.25787610032027536,0.4609519510763563,0.13333333333332992,0.046861692644794305,0.25,0.1623238909744518,-0.0876761090255482,-0.11546219832965748
