model,dataset,horizon,seed,seq_len,mse,mae,value_origin,profile_role,system_role,test_tuned
QDF,ETTh1,96,2023,336,0.37043389678001404,0.3935897648334503,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh1,192,2023,336,0.42239654064178467,0.4272468686103821,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh1,336,2023,336,0.4636939764022827,0.4550248980522156,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh1,720,2023,336,0.4989432990550995,0.49280017614364624,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh2,96,2023,336,0.28264811635017395,0.3424420952796936,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh2,192,2023,336,0.3593428432941437,0.39125922322273254,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh2,336,2023,336,0.3611879348754883,0.40096795558929443,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTh2,720,2023,336,0.40693315863609314,0.43962332606315613,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm1,96,2023,336,0.28283533453941345,0.3359886407852173,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm1,192,2023,336,0.3363930583000183,0.3689405918121338,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm1,336,2023,336,0.36910462379455566,0.3897988200187683,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm1,720,2023,336,0.4228467345237732,0.4241206645965576,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm2,96,2023,336,0.1644393503665924,0.2531222701072693,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm2,192,2023,336,0.21754667162895203,0.290833443403244,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm2,336,2023,336,0.2821751534938812,0.3304235637187958,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ETTm2,720,2023,336,0.3638134300708771,0.38532817363739014,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,Weather,96,2023,336,0.1523500680923462,0.20202350616455078,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,Weather,192,2023,336,0.20498406887054443,0.25052669644355774,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,Weather,336,2023,336,0.2480396181344986,0.2822582721710205,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,Weather,720,2023,336,0.3410804271697998,0.35111936926841736,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ECL,96,2023,336,0.1268039494752884,0.22215135395526886,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ECL,192,2023,336,0.15052081644535065,0.24377918243408203,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ECL,336,2023,336,0.16678288578987122,0.26032811403274536,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,ECL,720,2023,336,0.22251302003860474,0.31353291869163513,official_code_local_single_seed_l336,official_released_profile,horizon_specific_official_native,false
QDF,Solar,96,2023,336,0.1931203454732895,0.23155607283115387,official_code_local_single_seed_l336,source_informed_ecl_profile,horizon_specific_official_native,false
QDF,Solar,192,2023,336,0.20689527690410614,0.2605019509792328,official_code_local_single_seed_l336,source_informed_ecl_profile,horizon_specific_official_native,false
QDF,Solar,336,2023,336,0.20987465977668762,0.26295748353004456,official_code_local_single_seed_l336,source_informed_ecl_profile,horizon_specific_official_native,false
QDF,Solar,720,2023,336,0.2226044237613678,0.27768149971961975,official_code_local_single_seed_l336,source_informed_ecl_profile,horizon_specific_official_native,false
QDF,Exchange,96,2023,336,0.09490663558244705,0.21775612235069275,official_code_local_single_seed_l336,source_informed_etth1_profile,horizon_specific_official_native,false
QDF,Exchange,192,2023,336,0.1992684304714203,0.31746938824653625,official_code_local_single_seed_l336,source_informed_etth1_profile,horizon_specific_official_native,false
QDF,Exchange,336,2023,336,0.37671607732772827,0.44817039370536804,official_code_local_single_seed_l336,source_informed_etth1_profile,horizon_specific_official_native,false
QDF,Exchange,720,2023,336,0.929064929485321,0.7270509004592896,official_code_local_single_seed_l336,source_informed_etth1_profile,horizon_specific_official_native,false
