dataset,checkpoint_seed,width,horizon,geo_mse,control_median_mse,descriptor_gain_mse,geo_mae,control_median_mae,descriptor_gain_mae,free_m0_mse,free_gap_mse
ETTh1,2021,c256,48,1.1286151976812453,1.459866273970831,0.2269050817843637,0.7663922991071429,0.8853535879225958,0.13436585160803952,0.6904006685529437,-0.6347249489876428
ETTh1,2021,c256,96,1.3642117182413738,1.5019276028587705,0.0916927582629603,0.8485103334699359,0.8983681542532784,0.055498205882847956,0.8388032232012067,-0.6263787268663552
ETTh1,2021,c256,144,1.4588454110281808,1.5667044321695964,0.06884452416595951,0.8803206549750434,0.9195609319777716,0.042672840524369614,0.9856526208302331,-0.48008068988785196
ETTh1,2021,c256,192,1.5476002466110956,1.6295428048996699,0.05028561265294248,0.9114000229608445,0.9408356348673502,0.03128666774048779,1.1069757824852353,-0.3980434541545513
ETTh1,2021,c256,288,1.6787239559113034,1.7373214903331937,0.03372866492928268,0.9551793053036645,0.9761480301145523,0.021481091150106754,1.299651857406374,-0.29167203227902705
ETTh1,2021,c256,336,1.7385687795626064,1.7886249775789222,0.02798585429801602,0.9739278936061729,0.9918529873802548,0.01807232926870222,1.370113450653699,-0.26892322583441
ETTh1,2021,c256,512,1.8868049894060408,1.9267273971012662,0.020720319727268146,1.011514323098319,1.0253478629248483,0.013491557672016286,1.5035168102809362,-0.2549277643616676
ETTh1,2021,c256,720,1.922733173673115,1.9523866683717759,0.015188330866544413,1.0259424603174603,1.0360793098570809,0.009783854810322266,1.5173279777405755,-0.26718362930091144
ETTh1,2021,m694,48,1.14146850222633,1.461489200592041,0.2189689107768107,0.7699500265575591,0.8857689130873907,0.13075519451923331,0.6904006685529437,-0.6533421159901383
ETTh1,2021,m694,96,1.3762401399158297,1.5038576807294572,0.08486011838016859,0.8514798028128487,0.899201097942534,0.05307077053050376,0.8388032232012067,-0.640718707140335
ETTh1,2021,m694,144,1.4671673244900174,1.5701156192355685,0.06556733369461852,0.8828319065154545,0.9208910654461573,0.04132862219948209,0.9856526208302331,-0.4885237389763097
ETTh1,2021,m694,192,1.5549983978271484,1.6309390522184826,0.046562533583358594,0.9135851632981074,0.9415637197948638,0.029714989977366612,1.1069757824852353,-0.40472666379030636
ETTh1,2021,m694,288,1.6834527878534227,1.737958030095176,0.03136165620683514,0.9566615271189857,0.9766215823945545,0.020437860104042863,1.299651857406374,-0.29531056971901215
ETTh1,2021,m694,336,1.741737106219441,1.7885227073617533,0.02615879627903959,0.9748462235846487,0.9919190828492042,0.017211947587009953,1.370113450653699,-0.27123568153311356
ETTh1,2021,m694,512,1.889871392931257,1.9264956201825822,0.019010802239900378,1.0123858451843262,1.0254115888050623,0.012702941689897797,1.5035168102809362,-0.256967251718409
