dataset,checkpoint_seed,width,descriptor_gain_mse,descriptor_gain_mae,free_gap_mse,fit_descriptor_gain_mse,holdout_descriptor_gain_mse,fit_holdout_gain_gap
ETTh1,2021,c256,0.06691889333591715,0.040831549832111555,-0.4027418089590522,0.014736543798208828,0.016724033183624386,-0.0019874893854155574
ETTh1,2021,m694,0.06335364185970399,0.03932992263294035,-0.4099015708493349,0.014168293084487289,0.015856847084465088,-0.001688553999977799
ETTh1,2022,c256,0.06520136146416698,0.040223722481116976,-0.4162292842312006,0.01388895050478986,0.015470400006842713,-0.0015814495020528528
ETTh1,2022,m694,0.06380704984275948,0.040130558006602195,-0.4170825391582652,0.013769408611612513,0.013941219370845836,-0.00017181075923332345
ETTh1,2023,c256,0.06691268707569324,0.04072931400159498,-0.39116716079003205,0.01439748741239293,0.01553705537338118,-0.00113956796098825
ETTh1,2023,m694,0.06262400242454641,0.03745312167619497,-0.3990207857197047,0.013315986308889353,0.014752643491593663,-0.0014366571827043092
ETTh2,2021,c256,0.15673552964763438,0.09435012367849589,-0.23385239558217036,0.039983984237869356,0.024554986339762015,0.015428997898107342
ETTh2,2021,m694,0.13367223102378914,0.08034117875141976,-0.2709814886681768,0.03214797095271183,0.019090788149692648,0.013057182803019183
ETTh2,2022,c256,0.16320182607126624,0.09742797756752429,-0.23088443606657805,0.0390130381636609,0.026623777106584732,0.012389261057076165
ETTh2,2022,m694,0.14880881011132302,0.08902463837654072,-0.25235014742760153,0.034995928280985404,0.02117232919513795,0.013823599085847453
ETTh2,2023,c256,0.167811667299043,0.10076886766224911,-0.17743808972237654,0.04234122726335566,0.0257574078848596,0.01658381937849606
ETTh2,2023,m694,0.14151974726884875,0.08505018890787255,-0.21501113467005997,0.03396945873542534,0.020587727823956552,0.013381730911468787
ETTm1,2021,c256,0.17995956750326064,0.10690658751060794,-0.7554276474371695,0.04559482393546584,0.04379524640237744,0.0017995775330884034
ETTm1,2021,m694,0.16370803623132688,0.0966440640493405,-0.7973966332565591,0.038776778696445406,0.0390767506596947,-0.00029997196324929587
ETTm1,2022,c256,0.19422067858213227,0.11544557415712497,-0.714716423004029,0.0508922422206693,0.04850692875088509,0.0023853134697842115
ETTm1,2022,m694,0.15947797640018604,0.09158552858247744,-0.7997746047123961,0.03826735531476613,0.03893101575094803,-0.0006636604361818996
ETTm1,2023,c256,0.18219896408319292,0.1077895233721548,-0.7378628041729397,0.04634669425309375,0.045738755775631725,0.0006079384774620236
ETTm1,2023,m694,0.1823120251520406,0.11020014799066981,-0.740277788084239,0.0503398573316342,0.04821257381273967,0.002127283518894532
ETTm2,2021,c256,0.1069916751607008,0.0634757349580665,-0.3578128410937931,0.03166903595942794,0.025030542089214267,0.006638493870213671
ETTm2,2021,m694,0.11019273578794483,0.06531492747468284,-0.3413949594841572,0.030295967373435675,0.023981098128694298,0.006314869244741377
ETTm2,2022,c256,0.11278966441935387,0.06692993070260057,-0.3276567550157667,0.03133536158388897,0.025377595963403974,0.005957765620484997
ETTm2,2022,m694,0.11681737204314084,0.0698967323187209,-0.31168516565016247,0.03054618979702104,0.02474791901376176,0.0057982707832592816
ETTm2,2023,c256,0.11815957396194114,0.06855192216577577,-0.24129809762543944,0.03357480643036258,0.028212659689308937,0.00536214674105364
ETTm2,2023,m694,0.10137051956626081,0.06089911727415623,-0.26669343023599784,0.027009562129316378,0.021542093525420275,0.005467468603896103
Weather,2021,c256,0.16738859455128535,0.17999557653795933,-0.20117521085621654,0.034110213844131806,0.031436628715000726,0.00267358512913108
Weather,2021,m694,0.1638097116386021,0.18048220608696736,-0.2079138569316025,0.033118069992724875,0.032111741992626626,0.0010063280000982486
Weather,2022,c256,0.1608929264107005,0.17638087253350143,-0.21584505609763271,0.03218657179518627,0.029806765519961132,0.002379806275225136
Weather,2022,m694,0.1571803032010767,0.17443998901756563,-0.2234853138935995,0.031144759409937574,0.030131685470065967,0.0010130739398716074
Weather,2023,c256,0.16113352696323516,0.17890463695245654,-0.2034308586200565,0.03334527166671397,0.03143465220504597,0.0019106194616680047
Weather,2023,m694,0.15762016294512063,0.17824253005539803,-0.2124920296412842,0.032402722687634423,0.031076573382834063,0.0013261493048003607
