dataset,width,descriptor_gain_mse,descriptor_gain_mae,free_gap_mse,positive_checkpoints,checkpoint_count
ETTh1,c256,0.06634431395859246,0.04059486210494117,-0.40337941799342825,3,3
ETTh1,m694,0.06326156470900329,0.038971200771912504,-0.4086682985757683,3,3
ETTh2,c256,0.16258300767264786,0.09751565630275644,-0.21405830712370832,3,3
ETTh2,m694,0.14133359613465366,0.08480533534527768,-0.24611425692194608,3,3
ETTm1,c256,0.18545973672286195,0.11004722834662924,-0.7360022915380461,3,3
ETTm1,m694,0.16849934592785118,0.0994765802074959,-0.7791496753510647,3,3
ETTm2,c256,0.11264697118066526,0.06631919594214762,-0.30892256457833306,3,3
ETTm2,m694,0.10946020913244882,0.06537025902251999,-0.30659118512343914,3,3
Weather,c256,0.16313834930840698,0.1784270286746391,-0.2068170418579686,3,3
Weather,m694,0.15953672592826648,0.17772157505331032,-0.2146304001554954,3,3
