dataset,horizon,target_mse,target_mae,fixed_mse,fixed_mae,relative_mse_pct,relative_mae_pct,target_wins_mse,target_wins_mae
ETTh2,96,0.3191708028316498,0.36537808179855347,0.3074484169483185,0.36609065532684326,3.8127976067288794,-0.1946440090511481,False,True
ETTh2,192,0.3879050612449646,0.4086056351661682,0.37734004855155945,0.4069473147392273,2.799865196911777,0.40750248665568645,False,False
ETTh2,336,0.3863581418991089,0.4177514314651489,0.3841150403022766,0.4212876260280609,0.5839660938731006,-0.8393777420551252,False,True
ETTh2,720,0.4140654504299164,0.44487687945365906,0.4074031412601471,0.4438471794128418,1.6353111930266229,0.2319942738352898,False,False
ETTm1,96,0.3036024868488312,0.3546448051929474,0.29047533869743347,0.3442326486110687,4.519195402357812,3.0247440572212625,False,False
ETTm1,192,0.3386852443218231,0.37746503949165344,0.3377011716365814,0.3733891248703003,0.2914033968175689,1.0915997145789724,False,False
ETTm1,336,0.3648187220096588,0.3952205777168274,0.361540287733078,0.3907651901245117,0.9067963897293918,1.1401700317513086,False,False
ETTm1,720,0.40972670912742615,0.42332419753074646,0.412788063287735,0.42070141434669495,-0.7416285577460879,0.6234310355539119,True,False
Weather,96,0.15477672219276428,0.20799049735069275,0.14708691835403442,0.1950538456439972,5.228067815127302,6.632348961889689,False,False
Weather,192,0.20012323558330536,0.2496446818113327,0.19520847499370575,0.24188493192195892,2.5176983682486442,3.208033599991822,False,False
Weather,336,0.2531970143318176,0.29095810651779175,0.25078684091567993,0.28711846470832825,0.9610446095726477,1.3373022920570632,False,False
Weather,720,0.32899099588394165,0.3441564440727234,0.32312721014022827,0.33546921610832214,1.814698842963014,2.589575301477476,False,False
