dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
ETTh2,96,720,9.029972611123392e-15,4.9940044988261434e-08,0.0
ETTh2,192,720,8.884144030792303e-15,4.9400657786691227e-08,0.0
ETTh2,336,720,6.442560548903468e-15,3.716647967166864e-08,0.0
ETTm1,96,720,1.3199979337927357e-14,6.501176130768727e-08,0.0
ETTm1,192,720,1.3443011725219455e-14,6.564046373114252e-08,0.0
ETTm1,336,720,1.5494680530498718e-14,6.284673759182624e-08,0.0
Weather,96,720,4.218906362365429e-15,3.3597547854924414e-08,0.0
Weather,192,720,0.0,0.0,0.0
Weather,336,720,0.0,0.0,0.0
