dataset,horizon,mean_target_state_cosine,mean_abs_gamma,mean_abs_beta,mean_target_state_norm,std_target_state_norm,mean_history_readout_norm
ETTh2,96,0.9967966675758362,0.4128686487674713,0.4317178726196289,7.826793670654297,0.8038114309310913,8.548887252807617
ETTh2,192,0.9933066169420878,0.4128336012363434,0.4320617914199829,7.836780548095703,0.8130565881729126,8.591967582702637
ETTh2,336,0.9813162145160493,0.41463348269462585,0.43300896883010864,7.704553604125977,0.8768856525421143,8.589682579040527
ETTh2,720,0.9677985327584403,0.4191448986530304,0.43502891063690186,7.706241607666016,0.9916172027587891,8.880495071411133
ETTm1,96,0.9851661920547485,0.5744816064834595,0.3937467038631439,8.175959587097168,0.7766271233558655,8.948066711425781
ETTm1,192,0.9840489625930786,0.5694838166236877,0.39213961362838745,7.728283405303955,0.9203590750694275,8.940149307250977
ETTm1,336,0.6903073661738918,0.6483251452445984,0.4032288193702698,7.438594341278076,0.8497004508972168,8.936321258544922
ETTm1,720,0.5476448278502739,0.7155529856681824,0.4158652126789093,6.9582929611206055,0.8307088613510132,8.927176475524902
Weather,96,0.9817322492599487,0.6427779197692871,0.40072235465049744,9.501173973083496,1.2178775072097778,10.002131462097168
Weather,192,0.9851912955443064,0.6509318947792053,0.40240705013275146,9.003796577453613,1.4327932596206665,10.009082794189453
Weather,336,0.5625009118091493,0.6764799356460571,0.4142293930053711,8.484427452087402,1.6028707027435303,10.021319389343262
Weather,720,0.3591885513492993,0.6888935565948486,0.4233229160308838,7.913748264312744,1.7261537313461304,10.028843879699707
