segment,base_mse,shared_control_mse,pooled_multihead_control_mse,target_set_aware_mse,target_vs_base_reduction_pct,target_vs_shared_reduction_pct,target_vs_pooled_multihead_reduction_pct,dataset
early_0_96,1.428421555363869,1.4775380566414886,1.47726941734217,1.4930191404944848,-4.522305399834188,-1.0477621055788837,-1.0661374944491053,ETTh2
mid_96_192,1.8711060067365386,2.26836951738322,2.2937640124505374,2.5340861904153766,-35.43252927904202,-11.713994170521474,-10.477197159793766,ETTh2
late_192_336,2.4907169797610926,4.022284014954212,4.100614868535231,10.830132445492609,-334.81987449780127,-169.25329999641747,-164.10996381528534,ETTh2
tail_336_720,3.759331303428436,7.349711234791933,7.8214436360012165,24.347193234226612,-547.6469156102962,-231.26734447704965,-211.28771576335663,ETTh2
early_0_96,0.6234780189974607,0.6200795874369925,0.6201490508218473,0.6193092309833632,0.6686343202284504,0.1242350932423825,0.13542225653190482,ETTm1
mid_96_192,0.7645697989435726,0.7569564476449513,0.7583896547570963,0.7502785530508137,1.869187863881818,0.8822032779975528,1.0695163964071335,ETTm1
late_192_336,0.7456759269298056,0.7409703403341801,0.742414840405598,0.7387754323616699,0.9254012794200428,0.2962207598647331,0.49021218944651734,ETTm1
tail_336_720,0.6800099262365873,0.6704652123640192,0.6703154205983574,0.6702808652701463,1.4307233749196897,0.02749540027929891,0.005155084777881923,ETTm1
early_0_96,1.158787532516012,1.2804439238573144,1.2782911436857074,1.4572312269682361,-25.754824424476652,-13.806719670967952,-13.998382462901942,Weather
mid_96_192,2.79464384123585,2.778411156537882,2.704605742241192,3.194491286104671,-14.307635161552458,-14.975470012338176,-18.113011305578738,Weather
late_192_336,5.0546916653405045,4.958924068298671,4.870452454156464,5.1087576656919165,-1.0696201456191068,-3.0214940847975265,-4.892876252843451,Weather
tail_336_720,4.300135495046758,4.36260951895269,4.253458002071335,5.876752559285689,-36.664357810469106,-34.70727860825123,-38.16411391446316,Weather
