dataset,train_rows,val_rows,test_rows,shared_alpha,pooled_multihead_alpha,target_set_alpha,val_shared_mse,val_pooled_multihead_mse,val_target_set_mse,base_mse,shared_control_mse,pooled_multihead_control_mse,target_set_aware_mse,target_vs_base_reduction_pct,target_vs_shared_reduction_pct,target_vs_pooled_multihead_reduction_pct
ETTh2,20000,10000,10000,10000000.0,10000000.0,10000000.0,3.93941494070381,4.096868780768423,11.806354989387648,2.9430570993941054,5.223757138083167,5.4943640368800555,15.688143591474029,-433.05603872598283,-200.32298931168762,-185.53156445713878
ETTm1,20000,10000,10000,1000.0,100.0,1000.0,2.3627259705026438,2.3617135246761123,2.3621788787281917,0.696880188437612,0.689380319338572,0.689789686477436,0.6878499191543023,1.295813747203143,0.22199650052935951,0.28121141286405354
Weather,20000,10000,10000,10.0,10.0,10.0,18785.732090662554,18787.12260552255,18781.01249378838,3.831468113593287,3.8596905678205284,3.7736543433929244,4.776249233167138,-24.658462280345113,-23.74694678864289,-26.568275696198825
