strategy,baseline_strategy,segments,mse_wins,mae_wins,mean_relative_mse_pct,mean_relative_mae_pct,dataset,future_region
HSSG-B_learnability_region_routing,D0_full_time_mse,4,4,4,-6.918312844296112,-3.637576560294745,ETTh2,early_1_96
HSSG-B_learnability_region_routing,D0_full_time_mse,1,1,1,-2.054728429985775,-0.7898813395614379,ETTh2,late_337_720
HSSG-B_learnability_region_routing,D0_full_time_mse,5,5,5,-3.2981434857307446,-1.5662159797223163,ETTh2,middle_97_336
HSSG-B_learnability_region_routing,D0_full_time_mse,4,4,4,-1.0146148092090745,-1.6697558322025547,Weather,early_1_96
HSSG-B_learnability_region_routing,D0_full_time_mse,1,0,1,0.023480881524129416,-0.468818940869431,Weather,late_337_720
HSSG-B_learnability_region_routing,D0_full_time_mse,5,0,4,0.26128625186278676,-0.2587300505288015,Weather,middle_97_336
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,4,2,0,0.026532148189517546,0.47027023439129567,ETTh2,early_1_96
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,1,0,0,1.0009509753899692,0.8491672238753134,ETTh2,late_337_720
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,5,3,2,-0.006327360814315508,0.07785217799640032,ETTh2,middle_97_336
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,4,4,4,-0.6550566667739399,-2.8903622312010295,Weather,early_1_96
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,1,0,0,5.95172093555989,1.8468235947160183,Weather,late_337_720
HSSG-B_learnability_region_routing,HSSG-A_fixed_region_readout,5,0,0,3.8572189723628103,0.8220583414968985,Weather,middle_97_336
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,4,0,0,1.903485604150007,1.701244803880858,ETTh2,early_1_96
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,1,1,0,-0.1927865138100504,1.4318524220319429,ETTh2,late_337_720
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,5,5,3,-1.7344766338063056,-0.3362334870246908,ETTh2,middle_97_336
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,4,0,0,3.233062864946362,2.120423640256952,Weather,early_1_96
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,1,0,0,6.124320308790421,2.0827242051740136,Weather,late_337_720
HSSG-B_learnability_region_routing,D2_r3_prefix_risk,5,0,0,4.788489595045631,1.5614786376906808,Weather,middle_97_336
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,4,0,0,1.9536746868935362,1.7834969121640398,ETTh2,early_1_96
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,1,1,1,-2.584023707967109,-1.2116221098176005,ETTh2,late_337_720
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,5,5,3,-1.2065187387807752,-0.16492324824656235,ETTh2,middle_97_336
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,4,0,0,2.482091812522941,1.127246768231882,Weather,early_1_96
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,1,0,0,4.103903788303254,1.0433626394322104,Weather,late_337_720
HSSG-B_learnability_region_routing,D1_single_720_prefix_risk,5,0,0,3.6521437353565656,1.0787803763460824,Weather,middle_97_336
