model,strategy,dataset,trace_rows,mean_learnable_blocks,mean_noisy_blocks,mean_ambiguous_blocks,mean_noisy_suppression_ratio,mean_region_early_steps,mean_region_middle_steps,mean_region_late_steps,mean_region_abs_residual,last_region_abs_residual
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,708,1.1666666666666667,1.4251412429378532,1.4081920903954803,0.3562853107344633,0.06779661016949153,1.694915254237288,54.23728813559322,0.017378332050288072,0.031555235385894775
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,2000,1.4165,1.8595,0.724,0.464875,0.6,5.424,61.968,0.012458180114834249,0.013930154964327812
