model,strategy,dataset,horizon,mse,mae
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,96,0.3393581807613373,0.3825231194496155
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,192,0.38873955607414246,0.41329216957092285
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,336,0.39454904198646545,0.42475733160972595
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,0.4192008078098297,0.44865214824676514
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,96,0.15470075607299805,0.204793781042099
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,192,0.20070676505565643,0.24629350006580353
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,336,0.2568790018558502,0.28697192668914795
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,0.3384815454483032,0.3417808413505554
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,ETTh2,96,0.3012893795967102,0.35695844888687134
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,ETTh2,192,0.3653062880039215,0.3979943096637726
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,ETTh2,336,0.3815445303916931,0.4151480793952942
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,ETTh2,720,0.416938453912735,0.4467822313308716
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,Weather,96,0.14922431111335754,0.19906075298786163
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,Weather,192,0.19401873648166656,0.24142290651798248
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,Weather,336,0.24781225621700287,0.2822760343551636
PatchEncoderSingle720PrefixRisk,D1_single_720_prefix_risk,Weather,720,0.3260866105556488,0.33662909269332886
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,ETTh2,96,0.30479592084884644,0.35886070132255554
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,ETTh2,192,0.3690433204174042,0.4003613591194153
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,ETTh2,336,0.3829101622104645,0.41559359431266785
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,ETTh2,720,0.41047340631484985,0.43929871916770935
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,Weather,96,0.14802636206150055,0.19702932238578796
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,Weather,192,0.19240911304950714,0.23990498483181
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,Weather,336,0.24479345977306366,0.28043317794799805
PatchEncoderR3PrefixRisk,D2_r3_prefix_risk,Weather,720,0.3208470046520233,0.3337559103965759
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,ETTh2,96,0.3061315715312958,0.36130011081695557
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,ETTh2,192,0.3626208007335663,0.3990219831466675
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,ETTh2,336,0.38006922602653503,0.41535264253616333
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,ETTh2,720,0.40738406777381897,0.4417332708835602
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,Weather,96,0.15396647155284882,0.20714452862739563
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,Weather,192,0.19704756140708923,0.24644456803798676
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,Weather,336,0.24794921278953552,0.2846957743167877
PatchEncoderHSSGRegionRoutedReadout,HSSG-A_fixed_region_readout,Weather,720,0.3223620355129242,0.33613789081573486
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,96,0.3075700104236603,0.36373257637023926
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,192,0.36279958486557007,0.39989620447158813
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,336,0.37915924191474915,0.41559985280036926
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,ETTh2,720,0.4099619388580322,0.4443850815296173
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,96,0.15306849777698517,0.2013026922941208
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,192,0.20024412870407104,0.24401037395000458
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,336,0.25748714804649353,0.28586772084236145
PatchEncoderHSSGLearnabilityRegionRouting,HSSG-B_learnability_region_routing,Weather,720,0.33839207887649536,0.3400600254535675
