horizon,mse,mae
1,0.09082607924938202,0.2004706859588623
2,0.10773336887359619,0.21812300384044647
3,0.11808475106954575,0.2300119400024414
4,0.1247931644320488,0.23785150051116943
5,0.13419711589813232,0.24488243460655212
6,0.14889098703861237,0.257459431886673
7,0.14956894516944885,0.2559569478034973
8,0.15402592718601227,0.2629508078098297
9,0.16258162260055542,0.2693910300731659
10,0.16467903554439545,0.2684698700904846
11,0.17327426373958588,0.2707570791244507
12,0.1740555316209793,0.2720900774002075
13,0.17536216974258423,0.27405962347984314
14,0.1883801966905594,0.2797534167766571
15,0.1804162859916687,0.2773171067237854
16,0.19001594185829163,0.2826363146305084
17,0.1930435597896576,0.2831220328807831
18,0.20083002746105194,0.28445500135421753
19,0.201462060213089,0.2874734103679657
20,0.19700413942337036,0.28376585245132446
21,0.19979415833950043,0.28349965810775757
22,0.20385517179965973,0.2864660918712616
23,0.20798426866531372,0.29069894552230835
24,0.2051503211259842,0.289720356464386
25,0.21865762770175934,0.29588544368743896
26,0.22436963021755219,0.30082449316978455
27,0.23203083872795105,0.3052468001842499
28,0.23670928180217743,0.309979647397995
29,0.23249605298042297,0.3054734766483307
30,0.23697933554649353,0.31036096811294556
31,0.23852577805519104,0.3106355369091034
32,0.24471136927604675,0.31336596608161926
33,0.24811279773712158,0.3210338056087494
34,0.25007742643356323,0.3201521933078766
35,0.2505375146865845,0.32251250743865967
36,0.2584809958934784,0.3259257674217224
37,0.25711071491241455,0.32349395751953125
38,0.2668367922306061,0.32966893911361694
39,0.2587280571460724,0.33072128891944885
40,0.2620507776737213,0.329593688249588
41,0.27925020456314087,0.3346986472606659
42,0.25928598642349243,0.33151084184646606
43,0.2593459188938141,0.32539987564086914
44,0.27818575501441956,0.3411684036254883
45,0.2728031873703003,0.3368678689002991
46,0.2769191265106201,0.3360781967639923
47,0.2774982452392578,0.3402533531188965
48,0.27454230189323425,0.3349689245223999
49,0.280605286359787,0.33628764748573303
50,0.2761286199092865,0.3372570276260376
51,0.2768644094467163,0.3382045328617096
52,0.2767080068588257,0.3389054834842682
53,0.28141453862190247,0.3443872034549713
54,0.28171277046203613,0.3434998393058777
55,0.2869834303855896,0.3426892161369324
56,0.2817452549934387,0.3455701470375061
57,0.28645598888397217,0.34864717721939087
58,0.27834922075271606,0.3434803783893585
59,0.28756847977638245,0.34497368335723877
60,0.29518547654151917,0.34887439012527466
61,0.286236047744751,0.34834301471710205
62,0.2924327254295349,0.3481196165084839
63,0.27882057428359985,0.34356868267059326
64,0.29621732234954834,0.35018405318260193
65,0.2897871732711792,0.3489012122154236
66,0.29457953572273254,0.35226860642433167
67,0.2872962951660156,0.35009270906448364
68,0.2888120710849762,0.34965816140174866
69,0.294577032327652,0.34769487380981445
70,0.296051561832428,0.3535829484462738
71,0.28905200958251953,0.35145288705825806
72,0.2979603409767151,0.352815181016922
73,0.2968548536300659,0.3538849651813507
74,0.2998378574848175,0.35629692673683167
75,0.2950575649738312,0.35560527443885803
76,0.303918719291687,0.3598659634590149
77,0.30525466799736023,0.35928159952163696
78,0.30246496200561523,0.3606571853160858
79,0.2993028163909912,0.35743045806884766
80,0.3047625422477722,0.3608047068119049
81,0.3045565187931061,0.36515334248542786
82,0.30171775817871094,0.3622962236404419
83,0.3040291368961334,0.36298471689224243
84,0.31648191809654236,0.36858996748924255
85,0.3131049871444702,0.36732161045074463
86,0.3068523705005646,0.3660884499549866
87,0.30985426902770996,0.3688807189464569
88,0.3090158998966217,0.36634594202041626
89,0.3160717487335205,0.3689851760864258
90,0.30995550751686096,0.3685741126537323
91,0.30896279215812683,0.36326712369918823
92,0.31763508915901184,0.37529540061950684
93,0.3146389424800873,0.3740813732147217
94,0.3154609203338623,0.3679848909378052
95,0.3156962990760803,0.37193265557289124
96,0.3128789961338043,0.36700698733329773
97,0.3082304298877716,0.36571770906448364
98,0.30198007822036743,0.36236876249313354
99,0.30456414818763733,0.36310631036758423
100,0.30735188722610474,0.36609694361686707
101,0.3028823733329773,0.36729633808135986
102,0.3046562671661377,0.36556243896484375
103,0.30623891949653625,0.3640201687812805
104,0.30700787901878357,0.36968013644218445
105,0.3093189001083374,0.37172994017601013
106,0.3048925995826721,0.3663902282714844
107,0.3043045699596405,0.36433345079421997
108,0.3154703378677368,0.371425062417984
109,0.31452393531799316,0.3714476227760315
110,0.3124200701713562,0.3678106963634491
111,0.30597853660583496,0.3665740191936493
112,0.31839442253112793,0.3736322522163391
113,0.3118307888507843,0.36800602078437805
114,0.3170982301235199,0.3733382821083069
115,0.31591796875,0.37160977721214294
116,0.31959694623947144,0.37225252389907837
117,0.317367285490036,0.36823770403862
118,0.3180151581764221,0.37400007247924805
119,0.3164634108543396,0.3711579144001007
120,0.3181880712509155,0.3699880838394165
121,0.31760331988334656,0.3700626492500305
122,0.3267967700958252,0.3764689564704895
123,0.321909099817276,0.37463173270225525
124,0.32554301619529724,0.37762847542762756
125,0.32759755849838257,0.37735921144485474
126,0.3265518844127655,0.38009026646614075
127,0.32246658205986023,0.3751487731933594
128,0.32916152477264404,0.379953533411026
129,0.32661694288253784,0.3808915317058563
130,0.32997921109199524,0.38145652413368225
131,0.3300440013408661,0.381987601518631
132,0.3386104106903076,0.3844813108444214
133,0.339201420545578,0.38556548953056335
134,0.33006972074508667,0.3811379075050354
135,0.334613174200058,0.3866339921951294
136,0.3346971869468689,0.3850908875465393
137,0.33965712785720825,0.38638097047805786
138,0.33292919397354126,0.385421484708786
139,0.3374392092227936,0.3837752342224121
140,0.33817756175994873,0.39103764295578003
141,0.3427272140979767,0.3922325670719147
142,0.34307512640953064,0.3871365785598755
143,0.3401384949684143,0.38944822549819946
144,0.34112292528152466,0.3877120316028595
145,0.3353043496608734,0.385756254196167
146,0.33347201347351074,0.38431283831596375
147,0.33422914147377014,0.3864647150039673
148,0.3393225073814392,0.3902202844619751
149,0.33577996492385864,0.39151930809020996
150,0.3370518982410431,0.388301819562912
151,0.3379770815372467,0.3879378139972687
152,0.3427831530570984,0.3936142027378082
153,0.3410347104072571,0.39581313729286194
154,0.33660924434661865,0.39250272512435913
155,0.3398568630218506,0.39168581366539
156,0.3448505699634552,0.3963199853897095
157,0.3443121910095215,0.39565593004226685
158,0.3426232635974884,0.3922610878944397
159,0.34014904499053955,0.3921683728694916
160,0.34705260396003723,0.396490216255188
161,0.3411647379398346,0.39412617683410645
162,0.3471445143222809,0.3977251648902893
163,0.34260839223861694,0.3951173424720764
164,0.34687861800193787,0.39655664563179016
165,0.34781625866889954,0.39517056941986084
166,0.3450610935688019,0.39767560362815857
167,0.3468794822692871,0.3972291052341461
168,0.34511542320251465,0.39420366287231445
169,0.3456610441207886,0.3947872817516327
170,0.34482139348983765,0.39829370379447937
171,0.34366562962532043,0.3964329957962036
172,0.3515992760658264,0.4010655879974365
173,0.3477363586425781,0.3993600308895111
174,0.3524438440799713,0.4040300250053406
175,0.34438684582710266,0.3968811333179474
176,0.3504990041255951,0.4009993076324463
177,0.35455766320228577,0.40454044938087463
178,0.35332125425338745,0.4043807089328766
179,0.35770151019096375,0.40620681643486023
180,0.3629438281059265,0.40679648518562317
181,0.36098626255989075,0.408649742603302
182,0.3568769693374634,0.40560483932495117
183,0.3663208782672882,0.41182079911231995
184,0.3622848689556122,0.4078431725502014
185,0.36645016074180603,0.40985533595085144
186,0.36032816767692566,0.408969521522522
187,0.3637770116329193,0.4079686403274536
188,0.36562785506248474,0.41505831480026245
189,0.36484864354133606,0.41420918703079224
190,0.3688640296459198,0.4109736680984497
191,0.3672698140144348,0.4117756187915802
192,0.3696584701538086,0.4116653501987457
193,0.36116987466812134,0.40852347016334534
194,0.358223021030426,0.40748587250709534
195,0.3587205410003662,0.4089333713054657
196,0.3621947765350342,0.41072455048561096
197,0.3612620532512665,0.41098958253860474
198,0.35599908232688904,0.406167596578598
199,0.3594079613685608,0.4059225618839264
200,0.3664831519126892,0.4139326810836792
201,0.3612631559371948,0.4140353500843048
202,0.35669612884521484,0.40918874740600586
203,0.3645758032798767,0.4111499786376953
204,0.3643859028816223,0.4121478497982025
205,0.36266687512397766,0.41092532873153687
206,0.3624308109283447,0.4090828001499176
207,0.355081170797348,0.40509599447250366
