epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,6.380405719001447,0.7364401370286942,0.6939791537100269,0.10634819210897531,5629.022237979597,0.3767169825732708,55,66,65,62,0.21442945301532745,0.3195193409919739,0.2875400185585022,0.3649481534957886,0.37648919224739075,0.4181111454963684,0.6284092664718628,0.5524411201477051
2,6.199464673837347,0.6132752706687297,0.43941774075069734,0.09187293450738634,5576.482051758997,0.3744247332215309,66,64,52,66,0.2144387662410736,0.3201340138912201,0.2879992425441742,0.3640090823173523,0.37579140067100525,0.4154222309589386,0.6194695234298706,0.5464978218078613
3,5.970444779722921,0.5432653127899093,0.385516500761432,0.09046678527468635,5418.564219238297,0.38958878442645073,67,53,65,63,0.2222834676504135,0.3274688422679901,0.29372167587280273,0.36964935064315796,0.38670819997787476,0.42164483666419983,0.6556417942047119,0.5596174597740173
4,5.750211961567402,0.4948871573132853,0.3298411602454801,0.07243501527174827,5248.0033794756855,0.4156404435634613,67,58,74,49,0.24493077397346497,0.3419230878353119,0.3182770311832428,0.3852500319480896,0.4112865924835205,0.43605923652648926,0.6880673766136169,0.5718271136283875
5,5.706241056923905,0.45828512971920354,0.2716190091544582,0.0552883080822686,5241.970423385982,0.4131542108952999,66,63,63,56,0.24154211580753326,0.3400587737560272,0.3088390827178955,0.38175418972969055,0.4061425030231476,0.43464118242263794,0.6960931420326233,0.5720874667167664
6,6.009948222867904,0.43353632645260903,0.22796083770452008,0.0465446270611738,5571.386944432413,0.423760287463665,64,47,53,84,0.25489529967308044,0.34932568669319153,0.32503801584243774,0.39193248748779297,0.4167969822883606,0.4425523281097412,0.6983108520507812,0.5751684904098511
7,5.916650184700566,0.41137886251653394,0.18911624147045997,0.037286480190232396,5501.115889974179,0.43942688405513763,56,58,58,76,0.26052364706993103,0.35366225242614746,0.33818355202674866,0.3994525671005249,0.43906497955322266,0.4536096751689911,0.7199353575706482,0.5828893184661865
8,5.600843193790605,0.39138989739360347,0.15925680845975876,0.030528913022980334,5205.962624986326,0.4304293468594551,64,53,65,66,0.25830724835395813,0.3526214063167572,0.32965633273124695,0.39558571577072144,0.4318859279155731,0.4506077170372009,0.7018678784370422,0.5771381855010986
9,5.629613054375494,0.3753339160353907,0.13787775174263986,0.027311450542671787,5251.248224566059,0.445320188999176,60,56,67,65,0.2643323242664337,0.3569878935813904,0.3416235148906708,0.4023631513118744,0.4480769634246826,0.45875197649002075,0.727247953414917,0.587826132774353
10,5.349783302555161,0.3591906842925856,0.11961383733057207,0.02384077926023653,4987.96169451576,0.44085098057985306,65,65,53,65,0.2620720863342285,0.3552210032939911,0.3399820625782013,0.4006238281726837,0.44150328636169434,0.455010324716568,0.7198464870452881,0.5849948525428772
11,5.5021104319922385,0.3470530453468523,0.10699751276162363,0.022978360004227368,5152.6874094778495,0.4427459090948105,57,57,60,74,0.2633068263530731,0.3579868972301483,0.33922916650772095,0.4026831090450287,0.4483121335506439,0.45867305994033813,0.720135509967804,0.5875574946403503
12,5.2407407842336164,0.3297510225205652,0.0929276664410868,0.0196161545614051,4908.9348139147605,0.4406670108437538,54,71,71,52,0.26476460695266724,0.3573548495769501,0.3425164818763733,0.4031188488006592,0.43977227807044983,0.45622703433036804,0.7156146764755249,0.5865343809127808
