dataset,trial_id,profile_id,validation_mean_mse_4h,test_mean_mse_4h,test_mean_mae_4h,trainable_parameters,complete
ETTh1,ETTh1__h5d_bs16_lr2p4,h5d_bs16_lr2p4,1.1043398752124862,,,2045193,True
ETTh1,ETTh1__h5d_bs16_lr3,h5d_bs16_lr3,1.1073278867397531,,,2045193,True
ETTh1,ETTh1__h5d_bs16_lr3p6,h5d_bs16_lr3p6,1.11326526092358,,,2045193,True
ETTh1,ETTh1__h5d_bs24_lr2p8,h5d_bs24_lr2p8,1.1100961300714445,,,2045193,True
ETTh1,ETTh1__h5d_bs24_lr3p4,h5d_bs24_lr3p4,1.112421158333457,,,2045193,True
ETTh1,ETTh1__h5d_bs24_lr4,h5d_bs24_lr4,1.116350936007479,,,2045193,True
ETTh1,ETTh1__h5d_bs48_lr3p6,h5d_bs48_lr3p6,1.1125440056668594,,,2045193,True
ETTh1,ETTh1__h5d_bs48_lr4p4,h5d_bs48_lr4p4,1.1130266533839324,,,2045193,True
ETTh1,ETTh1__h5d_bs48_lr5p2,h5d_bs48_lr5p2,1.1123968427936133,,,2045193,True
ETTh1,ETTh1__h5d_bs64_lr4,h5d_bs64_lr4,1.1086119321703407,,,2045193,True
ETTh1,ETTh1__h5d_bs64_lr5,h5d_bs64_lr5,1.1107256002530146,,,2045193,True
ETTh1,ETTh1__h5d_bs64_lr6,h5d_bs64_lr6,1.111460401107084,,,2045193,True
ETTh1,ETTh1__h5d_p19_l570_do0,h5d_p19_l570_do0,1.0976796342747375,,,1951305,True
ETTh1,ETTh1__h5d_p19_l589_do0,h5d_p19_l589_do0,1.0971105410078068,,,1951337,True
ETTh1,ETTh1__h5d_p19_l608_do0,h5d_p19_l608_do0,1.1053973677830533,,,1951369,True
ETTh1,ETTh1__h5d_p19_l627_do0,h5d_p19_l627_do0,1.1082233964430448,,,1951401,True
ETTh1,ETTh1__h5d_p19_l589_do0_lr3,h5d_p19_l589_do0_lr3,1.0964086448139925,,,1951337,True
ETTh1,ETTh1__h5d_p19_l589_do0_lr4,h5d_p19_l589_do0_lr4,1.0992427786662509,,,1951337,True
ETTh1,ETTh1__h5d_p19_l589_do0_bs16_lr3,h5d_p19_l589_do0_bs16_lr3,1.1013629896582902,,,1951337,True
ETTh1,ETTh1__h5d_p19_l589_do0_bs48_lr4p4,h5d_p19_l589_do0_bs48_lr4p4,1.1041843959485136,,,1951337,True
ETTh1,ETTh1__h5d_p21_l609_do0,h5d_p21_l609_do0,1.1027927240840942,,,2138921,True
ETTh1,ETTh1__h5d_p21_l630_do0,h5d_p21_l630_do0,1.1058221987794183,,,2138953,True
ETTh1,ETTh1__h5d_p21_l651_do0,h5d_p21_l651_do0,1.0996841336594938,,,2138985,True
ETTh1,ETTh1__h5d_p21_l672_do0,h5d_p21_l672_do0,1.10629079846632,,,2139017,True
ETTh1,ETTh1__h5d_p21_l693_do0,h5d_p21_l693_do0,1.1019607739709687,,,2139049,True
