comparison,dataset,settings,mse_wins,mean_relative_mse_pct,mean_relative_mae_pct
b11_bcf_vs_a6_clean,ETTh2,4,4,-0.3494323811926964,-0.23350036254563833
b11_bcf_vs_a6_clean,ETTm1,4,1,0.007853366903567971,-0.04287194177665099
b11_bcf_vs_a6_clean,Weather,4,0,0.03586673679349395,-0.0539298386812298
b11_bcf_vs_a6_clean,ALL,12,5,-0.10190409249854482,-0.11010071433450637
b11_bcf_vs_b11_constant_slot,ETTh2,4,0,0.08380501603593715,0.046773850216380586
b11_bcf_vs_b11_constant_slot,ETTm1,4,4,-0.003555687041417732,-0.002303758569263681
b11_bcf_vs_b11_constant_slot,Weather,4,3,-0.0012453850993215942,-0.0011074833185770183
b11_bcf_vs_b11_constant_slot,ALL,12,7,0.026334647965065943,0.014454202776179962
b11_bcf_vs_b11_no_basis,ETTh2,4,2,-0.01949798122961033,-0.008819394189663043
b11_bcf_vs_b11_no_basis,ETTm1,4,0,0.008393210581003618,0.004688902724930832
b11_bcf_vs_b11_no_basis,Weather,4,0,0.0073815930550835684,0.00982582112609709
b11_bcf_vs_b11_no_basis,ALL,12,2,-0.0012410591978410472,0.0018984432204549595
b11_constant_slot_vs_a6_clean,ETTh2,4,4,-0.43286322143187006,-0.2801463227698531
b11_constant_slot_vs_a6_clean,ETTm1,4,1,0.011409329834194404,-0.04056904445014775
b11_constant_slot_vs_a6_clean,Weather,4,0,0.03711247662641637,-0.05282290462597927
b11_constant_slot_vs_a6_clean,ALL,12,5,-0.12811380499041977,-0.12451275728199336
b11_no_basis_vs_a6_clean,ETTh2,4,4,-0.32997342252693573,-0.22469266417180223
b11_no_basis_vs_a6_clean,ETTm1,4,1,-0.0005386994799211342,-0.04755793520171969
b11_no_basis_vs_a6_clean,Weather,4,0,0.02848283597968737,-0.06374756160022754
b11_no_basis_vs_a6_clean,ALL,12,5,-0.10067642867572317,-0.11199938699124982
