start,end,baseline_horizon,mse_gain,mae_gain
1,96,96,0.7933546654697746,0.5398072569627075
1,96,192,0.7568404645887472,0.5043762921816253
1,96,336,0.8064990062152103,0.5287982826402946
1,96,720,0.7467072206777507,0.5105676973226705
97,192,192,0.3478919567346441,0.19228995150060724
97,192,336,0.5062595040104815,0.30293788632497287
97,192,720,0.5168036286961208,0.34887674913348
193,336,336,0.5869567842289145,0.3404134342040145
193,336,720,0.6360615968781134,0.4094443953366488
337,720,720,0.7071975945381399,0.4709551989094489
529,720,720,0.7365451598867612,0.49787315013468614
