effect,candidate,reference,dataset,horizon,mse_gain_percent,mae_gain_percent,factor_count
architecture_equal,siff_equal,equal_skill,ETTh1,96,5.399025586316997,4.3177854297885565,1
architecture_equal,siff_equal,equal_skill,ETTh1,192,1.79499931383873,2.370884460903755,1
architecture_equal,siff_equal,equal_skill,ETTh1,336,0.19035954992916437,1.0732720666199014,1
architecture_equal,siff_equal,equal_skill,ETTh1,720,-0.07150532019664091,0.8011788984652601,1
architecture_equal,siff_equal,equal_skill,ETTh2,96,0.42575925711237916,1.0315497675355,1
architecture_equal,siff_equal,equal_skill,ETTh2,192,1.5745925997790788,1.311004443673991,1
architecture_equal,siff_equal,equal_skill,ETTh2,336,3.1039876686358214,1.7814809600018577,1
architecture_equal,siff_equal,equal_skill,ETTh2,720,3.546152852054685,2.1281505037165194,1
architecture_equal,siff_equal,equal_skill,ETTm1,96,-0.6523427500850554,-0.1598425071748677,1
architecture_equal,siff_equal,equal_skill,ETTm1,192,-0.8866972760053882,-0.4993499011070268,1
architecture_equal,siff_equal,equal_skill,ETTm1,336,-1.2749709088532013,-0.7976972919665481,1
architecture_equal,siff_equal,equal_skill,ETTm1,720,-0.3886546219007414,-0.5319296667456452,1
architecture_equal,siff_equal,equal_skill,ETTm2,96,-36.144146760677806,-21.103585021702443,1
architecture_equal,siff_equal,equal_skill,ETTm2,192,-14.993458181783259,-10.419285396964707,1
architecture_equal,siff_equal,equal_skill,ETTm2,336,-6.228162420847072,-5.658493470128301,1
architecture_equal,siff_equal,equal_skill,ETTm2,720,0.3191478791309543,-1.9474828091188945,1
architecture_equal,siff_equal,equal_skill,Weather,96,-0.5641321677492872,-2.3157122510994332,1
architecture_equal,siff_equal,equal_skill,Weather,192,-1.048679464979485,-2.395377445257063,1
architecture_equal,siff_equal,equal_skill,Weather,336,-1.043907296862967,-1.7801479880194426,1
architecture_equal,siff_equal,equal_skill,Weather,720,-0.8507770110580015,-1.5452198967816022,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh1,96,5.266114602831462,4.252714987322226,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh1,192,1.377691773782641,1.964160896915279,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh1,336,-1.240764853189047,0.10841995738766208,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh1,720,-0.42546684183830674,0.5667691433257072,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh2,96,0.27048537644136506,0.8633869859194454,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh2,192,1.3331736680152306,1.2184575426925415,1
architecture_pcc,siff_pcc,pcc_transport_full,ETTh2,336,2.708934759757664,1.6324030359737285,1
