dataset,arm,horizon,mse,mae
ETTh1,pcsd_mcca,96,0.831692179509749,0.6269761566072702
ETTh1,pcsd_mcca,192,1.0738013382845868,0.7087322271739444
ETTh1,pcsd_mcca,336,1.2770677323763568,0.7778291368768329
ETTh1,pcsd_mcca,720,1.418093890013794,0.8325731200476487
ETTh1,siff_equal,96,0.7828478043278059,0.5976326785360774
ETTh1,siff_equal,192,1.04935069133838,0.6899179839529097
ETTh1,siff_equal,336,1.269241472085317,0.7674543177265496
ETTh1,siff_equal,720,1.4167665301097765,0.8248249121424225
ETTh1,siff_pcc,96,0.785353368613869,0.5988567353536686
ETTh1,siff_pcc,192,1.0564110936441768,0.6937435005481044
ETTh1,siff_pcc,336,1.2900376021418543,0.7758296928590253
ETTh1,siff_pcc,720,1.4220317764207722,0.8269848600857788
ETTh1,siff_mcca,96,0.8099651591231426,0.6162045377617081
ETTh1,siff_mcca,192,1.0521262309824426,0.6986538430986305
ETTh1,siff_mcca,336,1.2635904364287853,0.7712074088021403
ETTh1,siff_mcca,720,1.4212218191060755,0.8311978776007891
ETTh1,siff_const_mcca,96,0.8187749967910349,0.6160920970141888
ETTh1,siff_const_mcca,192,1.0804718992828082,0.7050675377249718
ETTh1,siff_const_mcca,336,1.2975954359752082,0.7806963579995292
ETTh1,siff_const_mcca,720,1.4293255222961307,0.8320104252133105
ETTh1,siff_permuted_mcca,96,0.8025813042186201,0.6052221829692522
ETTh1,siff_permuted_mcca,192,1.0640190412135173,0.6958030872046947
ETTh1,siff_permuted_mcca,336,1.2843279799978649,0.7742907044788202
ETTh1,siff_permuted_mcca,720,1.4153658579000168,0.8264326411816809
ETTh1,pcsd_q1_wide_mcca,96,0.8042265973053873,0.6066677548612157
ETTh1,pcsd_q1_wide_mcca,192,1.0609306917370607,0.6980765888777872
ETTh1,pcsd_q1_wide_mcca,336,1.2814612633859117,0.7758314397540831
ETTh1,pcsd_q1_wide_mcca,720,1.4172410662182504,0.8286179041282998
ETTh1,independent_scope_matched_mcca,96,0.7830625291292866,0.6034856357922157
ETTh1,independent_scope_matched_mcca,192,1.0357748668951292,0.6906305610512694
ETTh1,independent_scope_matched_mcca,336,1.2553919054390419,0.7671813500069437
ETTh1,independent_scope_matched_mcca,720,1.4077148466060558,0.8262081291940477
ETTh1,dense_siff_matched,96,0.8769133724272251,0.6319481010238329
ETTh1,dense_siff_matched,192,1.1457314894845088,0.7269035267333189
ETTh1,dense_siff_matched,336,1.3683490001019978,0.803654666812647
ETTh1,dense_siff_matched,720,1.4606082171201706,0.8407317294014824
ETTh1,pcsd_pointwise_mcca,96,0.8412477094680071,0.6306634955108166
ETTh1,pcsd_pointwise_mcca,192,1.0810800036415458,0.71183557373782
