dataset,checkpoint_seed,selected_family,control_family,horizon,mse_log_effect,mse_reduction,mae_log_effect,mae_reduction
ETTh1,2021,block_pca_fit_b96,balanced_interval,48,0.012555310667105433,0.01247682158247676,0.0038126982768546865,0.003805439171303049
ETTh1,2021,block_pca_fit_b96,balanced_interval,96,0.007425719626693779,0.007398217088191439,0.005895210692067994,0.005877868033793199
ETTh1,2021,block_pca_fit_b96,balanced_interval,144,0.014506740445042163,0.014402024658993762,0.007529559887342862,0.007501283764721922
ETTh1,2021,block_pca_fit_b96,balanced_interval,192,0.014400643562326504,0.014297450238787368,0.0075393201095325475,0.007510970725441823
ETTh1,2021,block_pca_fit_b96,balanced_interval,288,0.011882278322343108,0.011811962831574152,0.005719521097028702,0.005703195775408565
ETTh1,2021,block_pca_fit_b96,balanced_interval,336,0.01017023546460098,0.010118693499194142,0.006128629325070341,0.006109887582977591
ETTh1,2021,block_pca_fit_b96,balanced_interval,512,-0.0011229910110043318,-0.0011236218015115984,-0.0003053583020015404,-0.00030540492859376656
ETTh1,2021,block_pca_fit_b96,balanced_interval,720,-0.013101940498754083,-0.013188147000567696,-0.007320112316727533,-0.007346969832240147
ETTh1,2021,block_pca_fit_b96,dct2,48,0.025112709341048003,0.024800008314528554,0.013392654386918695,0.013303371812478315
ETTh1,2021,block_pca_fit_b96,dct2,96,0.006718475366761469,0.00669595686934632,0.006022309514575499,0.006004211756955424
ETTh1,2021,block_pca_fit_b96,dct2,144,0.005202473259592456,0.005188963833213767,0.0030332413863437134,0.003028645757414683
ETTh1,2021,block_pca_fit_b96,dct2,192,0.005799616425652765,0.005782831115440867,0.0030655547160680454,0.003060860701021184
ETTh1,2021,block_pca_fit_b96,dct2,288,0.0006049491839685263,0.0006047662391035491,-0.0007034777420326609,-0.0007037252405326377
ETTh1,2021,block_pca_fit_b96,dct2,336,-0.00131815718928071,-0.0013190263403191071,-0.0009618473046000072,-0.0009623100280631292
ETTh1,2021,block_pca_fit_b96,dct2,512,-0.010795867747770563,-0.010854353406311024,-0.005746097463808133,-0.005762637947741567
ETTh1,2021,block_pca_fit_b96,dct2,720,-0.022465982952465137,-0.022720243649570815,-0.012170966047539799,-0.012245333657100232
ETTh1,2021,block_pca_fit_b96,pca_fit,48,-0.001349233281253594,-0.0013501439059795395,-0.005062846069415042,-0.0050756839308045976
ETTh1,2021,block_pca_fit_b96,pca_fit,96,-0.018415749054165927,-0.018586364689758827,-0.01129048866320202,-0.01135446678503338
ETTh1,2021,block_pca_fit_b96,pca_fit,144,-0.019547364100564343,-0.019739664768887444,-0.014463659897659728,-0.014568764748726926
ETTh1,2021,block_pca_fit_b96,pca_fit,192,-0.020468007402014994,-0.02067891355068907,-0.015113799641386608,-0.01522859069172755
ETTh1,2021,block_pca_fit_b96,pca_fit,288,-0.02588264923595549,-0.026220513645666355,-0.01894083287739986,-0.01912134835576662
ETTh1,2021,block_pca_fit_b96,pca_fit,336,-0.02841626119899479,-0.028823854751228284,-0.019304580043735066,-0.019492118287550486
ETTh1,2021,block_pca_fit_b96,pca_fit,512,-0.03448767128233712,-0.03508926697412029,-0.021123531444803677,-0.021348212465287064
ETTh1,2021,block_pca_fit_b96,pca_fit,720,-0.04152995437176729,-0.04240438595233065,-0.023654377362743704,-0.02393636114089226
ETTh1,2022,block_pca_fit_b96,balanced_interval,48,0.016785538911095518,0.016645446689179333,0.004991412137150992,0.004978975739921454
ETTh1,2022,block_pca_fit_b96,balanced_interval,96,0.017571347182331866,0.017417871302156662,0.008544167891115968,0.00850777022499738
ETTh1,2022,block_pca_fit_b96,balanced_interval,144,0.018466033227462424,0.018296580677774732,0.007675996897689576,0.007646611668548742
ETTh1,2022,block_pca_fit_b96,balanced_interval,192,0.015406513555814131,0.015288440368923628,0.005328343647682561,0.0053141732041710465
ETTh1,2022,block_pca_fit_b96,balanced_interval,288,0.001621723304726641,0.0016204090220517386,-0.0026578116907322855,-0.0026613468034182297
ETTh1,2022,block_pca_fit_b96,balanced_interval,336,-0.0017950183082791216,-0.001796630318027459,-0.004132037787733935,-0.004140586426250481
ETTh1,2022,block_pca_fit_b96,balanced_interval,512,-0.013006686508235707,-0.013091641382765529,-0.010963751661873267,-0.01102407383801518
ETTh1,2022,block_pca_fit_b96,balanced_interval,720,-0.01920711007903209,-0.019392753269397156,-0.015053271521882615,-0.015167142673951473
ETTh1,2022,block_pca_fit_b96,dct2,48,0.014999126859468765,0.01488720025539958,0.007651501395302988,0.007622303176033407
ETTh1,2022,block_pca_fit_b96,dct2,96,0.00978665958197039,0.00973892607319704,0.0061624421506234995,0.006143493247813381
ETTh1,2022,block_pca_fit_b96,dct2,144,0.007023109600282774,0.006998505199550031,0.0027635789240171983,0.0027597637550985654
ETTh1,2022,block_pca_fit_b96,dct2,192,0.00986554754515462,0.009817042671069642,0.003703780062776939,0.003696929529632742
ETTh1,2022,block_pca_fit_b96,dct2,288,0.0027839790925907725,0.0027801074165185735,-0.0014656722329137227,-0.0014667468554114826
ETTh1,2022,block_pca_fit_b96,dct2,336,0.001111748233033313,0.001111130469920063,-0.0020454208874353848,-0.002047514187722088
ETTh1,2022,block_pca_fit_b96,dct2,512,-0.006203947867635692,-0.006223232211269192,-0.006176885817434752,-0.006196002116098498
ETTh1,2022,block_pca_fit_b96,dct2,720,-0.0124739561284967,-0.01255208042096001,-0.010003825604693345,-0.010054031144218989
ETTh1,2022,block_pca_fit_b96,pca_fit,48,0.02042833155848623,0.020221086813937306,0.0036860732498068924,0.003679288021315452
ETTh1,2022,block_pca_fit_b96,pca_fit,96,0.0023526383543244983,0.0023498730697080195,-0.001373958795049458,-0.0013749031088678976
ETTh1,2022,block_pca_fit_b96,pca_fit,144,-0.005627022154257178,-0.005642883580328828,-0.007382363508796137,-0.00740968033382039
ETTh1,2022,block_pca_fit_b96,pca_fit,192,-0.00965834553957179,-0.009705137883066373,-0.01000097350281475,-0.010051150371327422
ETTh1,2022,block_pca_fit_b96,pca_fit,288,-0.021903821155757883,-0.0221454709726292,-0.017616408212431253,-0.017772492331671108
ETTh1,2022,block_pca_fit_b96,pca_fit,336,-0.025226289731086832,-0.025547165060989308,-0.018929956517258827,-0.019110264085232753
ETTh1,2022,block_pca_fit_b96,pca_fit,512,-0.030281021713459127,-0.03074415474524983,-0.02112151638545588,-0.021346154390097682
ETTh1,2022,block_pca_fit_b96,pca_fit,720,-0.0308519229924345,-0.031332775907790156,-0.020613538421936802,-0.020827464803136353
ETTh1,2023,block_pca_fit_b96,balanced_interval,48,-0.002769202885299335,-0.0027730406693258214,-0.003840660668149644,-0.0038480454564622235
ETTh1,2023,block_pca_fit_b96,balanced_interval,96,0.00811642927633917,0.00808357999726872,0.0042794001690006,0.004270256583767451
ETTh1,2023,block_pca_fit_b96,balanced_interval,144,0.014000446135839586,0.01390289567049574,0.0049182297007627825,0.004906155012541991
ETTh1,2023,block_pca_fit_b96,balanced_interval,192,0.013220966280435259,0.013133953193546377,0.0034923722562722245,0.003486281017305193
