dataset,checkpoint_seed,selected_family,covariance_offdiag_ratio,variance_capture_top16,variance_capture_top64,mean_atom_support_fraction,active_atoms_h48
ETTh1,2021,block_pca_fit_b96,0.8631115591048165,0.6313049229241299,0.8515300109958414,0.12888889014720917,96.0
ETTh1,2022,block_pca_fit_b96,0.8631115591048165,0.6313049229241299,0.8515300109958414,0.12888889014720917,96.0
ETTh1,2023,block_pca_fit_b96,0.8631115591048165,0.6313049229241299,0.8515300109958414,0.12888889014720917,96.0
ETTh2,2021,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0
ETTh2,2022,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0
ETTh2,2023,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0
ETTm1,2021,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0
ETTm1,2022,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0
ETTm1,2023,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0
ETTm2,2021,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0
ETTm2,2022,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0
ETTm2,2023,block_pca_fit_b96,0.8927135776967529,0.990461083205998,0.9995917472144135,0.12888889014720917,96.0
Weather,2021,block_pca_fit_b96,0.3251962021569905,0.5865649984808384,0.9019606960078518,0.12888695299625397,96.0
Weather,2022,block_pca_fit_b96,0.3251962021569905,0.5865649984808384,0.9019606960078518,0.12888695299625397,96.0
Weather,2023,block_pca_fit_b96,0.3251962021569905,0.5865649984808384,0.9019606960078518,0.12888695299625397,96.0
