candidate_family,control_family,horizon,mse_reduction,mae_reduction
block_dct2_b144,balanced_interval,48,0.02515894964084109,0.008871172479299028
block_dct2_b144,balanced_interval,96,0.02547287397938769,0.00991333600325206
block_dct2_b144,balanced_interval,144,0.019054991606952343,0.007668509340503449
block_dct2_b144,balanced_interval,192,0.0077019477875748255,0.002847050675926721
block_dct2_b144,balanced_interval,288,-0.0010842514811348902,-0.0003273737420783629
block_dct2_b144,balanced_interval,336,-0.0040224292857886645,-0.0016430892491949844
block_dct2_b144,balanced_interval,512,-0.007458654448858404,-0.0034341188781050747
block_dct2_b144,balanced_interval,720,-0.008675041509544457,-0.0054099387750219385
block_dct2_b144,dct2,48,0.010766323505422615,0.005624014879188843
block_dct2_b144,dct2,96,0.013243322969378024,0.0044119045608023155
block_dct2_b144,dct2,144,0.0074154339699078475,0.0008291058404144014
block_dct2_b144,dct2,192,-0.0008571518619786556,-0.0031763856462896367
block_dct2_b144,dct2,288,-0.007943254569285685,-0.0061094717136327414
block_dct2_b144,dct2,336,-0.010363648378908907,-0.007284683709430029
block_dct2_b144,dct2,512,-0.012539446463993187,-0.007926251643199045
block_dct2_b144,dct2,720,-0.011618758396480189,-0.007982866385942033
block_dct2_b144,pca_fit,48,0.008878985500536007,0.0020888771035237896
block_dct2_b144,pca_fit,96,0.003644022750714848,-0.0010412424117445251
block_dct2_b144,pca_fit,144,-0.005546330134106103,-0.005084739874049449
block_dct2_b144,pca_fit,192,-0.011826753061002782,-0.00786497115060314
block_dct2_b144,pca_fit,288,-0.014765387176695732,-0.009789797059066796
block_dct2_b144,pca_fit,336,-0.015562540921880474,-0.01009655702376433
block_dct2_b144,pca_fit,512,-0.01397239254952054,-0.008798055698358898
block_dct2_b144,pca_fit,720,-0.01381430650854143,-0.008654488080448663
block_dct2_b16,balanced_interval,48,-0.003271409036514461,-0.003487036088986706
block_dct2_b16,balanced_interval,96,-0.005823574658718966,-0.005056010857622306
block_dct2_b16,balanced_interval,144,-0.003490596765682419,-0.005236900732464855
block_dct2_b16,balanced_interval,192,-0.008448426694822153,-0.006922696533078865
block_dct2_b16,balanced_interval,288,-0.011243551702480259,-0.006908049900675062
block_dct2_b16,balanced_interval,336,-0.011319027307097995,-0.0063949272232588505
block_dct2_b16,balanced_interval,512,-0.01794109719015302,-0.009584318529119118
block_dct2_b16,balanced_interval,720,-0.0171094277906525,-0.011056192922526575
block_dct2_b16,dct2,48,-0.018083783112572194,-0.00677468191803543
block_dct2_b16,dct2,96,-0.018445871550123005,-0.010640619701089538
block_dct2_b16,dct2,144,-0.015397672635736104,-0.012165251633351026
block_dct2_b16,dct2,192,-0.01714683193332056,-0.01300514832552735
block_dct2_b16,dct2,288,-0.01817216199051308,-0.012728185533966041
block_dct2_b16,dct2,336,-0.01770633035744651,-0.012063285650697697
block_dct2_b16,dct2,512,-0.023074754016308985,-0.014103984256113256
block_dct2_b16,dct2,720,-0.020077759587549204,-0.013643569767171293
block_dct2_b16,pca_fit,48,-0.020026163625572968,-0.010353898696082497
block_dct2_b16,pca_fit,96,-0.02835344846856569,-0.01617621405070313
block_dct2_b16,pca_fit,144,-0.02865734395735342,-0.018156007739928537
block_dct2_b16,pca_fit,192,-0.028294971391985335,-0.017739670910181138
block_dct2_b16,pca_fit,288,-0.02506352762521935,-0.01643272198257706
block_dct2_b16,pca_fit,336,-0.022943005153020835,-0.014888498613192747
block_dct2_b16,pca_fit,512,-0.02452260967179898,-0.014981131730332553
block_dct2_b16,pca_fit,720,-0.022291666536811583,-0.014318963203563628
block_dct2_b32,balanced_interval,48,0.006623261268135061,0.002703059864336721
block_dct2_b32,balanced_interval,96,0.0018526823575462092,0.0001233804068535571
block_dct2_b32,balanced_interval,144,3.7857656668194295e-05,-0.0018814530800719265
block_dct2_b32,balanced_interval,192,-0.008887482805628455,-0.005060849059546513
block_dct2_b32,balanced_interval,288,-0.012344538119428705,-0.006487976169080367
block_dct2_b32,balanced_interval,336,-0.012603029777681574,-0.006078868623029088
block_dct2_b32,balanced_interval,512,-0.01608618160864972,-0.00805634082572948
block_dct2_b32,balanced_interval,720,-0.013802423900360905,-0.008380801020004824
block_dct2_b32,dct2,48,-0.00804302715593308,-0.0005643058390996103
block_dct2_b32,dct2,96,-0.010673283529579303,-0.005432449071138823
block_dct2_b32,dct2,144,-0.011827350781197898,-0.008786677373938012
block_dct2_b32,dct2,192,-0.017589675137123395,-0.011132054112258594
block_dct2_b32,dct2,288,-0.019280691897655133,-0.012305683689800118
block_dct2_b32,dct2,336,-0.01899844234903747,-0.011745446900964351
block_dct2_b32,dct2,512,-0.02121048376775936,-0.012569166164723145
block_dct2_b32,dct2,720,-0.016761104538265403,-0.01096133131437127
block_dct2_b32,pca_fit,48,-0.009966251123048941,-0.0041214439110977
block_dct2_b32,pca_fit,96,-0.020505247677800043,-0.01093951664343007
block_dct2_b32,pca_fit,144,-0.02504039870039909,-0.014757436534025281
block_dct2_b32,pca_fit,192,-0.02874266824880989,-0.015857822341744043
block_dct2_b32,pca_fit,288,-0.02617956047262271,-0.01600867463636657
block_dct2_b32,pca_fit,336,-0.024241765791768177,-0.01456977260456127
block_dct2_b32,pca_fit,512,-0.02265570110751325,-0.013444986100708656
block_dct2_b32,pca_fit,720,-0.018967813246420162,-0.011634937568069548
block_dct2_b48,balanced_interval,48,0.018903632657497615,0.006509041498981016
block_dct2_b48,balanced_interval,96,0.012302978077298299,0.0047873391907437
block_dct2_b48,balanced_interval,144,0.004876777410121158,0.000646038120219794
block_dct2_b48,balanced_interval,192,8.235671932954602e-05,-0.0016817066231977762
block_dct2_b48,balanced_interval,288,-0.002996694229710606,-0.0018703896274436804
block_dct2_b48,balanced_interval,336,-0.0048944999162030545,-0.002570061140637625
block_dct2_b48,balanced_interval,512,-0.01145288970699565,-0.005573134907808752
block_dct2_b48,balanced_interval,720,-0.014653781694824675,-0.008460202882282442
block_dct2_b48,dct2,48,0.004418652554561531,0.0032541450345050515
block_dct2_b48,dct2,96,-9.184479578272509e-05,-0.000742574930105544
block_dct2_b48,dct2,144,-0.006931014062584229,-0.006241766055143039
block_dct2_b48,dct2,192,-0.00854246596484698,-0.007732499512156155
block_dct2_b48,dct2,288,-0.009868800561368518,-0.0076614065481892535
block_dct2_b48,dct2,336,-0.011241226845374541,-0.008216876621757185
block_dct2_b48,dct2,512,-0.016553825356329765,-0.010074843532255517
block_dct2_b48,dct2,720,-0.017614946935017528,-0.011040936372615162
block_dct2_b48,pca_fit,48,0.0025192039625479,-0.0002894179410206643
block_dct2_b48,pca_fit,96,-0.009820871300392442,-0.006223954596835446
block_dct2_b48,pca_fit,144,-0.020080122682613943,-0.012197462513760193
block_dct2_b48,pca_fit,192,-0.019596299794512717,-0.012442379107651336
block_dct2_b48,pca_fit,288,-0.0167039659759729,-0.011347408835612693
block_dct2_b48,pca_fit,336,-0.016444635026010124,-0.011031352187884202
block_dct2_b48,pca_fit,512,-0.017992452591899966,-0.010948506008226166
block_dct2_b48,pca_fit,720,-0.019823508764268416,-0.011714595667377647
block_dct2_b96,balanced_interval,48,0.02277690983457037,0.010819508537331823
block_dct2_b96,balanced_interval,96,0.016000166496904833,0.008629750800601688
block_dct2_b96,balanced_interval,144,0.01111522800417708,0.006218197116400814
block_dct2_b96,balanced_interval,192,0.003795942257645901,0.0032053411941159737
block_dct2_b96,balanced_interval,288,-0.0026893804483028028,9.321057326538984e-06
block_dct2_b96,balanced_interval,336,-0.004889723809933244,-0.000954201395982679
block_dct2_b96,balanced_interval,512,-0.00887189768136154,-0.0032502352403604995
block_dct2_b96,balanced_interval,720,-0.011823950096600422,-0.006446554755898948
block_dct2_b96,dct2,48,0.008349115085398373,0.007578734117755448
block_dct2_b96,dct2,96,0.0036517404384058816,0.003121187097664291
block_dct2_b96,dct2,144,-0.0006185401495510945,-0.0006312023080292661
block_dct2_b96,dct2,192,-0.004796848771718043,-0.0028159308261017646
block_dct2_b96,dct2,288,-0.009559381196766914,-0.005770830749034506
block_dct2_b96,dct2,336,-0.0112364205741049,-0.006591915805590931
block_dct2_b96,dct2,512,-0.013959816931841784,-0.0077415448027164935
block_dct2_b96,dct2,720,-0.014776856757250822,-0.00902213515328576
block_dct2_b96,pca_fit,48,0.00645716533970131,0.00405054562679219
block_dct2_b96,pca_fit,96,-0.006040867971050634,-0.0023390295375860237
