dataset,checkpoint_seed,family,structure_seed_count,mean_val_mse_h48,mean_val_mae_h48,mean_val_mse_h96,mean_val_mae_h96,mean_val_mse_h144,mean_val_mae_h144,mean_val_mse_h192,mean_val_mae_h192,mean_val_mse_h288,mean_val_mae_h288,mean_val_mse_h336,mean_val_mae_h336,mean_val_mse_h512,mean_val_mae_h512,mean_val_mse_h720,mean_val_mae_h720,mean_horizon_log_mse,mean_horizon_log_mae
ETTh1,2021,balanced_interval,3,0.7279074781225436,0.6071361923669008,0.8855628721934006,0.6691207862297508,1.0625623911399387,0.7268686539276132,1.2149812617403324,0.7775816445983129,1.443890856287319,0.8525345101504155,1.5106496192116403,0.8728912636784328,1.6001264877608123,0.8979108493082683,1.6293798235393806,0.9095778846914228,0.19430777671915822,-0.24616424583544497
ETTh1,2021,block_dct2_b144,3,0.7212113891852853,0.6056756107680753,0.8782987837875277,0.6670017735218614,1.0493131366506498,0.7216223963156779,1.2022884141614218,0.773169849388249,1.4357533451967326,0.8496862810680648,1.5082112979033049,0.8713171290449261,1.6152873910512506,0.9022465989297088,1.6550387353237295,0.9178234004787384,0.19146531031228264,-0.24739226779490434
ETTh1,2021,block_dct2_b16,3,0.723414102657548,0.6089330577480775,0.8878047428839333,0.6718980300733314,1.0609882731445348,0.7273857108595209,1.2159105642304455,0.777617073854608,1.4506889438929123,0.8524196910364795,1.520493937703609,0.8724115189904957,1.6357171258272323,0.9052332153656376,1.6883356648745693,0.924746633117994,0.20235193690926762,-0.2421854462381641
ETTh1,2021,block_dct2_b32,3,0.7266985499319911,0.6079055577594955,0.8959914378969654,0.6730883975835648,1.0627080580328947,0.7278507443199662,1.2216793715162029,0.7796918726880465,1.451646088065149,0.8537641932107525,1.518368937338819,0.8731425124748224,1.6278591108205849,0.9047531084058729,1.6729592676701115,0.9218001426478999,0.2030216929628299,-0.24192585715940945
ETTh1,2021,block_dct2_b48,3,0.7166590548422854,0.6030440102522949,0.8802153907054884,0.6671352360210926,1.0608911256347535,0.7267446728301052,1.2108303751238498,0.7761704703854887,1.4312620252760129,0.8484878388596687,1.501230522914527,0.8690886240328417,1.611248078756598,0.9002973138495127,1.6588430452696294,0.9181049522668006,0.1922053886708236,-0.24727178323654042
ETTh1,2021,block_dct2_b96,3,0.7278089502283132,0.608032745342763,0.8842442144501571,0.6676435557110989,1.0524227015246908,0.7232757098227719,1.2044320915845395,0.773732730335245,1.4416869245785382,0.8516226131532464,1.5097062568281903,0.8721956290760142,1.6161576807256404,0.902560952453627,1.6625240758895767,0.9199120072079011,0.19531022778002616,-0.24567132375060394
ETTh1,2021,block_pca_fit_b144,3,0.7299898083296953,0.6090469321739894,0.8970136515964837,0.6722793208091739,1.0622876870537046,0.7251879202573498,1.215437958390712,0.777165782037718,1.4400169278672392,0.8507588236358171,1.5062931141739715,0.8705811182850975,1.6039898832942046,0.8992818597441875,1.6442399157292236,0.9142925028455038,0.1970249222565754,-0.24529397495637112
ETTh1,2021,block_pca_fit_b16,3,0.7279582753823644,0.6097845969331469,0.8927929798686206,0.6727902728463501,1.0665944181841567,0.7281287502350426,1.2244536793953662,0.7795942001913383,1.4608045037901427,0.8549802993343928,1.5303177444004872,0.8752464835520117,1.6524752309487212,0.9099857853556934,1.7026047641705324,0.9293070208615469,0.20936871972680288,-0.23934990912649862
ETTh1,2021,block_pca_fit_b32,3,0.7185430015626519,0.6061197480670345,0.8903526219589967,0.6708966847274708,1.0561363520100853,0.7246878958671067,1.2152550124601864,0.7769917259583514,1.4482056574446176,0.8520072602845916,1.5163090613754802,0.8718711616169945,1.629488528672587,0.9043542993411737,1.6740139490803918,0.9214006930027625,0.1991248441094295,-0.24422822622570503
ETTh1,2021,block_pca_fit_b48,3,0.7233921748800471,0.6080035774129334,0.8814706431735545,0.6682163457366103,1.0535530361949643,0.7244689761844303,1.21124134323768,0.7760108842049172,1.4377074234172498,0.8496204279002082,1.5063564307516804,0.8698206574927457,1.6187359062394742,0.9020092420586119,1.6658069289479158,0.9198318982136696,0.1948181770455779,-0.2457189429928845
