dataset,checkpoint_seed,family,covariance_offdiag_ratio,variance_capture_top16,variance_capture_top64,mean_atom_support_fraction,active_atoms_h48,active_atoms_h96,active_atoms_h144,active_atoms_h192,active_atoms_h288,active_atoms_h336,active_atoms_h512,active_atoms_h720
ETTh1,2023,block_dct2_b96,0.8651781964526819,0.6216326246190298,0.8288448214906342,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh1,2023,block_pca_fit_b144,0.794466916946282,0.6721907652312701,0.8645680771363667,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh1,2023,block_pca_fit_b16,0.9640528290401532,0.336852624829363,0.749409690027608,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh1,2023,block_pca_fit_b32,0.9406296997930174,0.5072774834639071,0.8006502890845413,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh1,2023,block_pca_fit_b48,0.9164065053430243,0.5947708583716136,0.8217017243777479,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh1,2023,block_pca_fit_b96,0.8631115591048165,0.6313049229241299,0.8515300109958414,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh1,2023,dct2,0.36313690810955723,0.7328793518551392,0.8714343266409473,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh1,2023,pca_fit,3.4798864053282934e-08,0.7572288250953824,0.8884098752722832,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2021,balanced_interval,0.6344316876172997,0.9875265818781972,0.9963341250891955,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTh2,2021,block_dct2_b144,0.8479650882480065,0.9901262701257764,0.9967908535851074,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2021,block_dct2_b16,0.9832404503917093,0.5304064816182649,0.9959264883428153,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2021,block_dct2_b32,0.9669354591284475,0.9430440585051533,0.996485010220796,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2021,block_dct2_b48,0.9496578602118152,0.9864509867185682,0.9965100134430696,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2021,block_dct2_b96,0.9035619474979786,0.9886131409432152,0.9964677142703868,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2021,block_pca_fit_b144,0.8451690173016922,0.9956893904701068,0.9997643674335106,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2021,block_pca_fit_b16,0.9832189460147992,0.5306108717327173,0.9975166587061324,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2021,block_pca_fit_b32,0.9668712347259169,0.9436687660998625,0.9985565185367941,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2021,block_pca_fit_b48,0.9494914830985522,0.9886334725952931,0.9990374879571219,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2021,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2021,dct2,0.626189723485413,0.9882386012723416,0.9967246725104252,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2021,pca_fit,3.7406403298080255e-08,0.9993558895871039,0.9998439588441341,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2022,balanced_interval,0.6344316876172997,0.9875265818781972,0.9963341250891955,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTh2,2022,block_dct2_b144,0.8479650882480065,0.9901262701257764,0.9967908535851074,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2022,block_dct2_b16,0.9832404503917093,0.5304064816182649,0.9959264883428153,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2022,block_dct2_b32,0.9669354591284475,0.9430440585051533,0.996485010220796,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2022,block_dct2_b48,0.9496578602118152,0.9864509867185682,0.9965100134430696,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2022,block_dct2_b96,0.9035619474979786,0.9886131409432152,0.9964677142703868,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2022,block_pca_fit_b144,0.8451690173016922,0.9956893904701068,0.9997643674335106,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2022,block_pca_fit_b16,0.9832189460147992,0.5306108717327173,0.9975166587061324,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2022,block_pca_fit_b32,0.9668712347259169,0.9436687660998625,0.9985565185367941,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2022,block_pca_fit_b48,0.9494914830985522,0.9886334725952931,0.9990374879571219,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2022,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2022,dct2,0.626189723485413,0.9882386012723416,0.9967246725104252,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2022,pca_fit,3.7406403298080255e-08,0.9993558895871039,0.9998439588441341,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2023,balanced_interval,0.6344316876172997,0.9875265818781972,0.9963341250891955,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTh2,2023,block_dct2_b144,0.8479650882480065,0.9901262701257764,0.9967908535851074,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2023,block_dct2_b16,0.9832404503917093,0.5304064816182649,0.9959264883428153,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2023,block_dct2_b32,0.9669354591284475,0.9430440585051533,0.996485010220796,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2023,block_dct2_b48,0.9496578602118152,0.9864509867185682,0.9965100134430696,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2023,block_dct2_b96,0.9035619474979786,0.9886131409432152,0.9964677142703868,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2023,block_pca_fit_b144,0.8451690173016922,0.9956893904701068,0.9997643674335106,0.20000000298023224,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTh2,2023,block_pca_fit_b16,0.9832189460147992,0.5306108717327173,0.9975166587061324,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTh2,2023,block_pca_fit_b32,0.9668712347259169,0.9436687660998625,0.9985565185367941,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTh2,2023,block_pca_fit_b48,0.9494914830985522,0.9886334725952931,0.9990374879571219,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTh2,2023,block_pca_fit_b96,0.9028539209529711,0.993728046491026,0.9996525710682275,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTh2,2023,dct2,0.626189723485413,0.9882386012723416,0.9967246725104252,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTh2,2023,pca_fit,3.7406403298080255e-08,0.9993558895871039,0.9998439588441341,0.9999961256980896,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2021,balanced_interval,0.42998920504984106,0.6897735802336883,0.9007870734826305,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm1,2021,block_dct2_b144,0.7639058772011356,0.7265132591481857,0.9315700211108986,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2021,block_dct2_b16,0.9407828611869998,0.3639516728048037,0.8984588416432796,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm1,2021,block_dct2_b32,0.9059413455887905,0.5875104965412452,0.9208847139331673,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2021,block_dct2_b48,0.8812078105829976,0.684224506819673,0.9263041237850315,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2021,block_dct2_b96,0.834801341187875,0.6923601752346128,0.9298320889169083,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2021,block_pca_fit_b144,0.759514314016672,0.7504216227702565,0.9336481196734582,0.19999806582927704,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2021,block_pca_fit_b16,0.9406621664266904,0.3642396912176011,0.8994107627945146,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm1,2021,block_pca_fit_b32,0.9052800595323319,0.5892755525840032,0.9220534687337847,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2021,block_pca_fit_b48,0.879714657257106,0.6891033301779913,0.9271145420011099,0.06666667014360428,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2021,block_pca_fit_b96,0.8325484382103191,0.7089740108393748,0.9309073259310322,0.12888889014720917,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2021,dct2,0.3386539178998291,0.7978733965783696,0.9376896289655056,0.9977777600288391,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2021,pca_fit,3.506237666809827e-08,0.8206981149451025,0.9445200914050487,1.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
ETTm1,2022,balanced_interval,0.42998920504984106,0.6897735802336883,0.9007870734826305,0.014691358432173729,55.0,103.0,149.0,199.0,293.0,339.0,516.0,720.0
ETTm1,2022,block_dct2_b144,0.7639058772011356,0.7265132591481857,0.9315700211108986,0.19907407462596893,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2022,block_dct2_b16,0.9407828611869998,0.3639516728048037,0.8984588416432796,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
ETTm1,2022,block_dct2_b32,0.9059413455887905,0.5875104965412452,0.9208847139331673,0.04395061731338501,64.0,96.0,160.0,192.0,288.0,352.0,512.0,720.0
ETTm1,2022,block_dct2_b48,0.8812078105829976,0.684224506819673,0.9263041237850315,0.06620370596647263,48.0,96.0,144.0,192.0,288.0,336.0,528.0,720.0
ETTm1,2022,block_dct2_b96,0.834801341187875,0.6923601752346128,0.9298320889169083,0.12842592597007751,96.0,96.0,192.0,192.0,288.0,384.0,576.0,720.0
ETTm1,2022,block_pca_fit_b144,0.759514314016672,0.7504216227702565,0.9336481196734582,0.19999806582927704,144.0,144.0,144.0,288.0,288.0,432.0,576.0,720.0
ETTm1,2022,block_pca_fit_b16,0.9406621664266904,0.3642396912176011,0.8994107627945146,0.02222222276031971,48.0,96.0,144.0,192.0,288.0,336.0,512.0,720.0
