short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.4893790275518834e-14,6.672416219544175e-08,0.0
192,720,1.297888679803504e-14,6.188145107444143e-08,0.0
336,720,8.653552863429476e-15,4.4588787773136573e-08,0.0
