origin,channel,min_gain,target_std_scaled,uvhf_common96_mse,dlinear_common96_mse_h96,dlinear_common96_mse_h192,dlinear_common96_mse_h336,dlinear_common96_mse_h720,relative_gain_h96,relative_gain_h192,relative_gain_h336,relative_gain_h720,mean_range96,q25_range96,visibility96,persistent_fraction96,mean_sorted_gap96,accuracy_eligible
144,4,0.261279305125136,0.33233382381175214,0.06317338110653026,0.08551727539896732,0.12408012823120718,0.10169488918529239,0.1292477241757838,0.261279305125136,0.7550722153268186,0.7807974857598539,0.7070968751466274,0.8911635450641153,0.7198544616511526,0.14178868439616676,0.84375,0.29705451502137176,True
142,4,0.4414056292391839,0.33312622775352946,0.05314161254771695,0.09513452932820836,0.13809827203597802,0.11931543021451718,0.1506978903882684,0.4414056292391839,0.7672763704633115,0.7833859217548028,0.7160337071774655,0.8322043466303223,0.6541532067229383,0.1356901541165348,0.8125,0.2774014488767741,True
121,4,0.5410822389514048,0.33608177188554345,0.07127994056203295,0.15532181713595752,0.18880866810017594,0.18561098856933356,0.23687747073253154,0.5410822389514048,0.7738195249059705,0.8367838106517284,0.7856491738654264,0.7685010100008149,0.6390421075781205,0.12899398477660806,0.8229166666666666,0.256167003333605,True
568,4,0.0957800561795914,0.6699169635086024,0.051632951225716095,0.06912942652253011,0.08116622346183548,0.08081965858335316,0.10458507953188316,0.25309735921375975,0.4990986030014518,0.7158285374961318,0.0957800561795914,0.7063575316670109,0.5681312973123909,0.12863916947222012,0.78125,0.2354525105556703,True
143,4,0.5622274587458105,0.33319254713883256,0.048063838412201555,0.10979180712088936,0.15192369163389122,0.13419038763701074,0.17389164830916512,0.5622274587458105,0.7970683469951689,0.8044828193300673,0.7350410999731549,0.7261015481477054,0.5809693622764911,0.12412874023071126,0.71875,0.24203384938256847,True
110,4,0.6724500195663601,0.3353898287540995,0.06257387127985965,0.1910361014127333,0.23042121281706196,0.22956304288656262,0.27992042249881033,0.6724500195663601,0.8341578357665034,0.8673766039020465,0.825347021740958,0.7922257178164926,0.604235943192748,0.12206852673203553,0.6666666666666666,0.2640752392721642,True
146,4,0.5121134002049397,0.3323723608398213,0.04819202255662214,0.09877709815532028,0.13917385574094077,0.12237215666771428,0.15986182372402377,0.5121134002049397,0.8138350427992675,0.805790925103065,0.7378974189174081,0.7498161591217626,0.6173954473339194,0.12203721365052746,0.75,0.2499387197072542,True
120,4,0.6139834976208041,0.3360349563592614,0.06762967582864743,0.17519892391080397,0.21648358810153936,0.20333768247305292,0.25594777220658943,0.6139834976208041,0.8014881246096812,0.8454659803376127,0.8125297765844997,0.7467923913409388,0.6162141168643132,0.12195122417180872,0.75,0.24893079711364627,True
147,4,0.27688711086813367,0.3321740100037851,0.07347405651119991,0.10160800286578937,0.13992215480159112,0.12368465130562252,0.16141730284840072,0.27688711086813367,0.7510747968766912,0.7604883377085159,0.6990538613652502,0.7359673899379763,0.6022348321712911,0.12101238536035394,0.7083333333333334,0.24532246331265875,True
457,4,0.17406002101293327,0.45236966219275476,0.07386556410559535,0.08943212095893956,0.0869710227109383,0.08660947564105619,0.07827496472214628,0.17406002101293327,0.2771778504564604,0.4275800344084122,0.6556861197881905,0.7824844728959915,0.6439179138905615,0.12071652397378169,0.7291666666666666,0.2608281576319972,True
138,4,0.6136732844012973,0.33366586319283376,0.04896241519534857,0.1267383621644441,0.17131472926985017,0.1604587626850543,0.20022887924263122,0.6136732844012973,0.8341450035875783,0.8305645037425595,0.7733731202671016,0.7759296690145471,0.6251325325861501,0.12018492661153173,0.6875,0.25864322300484904,True
569,4,0.11054595918824794,0.6709598814058269,0.04683075052970823,0.06993472842732344,0.08067094449518608,0.07367741364543197,0.0955512783311665,0.3303648761805802,0.5563547339370644,0.7209071730901662,0.11054595918824794,0.6496859997660328,0.5049682223921081,0.11831836383253881,0.7083333333333334,0.21656199992201094,True
432,4,0.0674282300693565,0.35977303610455663,0.07627486214508854,0.08178980385687762,0.0897462279153712,0.09044138971733047,0.0768875864038286,0.0674282300693565,0.1157309308074318,0.32478650198982817,0.7980612890259604,0.745684839276827,0.5973216813761439,0.11638596238954037,0.65625,0.24856161309227567,True
140,4,0.5842314379864939,0.33366906678676517,0.049507567444034915,0.11907482182942604,0.16636898993079718,0.1429854936088716,0.18174902084280062,0.5842314379864939,0.8418653997846126,0.8408425618226514,0.7920272026483461,0.698651169167451,0.5675870360551727,0.11588433852267137,0.6770833333333334,0.23288372305581698,True
1048,6,0.020085213155304316,0.4638192578201862,0.10249349506772519,0.18805430589741065,0.24804295158679465,0.14724340888998677,0.1798206044547198,0.45497927006447536,0.020085213155304316,0.22275638964701439,0.23987653403367137,2.5694934040926176,2.093858641563088,0.11567018041142552,0.6354166666666666,0.8564978013642058,True
423,4,0.0004920040212333943,0.31957006599624893,0.06971697488377249,0.07696908524056623,0.07603968335782325,0.08351933536845246,0.08005364737124454,0.09422108024445564,0.0004920040212333943,0.30945611634454406,0.8474804165593279,0.7399005535030708,0.5821049111765575,0.11548315515643685,0.6770833333333334,0.24663351783435694,True
