model,dataset,horizon,seed,mse,mae,published_mse,published_mae,mse_vs_published_pct,mae_vs_published_pct,artifact_role,preset_role,value_origin
TimeAlign,ECL,96,2021,0.12579857546370476,0.21577556912476817,0.126,0.216,-0.1598607430914556,-0.10390318297769374,new,official,local_timealign_official_native_seed2021
TimeAlign,ECL,192,2021,0.1442888457289276,0.23319974852104983,0.143,0.233,0.9012907195298014,0.08572897899132847,new,official,local_timealign_official_native_seed2021
TimeAlign,ECL,336,2021,0.15860418977570676,0.24854475836313905,0.158,0.249,0.38239859221946837,-0.18282796661082124,new,official,local_timealign_official_native_seed2021
TimeAlign,ECL,720,2021,0.19012547761408818,0.27789375096973445,0.189,0.278,0.5954908011048587,-0.03821907563509308,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh1,96,2021,0.37956387192631763,0.40667750003437203,0.362,0.387,4.851898322187198,5.084625331879078,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh1,192,2021,0.4063262678682804,0.4192317770017932,0.404,0.412,0.5758088782872317,1.755285680046903,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh1,336,2021,0.42711337261079324,0.4303608466649339,0.424,0.43,0.7342859931116053,0.08391782905439182,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh1,720,2021,0.4589570479260551,0.4613145207779275,0.433,0.451,5.994699290082006,2.287033431912966,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh2,96,2021,0.2704690615646541,0.33065875340253115,0.266,0.328,1.6800983325767183,0.8105955495521844,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh2,192,2021,0.3340287539564694,0.3737898941617459,0.33,0.372,1.2208345322634484,0.48115434455535677,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh2,336,2021,0.3761869398655281,0.4051917487578023,0.36,0.399,4.496372184868913,1.5518167312787545,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTh2,720,2021,0.4059744637666477,0.43642706974513,0.388,0.428,4.632593754290637,1.9689415292359902,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTm1,96,2021,0.27954589719108,0.330663332870851,0.279,0.33,0.1956620756558891,0.2010099608639182,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTm1,192,2021,0.3225079004575188,0.3565682750195265,0.322,0.356,0.15773306134123644,0.15962781447373953,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTm1,336,2021,0.35051997942805646,0.37516651825890657,0.35,0.375,0.14856555087328083,0.044404869041758666,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTm1,720,2021,0.40624309921533697,0.40543912779539826,0.407,0.406,-0.1859707087624063,-0.13814586320241018,new,official,local_timealign_official_native_seed2021
TimeAlign,ETTm2,96,2021,0.15499722522993883,0.2411568321598073,0.155,0.241,-0.0017901742330073134,0.06507558498227706,reusable,official,local_timealign_official_native_seed2021
TimeAlign,ETTm2,192,2021,0.21022817205327252,0.28047390716771287,0.21,0.28,0.10865335870120507,0.16925255989743704,reusable,official,local_timealign_official_native_seed2021
TimeAlign,ETTm2,336,2021,0.26339305747699526,0.3170770688558973,0.263,0.315,0.14945151216549935,0.6593869383801021,reusable,official,local_timealign_official_native_seed2021
TimeAlign,ETTm2,720,2021,0.3429375028444661,0.37138505656686094,0.343,0.372,-0.018220745053620924,-0.16530737449974575,reusable,official,local_timealign_official_native_seed2021
TimeAlign,Exchange,96,2021,0.08672629112940437,0.20830252432885268,nan,nan,nan,nan,new,source_informed_etth1_bootstrap_not_official,local_timealign_source_informed_exchange_seed2021
TimeAlign,Exchange,192,2021,0.19165170405176468,0.3100064204384883,nan,nan,nan,nan,new,source_informed_etth1_bootstrap_not_official,local_timealign_source_informed_exchange_seed2021
TimeAlign,Exchange,336,2021,0.44181435928303037,0.47334690731284873,nan,nan,nan,nan,new,source_informed_etth1_bootstrap_not_official,local_timealign_source_informed_exchange_seed2021
TimeAlign,Exchange,720,2021,1.3300387497732622,0.8471141181679236,nan,nan,nan,nan,new,source_informed_etth1_bootstrap_not_official,local_timealign_source_informed_exchange_seed2021
TimeAlign,Solar,96,2021,0.18178433862825236,0.20470493147149682,0.172,0.2,5.688568969914165,2.3524657357484102,new,official,local_timealign_official_native_seed2021
TimeAlign,Solar,192,2021,0.197916757131073,0.21698482090141624,0.189,0.213,4.7178609159116425,1.870807934937213,new,official,local_timealign_official_native_seed2021
TimeAlign,Solar,336,2021,0.20335811820612953,0.22170999677230915,0.204,0.219,-0.31464793817178593,1.2374414485429863,new,official,local_timealign_official_native_seed2021
TimeAlign,Solar,720,2021,0.20081911921345938,0.22318663704726432,0.202,0.224,-0.5845944487824939,-0.363108461042716,new,official,local_timealign_official_native_seed2021
TimeAlign,Weather,96,2021,0.14042058404690275,0.17825754665924856,0.14,0.179,0.30041717635909126,-0.41477840265442545,reusable,official,local_timealign_official_native_seed2021
TimeAlign,Weather,192,2021,0.18236330883034194,0.22042006071812162,0.182,0.22,0.1996202364516142,0.1909366900552767,reusable,official,local_timealign_official_native_seed2021
TimeAlign,Weather,336,2021,0.2331089600144575,0.2626470230475423,0.232,0.262,0.4780000062316825,0.24695536165735277,reusable,official,local_timealign_official_native_seed2021
TimeAlign,Weather,720,2021,0.30730863438608746,0.317576495397629,0.307,0.317,0.10053237331839604,0.18185974688611495,reusable,official,local_timealign_official_native_seed2021
