dataset,horizon,candidate_model,baseline_model,baseline_strategy,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
ETTh2,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.35835036635398865,0.3393581807613373,5.596501475238669,False,0.3909647762775421,0.3825231194496155,2.206835717556821,False
ETTh2,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.35835036635398865,0.30479592084884644,17.57059128481604,False,0.3909647762775421,0.35886070132255554,8.946110520508178,False
ETTh2,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.35835036635398865,0.31100204586982727,15.224440196763034,False,0.3909647762775421,0.36724233627319336,6.4596147179233565,False
ETTh2,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.4135677218437195,0.38873955607414246,6.386838020888641,False,0.42299818992614746,0.41329216957092285,2.3484646141012977,False
ETTh2,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4135677218437195,0.3690433204174042,12.064817045314967,False,0.42299818992614746,0.4003613591194153,5.654099800370682,False
ETTh2,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.4135677218437195,0.36400848627090454,13.61485719207427,False,0.42299818992614746,0.3990432024002075,6.003106275674641,False
ETTh2,336,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.4078451693058014,0.39454904198646545,3.3699555452961993,False,0.43109095096588135,0.42475733160972595,1.4911147812687542,False
ETTh2,336,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4078451693058014,0.3829101622104645,6.511973187494435,False,0.43109095096588135,0.41559359431266785,3.7289690854941826,False
ETTh2,336,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.4078451693058014,0.38589316606521606,5.688621922077641,False,0.43109095096588135,0.4166768193244934,3.459307303141035,False
ETTh2,720,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.4350697994232178,0.4192008078098297,3.7855345976783195,False,0.4564710855484009,0.44865214824676514,1.7427615876109082,False
ETTh2,720,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.4350697994232178,0.41047340631484985,5.992201377718853,False,0.4564710855484009,0.43929871916770935,3.9090408488388295,False
ETTh2,720,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.4350697994232178,0.40542787313461304,7.311269957693023,False,0.4564710855484009,0.43883952498435974,4.017769494365742,False
Weather,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.1563728004693985,0.15470075607299805,1.08082496740447,False,0.20733006298542023,0.204793781042099,1.238456524614806,False
Weather,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.1563728004693985,0.14802636206150055,5.638481073006618,False,0.20733006298542023,0.19702932238578796,5.228024171683021,False
Weather,96,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.1563728004693985,0.15641877055168152,-0.029389108558319776,True,0.20733006298542023,0.20749104022979736,-0.07758274487363881,True
Weather,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderFullTimeMSE720Pretrain,OP-A_pretrain,0.20473752915859222,0.20070676505565643,2.008285122735165,False,0.25089678168296814,0.24629350006580353,1.8690227780817414,False
Weather,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,0.20473752915859222,0.19240911304950714,6.407397193246744,False,0.25089678168296814,0.23990498483181,4.581729245377764,False
Weather,192,PatchEncoderStabilizedDynamicResidualRouting,PatchEncoderDynamicResidualStabilityRouting,RG-B_from_scratch,0.20473752915859222,0.1999680995941162,2.385095209764332,False,0.25089678168296814,0.246477872133255,1.792822013379003,False
