dataset,freeze_non_adapter_effective,parameter_count,trainable_parameter_count,trainable_parameter_pct,init_checkpoint_path,missing_keys,unexpected_keys,missing_key_sample
ETTh2,True,2025312,12848,0.6343713956170703,/home/yingch/exp_outputs/r-2026-fatst/phase4_stabilized_routing_gate/PatchEncoderFullTimeMSE720Pretrain/ETTh2/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,4,0,supervision_adapter_head.0.weight;supervision_adapter_head.0.bias;supervision_adapter_head.1.weight;supervision_adapter_head.1.bias
Weather,True,2025312,12848,0.6343713956170703,/home/yingch/exp_outputs/r-2026-fatst/phase4_stabilized_routing_gate/PatchEncoderFullTimeMSE720Pretrain/Weather/mixed_h96_h192_h336_h720/seed2021/checkpoint.pt,4,0,supervision_adapter_head.0.weight;supervision_adapter_head.0.bias;supervision_adapter_head.1.weight;supervision_adapter_head.1.bias
