dataset,strategy,epochs_ran,best_epoch,first_val_mean_mse,best_val_mean_mse,last_val_mean_mse,first_train_prediction_loss,best_epoch_train_prediction_loss,last_train_prediction_loss,post_best_val_drift_pct,train_loss_drop_pct
ETTh2,OP-A_pretrain,13,3,0.3812420554459095,0.38027048110961914,0.435229804366827,0.807343705225799,0.727760360402576,0.5575122787790784,14.452692487946472,-30.94486583961752
ETTh2,OP-A_adapter_only,12,7,0.41729898005723953,0.4028317853808403,0.4127812832593918,0.8096442333722519,0.8088597715911219,0.8092509376800666,2.4698889808670854,-0.04857635934083504
Weather,OP-A_pretrain,14,4,0.5659486055374146,0.5341168344020844,0.5897181704640388,0.7025616099543897,0.5695068129074616,0.4328021978605605,10.40995761240091,-38.3965488964508
Weather,OP-A_adapter_only,11,6,0.5440664812922478,0.5422882735729218,0.5444608330726624,0.6176694790735894,0.6179640686212902,0.6172477971482021,0.4006281539939094,-0.06826983357178795
