dataset,segment,target_mse,fixed_mse,relative_mse_pct,target_wins_mse,is_segment_gap
ETTh2,1-96,0.2497519701719284,0.2543378472328186,-1.8030651398461828,True,False
ETTh2,97-192,0.33811911940574646,0.3411703407764435,-0.8943395735259374,True,False
ETTh2,193-336,0.36967068910598755,0.35521161556243896,4.070552006204586,False,True
ETTh2,337-720,0.4840433597564697,0.48179948329925537,0.46572828219921814,False,True
ETTm1,1-96,0.2841739356517792,0.29211053252220154,-2.716984150449675,True,False
ETTm1,97-192,0.3520488142967224,0.3583531081676483,-1.7592407397165832,True,False
ETTm1,193-336,0.40565091371536255,0.41059064865112305,-1.2030802338018565,True,False
ETTm1,337-720,0.4712492525577545,0.4573901295661926,3.0300441779770093,False,True
Weather,1-96,0.14746259152889252,0.15367551147937775,-4.042882233269129,True,False
Weather,97-192,0.2326873242855072,0.23720782995224,-1.9057151982052822,True,False
Weather,193-336,0.3130928874015808,0.31677156686782837,-1.1613035546787165,True,False
Weather,337-720,0.3891408443450928,0.38935336470603943,-0.05458290083280026,True,False
