dataset,horizon,scope,mean_abs_scale,mean_abs_shift,max_abs_scale,max_abs_shift
ETTh2,96,all,0.05429137870669365,0.012933394871652126,0.0974186509847641,0.058878231793642044
ETTh2,96,segment_0,0.05007581040263176,0.01182557176798582,0.09619615226984024,0.058878231793642044
ETTh2,96,segment_1,0.05850695073604584,0.014041219837963581,0.0974186509847641,0.05328943952918053
ETTh2,720,all,0.0633338913321495,0.01856069080531597,0.09743352979421616,0.058836985379457474
ETTh2,720,segment_0,0.049517303705215454,0.011811230331659317,0.09608163684606552,0.058836985379457474
ETTh2,720,segment_1,0.057914022356271744,0.01391095295548439,0.09734926372766495,0.0531340017914772
ETTh2,720,segment_2,0.060502439737319946,0.015233577229082584,0.09743352979421616,0.05455249175429344
ETTh2,720,segment_3,0.0629342794418335,0.016651254147291183,0.09738718718290329,0.05514861270785332
ETTh2,720,segment_4,0.06468784064054489,0.017851771786808968,0.09731464087963104,0.05546531826257706
ETTh2,720,segment_5,0.06579472869634628,0.019424067810177803,0.09718707948923111,0.0562974214553833
ETTh2,720,segment_6,0.06592828780412674,0.02033570222556591,0.09702081233263016,0.05680152401328087
ETTh2,720,segment_7,0.0654524490237236,0.02070169895887375,0.09678596258163452,0.056764937937259674
ETTh2,720,segment_8,0.06491871923208237,0.020586220547556877,0.09659925848245621,0.05641300603747368
ETTh2,720,segment_9,0.06522265076637268,0.020849011838436127,0.09670040756464005,0.05679052695631981
ETTh2,720,segment_10,0.065098337829113,0.020679643377661705,0.0967673808336258,0.05687446519732475
ETTh2,720,segment_11,0.06487714499235153,0.020324574783444405,0.09678053855895996,0.056567128747701645
ETTh2,720,segment_12,0.06568416208028793,0.020430758595466614,0.09706836938858032,0.05719783902168274
ETTh2,720,segment_13,0.06618718802928925,0.020268840715289116,0.09719263762235641,0.05716187506914139
ETTh2,720,segment_14,0.06528883427381516,0.019351093098521233,0.09698031097650528,0.055948060005903244
ETTm1,96,all,0.08304982632398605,0.02060704305768013,0.09986694902181625,0.0766809806227684
ETTm1,96,segment_0,0.0803883895277977,0.02027799002826214,0.09978730976581573,0.07193533331155777
ETTm1,96,segment_1,0.0857112854719162,0.02093609608709812,0.09986694902181625,0.0766809806227684
ETTm1,720,all,0.09130319207906723,0.018487393856048584,0.09992886334657669,0.07962032407522202
ETTm1,720,segment_0,0.08033062517642975,0.020258670672774315,0.09978916496038437,0.07215170562267303
ETTm1,720,segment_1,0.08567213267087936,0.020932063460350037,0.09986694902181625,0.07668983936309814
ETTm1,720,segment_2,0.08944091945886612,0.019363975152373314,0.09990498423576355,0.07788562774658203
ETTm1,720,segment_3,0.09123950451612473,0.019026167690753937,0.09991206228733063,0.07910998165607452
ETTm1,720,segment_4,0.09295154362916946,0.018566839396953583,0.09992886334657669,0.07906235754489899
ETTm1,720,segment_5,0.09331861138343811,0.018762676045298576,0.09992625564336777,0.07962032407522202
ETTm1,720,segment_6,0.0936625599861145,0.018838778138160706,0.0999244824051857,0.07906895875930786
ETTm1,720,segment_7,0.09332721680402756,0.018437284976243973,0.09991219639778137,0.07845079153776169
ETTm1,720,segment_8,0.09331830590963364,0.01820765808224678,0.09990780800580978,0.07876656204462051
ETTm1,720,segment_9,0.09306395053863525,0.01770796626806259,0.09990129619836807,0.07841015607118607
ETTm1,720,segment_10,0.09287954866886139,0.0175325945019722,0.09990119934082031,0.07839152961969376
ETTm1,720,segment_11,0.09256486594676971,0.017162129282951355,0.09989462792873383,0.07766755670309067
ETTm1,720,segment_12,0.09277661144733429,0.017467990517616272,0.09990819543600082,0.07809557020664215
ETTm1,720,segment_13,0.09248260408639908,0.017524059861898422,0.09990410506725311,0.07757489383220673
ETTm1,720,segment_14,0.09251883625984192,0.017522066831588745,0.09990869462490082,0.07703536748886108
Weather,96,all,0.08824946731328964,0.023229479789733887,0.09998282045125961,0.08494152128696442
Weather,96,segment_0,0.08584664762020111,0.023012571036815643,0.09996456652879715,0.08494152128696442
Weather,96,segment_1,0.09065229445695877,0.023446382954716682,0.09998282045125961,0.08481895178556442
Weather,720,all,0.09396737813949585,0.02172732725739479,0.0999881848692894,0.08732883632183075
Weather,720,segment_0,0.08586086332798004,0.023005155846476555,0.09996435791254044,0.08494462072849274
Weather,720,segment_1,0.09065958857536316,0.02344541810452938,0.09998274594545364,0.08482473343610764
Weather,720,segment_2,0.09274035692214966,0.02329230308532715,0.0999857485294342,0.0854768380522728
Weather,720,segment_3,0.0945756658911705,0.022739076986908913,0.0999881848692894,0.08644520491361618
Weather,720,segment_4,0.09521351009607315,0.022162968292832375,0.09998758882284164,0.08634034544229507
Weather,720,segment_5,0.09534835815429688,0.02216070517897606,0.099985770881176,0.08670580387115479
Weather,720,segment_6,0.09561299532651901,0.021864330396056175,0.09998592734336853,0.08725011348724365
Weather,720,segment_7,0.09530378878116608,0.0216972753405571,0.09998300671577454,0.08660303801298141
Weather,720,segment_8,0.09454789757728577,0.021048206835985184,0.09997673332691193,0.0861203521490097
Weather,720,segment_9,0.09499353915452957,0.020811639726161957,0.09997957199811935,0.0867295190691948
Weather,720,segment_10,0.09482411295175552,0.02065136283636093,0.09997963160276413,0.08657912909984589
Weather,720,segment_11,0.09466753900051117,0.020537592470645905,0.09997813403606415,0.08657083660364151
Weather,720,segment_12,0.09517835825681686,0.020929455757141113,0.09998288750648499,0.08732883632183075
Weather,720,segment_13,0.09518719464540482,0.020844794809818268,0.099983349442482,0.08696064352989197
Weather,720,segment_14,0.09479685872793198,0.020719638094305992,0.09998074918985367,0.086272232234478
