dataset,short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae
ETTh2,96,720,1.470499340783943e-14,6.497826632312353e-08
ETTm1,96,720,4.9254379736038065e-14,1.2536580129562935e-07
Weather,96,720,9.475407756326642e-15,5.438943873059543e-08
