model,dataset,horizon,seed,mse,mae,value_origin,system_role,test_tuned
QDF,Solar,96,2023,0.19026154279708862,0.22462943196296692,official_native_source_informed_solar_single_seed,horizon_specific_official_native_source_informed,false
QDF,Solar,192,2023,0.21826083958148956,0.24937455356121063,official_native_source_informed_solar_single_seed,horizon_specific_official_native_source_informed,false
QDF,Solar,336,2023,0.3348810076713562,0.3333033323287964,official_native_source_informed_solar_single_seed,horizon_specific_official_native_source_informed,false
QDF,Solar,720,2023,0.38099437952041626,0.35870298743247986,official_native_source_informed_solar_single_seed,horizon_specific_official_native_source_informed,false
