model,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,value_origin,system_role
TimeBase,ECL,Avg.,0.167,0.258,0.167,0.258,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TVNet,ECL,Avg.,0.16525,0.25425,0.165,0.254,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,ECL,Avg.,0.164,0.26075,0.164,0.261,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,ECL,Avg.,0.1725,0.27225,0.173,0.272,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,ECL,Avg.,0.162,0.2565,0.162,0.257,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,ECL,Avg.,0.156,0.2525,0.156,0.253,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
PatchTST,ECL,Avg.,0.159,0.25275,0.159,0.253,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Crossformer,ECL,Avg.,0.18075,0.27949999999999997,0.181,0.280,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimesNet,ECL,Avg.,0.1925,0.29525,0.193,0.295,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
DLinear,ECL,Avg.,0.16625,0.2635,0.166,0.264,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeAlign,Solar,Avg.,0.19596958329472858,0.21664659654812163,0.196,0.217,normal,second,arithmetic_mean_of_four_horizon_rows,horizon_specific_official_native
CMoS,Solar,Avg.,0.21,0.25725,0.210,0.257,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeBase,Solar,Avg.,0.2365,0.2705,0.237,0.271,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TVNet,Solar,Avg.,0.22849999999999998,0.27675,0.229,0.277,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
iTransformer,Solar,Avg.,0.20175,0.2475,0.202,0.248,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimeMixer,Solar,Avg.,0.19325,0.252,0.193,0.252,second,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Leddam,Solar,Avg.,0.2235,0.2645,0.224,0.265,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ModernTCN,Solar,Avg.,0.22825,0.2815,0.228,0.282,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
PatchTST,Solar,Avg.,0.1935,0.245,0.194,0.245,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
Crossformer,Solar,Avg.,0.2045,0.23225,0.205,0.232,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
TimesNet,Solar,Avg.,0.244,0.334,0.244,0.334,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
DLinear,Solar,Avg.,0.223,0.226,0.223,0.226,normal,normal,arithmetic_mean_of_four_horizon_rows,horizon_specific_published_context
ISCF-BSCA,ETTh1,Avg.,0.39351969573243994,0.4210337413110126,0.394,0.421,best,normal,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,ETTh2,Avg.,0.307331952101977,0.36511569091552243,0.307,0.365,best,best,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,ETTm1,Avg.,0.3306989335260192,0.3638789644283464,0.331,0.364,best,best,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,ETTm2,Avg.,0.2487327508248087,0.3056927913334364,0.249,0.306,second,second,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,Weather,Avg.,0.2148870747075069,0.24582054985665636,0.215,0.246,best,second,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,ECL,Avg.,0.1516248331337199,0.2456353186408701,0.152,0.246,best,second,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
ISCF-BSCA,Solar,Avg.,0.19048453204853955,0.210791918450881,0.190,0.211,best,best,arithmetic_mean_of_four_horizon_rows,one_unified_model_per_dataset
