short_horizon,long_horizon,prefix_mismatch_mse,prefix_mismatch_mae,truth_alignment_mse
96,720,1.6133345066794355e-14,6.821964859682339e-08,0.0
192,720,1.4002214406667272e-14,6.361823068345984e-08,0.0
336,720,9.480567034008368e-15,4.697058386682329e-08,0.0
