epoch,train_loss,train_prediction_loss,train_future_local_alignment_loss,train_future_relation_alignment_loss,train_future_reconstruction_loss,train_future_raw_reconstruction_loss,train_future_normalized_reconstruction_loss,train_future_alignment_confidence_mean,val_mean_mse,train_steps_h96,train_steps_h192,train_steps_h336,train_steps_h720,val_mse_h96,val_mae_h96,val_mse_h192,val_mae_h192,val_mse_h336,val_mae_h336,val_mse_h720,val_mae_h720
1,0.7555257810219642,0.7363450961007226,0.847364449933652,0.1236927323343773,0.9964675739888222,5633.600758304519,0.9964675739888222,0.41621965866896415,0.37688951194286346,55,66,65,62,0.21461525559425354,0.31965091824531555,0.2877419590950012,0.3650814890861511,0.3767220675945282,0.41825273633003235,0.6284787654876709,0.5524612069129944
2,0.6300554084441354,0.6130277580551563,0.7520887250861814,0.09931179478524192,0.9927577888292651,5601.8309516060735,0.9927577888292651,0.4666009893821132,0.37350279092788696,66,64,52,66,0.21402019262313843,0.3199993073940277,0.2870718538761139,0.36374571919441223,0.374810129404068,0.4150731563568115,0.6181089878082275,0.5458065271377563
3,0.5591149541639513,0.5427101210000054,0.7230686901077148,0.0954980057093405,0.9884783692898289,5464.5570498459765,0.9884783692898289,0.4458725685554166,0.3890233188867569,67,53,65,63,0.22226092219352722,0.32751473784446716,0.2928171753883362,0.3694794774055481,0.3855452239513397,0.42125946283340454,0.6554699540138245,0.5592175722122192
4,0.5097975815015454,0.4941421276138675,0.6858510877336225,0.09519727571657108,0.9864625988468048,5315.583873245024,0.9864625988468048,0.5413930286322871,0.4124208614230156,67,58,74,49,0.2430056631565094,0.34127721190452576,0.3149574100971222,0.3841857612133026,0.4069195091724396,0.4345691204071045,0.6848008632659912,0.5700505375862122
5,0.4730825187458146,0.45770671903606386,0.6708271380874419,0.09767082018867856,0.9825508483955937,5334.84108189229,0.9825508483955937,0.5545050703710125,0.4150419235229492,66,63,63,56,0.24183940887451172,0.34063616394996643,0.3098237216472626,0.3824270963668823,0.4075604975223541,0.4353664517402649,0.7009440660476685,0.5729255080223083
6,0.44823138439847576,0.43303930723378736,0.6568452749521502,0.1075644368425973,0.9795280882427769,5701.008853297079,0.9795280882427769,0.5630379480219656,0.4248695522546768,64,47,53,84,0.2557438611984253,0.3503044843673706,0.32565945386886597,0.3925091326236725,0.4177461266517639,0.44339531660079956,0.7003287672996521,0.5752780437469482
7,0.4258198846251734,0.4108828615036703,0.6408932045582802,0.11449995808183186,0.9741596971308032,5659.277206364178,0.9741596971308032,0.5275972181510541,0.4402187690138817,56,58,58,76,0.26183709502220154,0.3550352156162262,0.3391858637332916,0.400532603263855,0.440084844827652,0.45508265495300293,0.7197672724723816,0.5831518769264221
8,0.40550522037571474,0.39149668584427527,0.5930713143560195,0.11779666855751027,0.9691427881198544,5382.12798362009,0.9691427881198544,0.5382597733649516,0.43408217281103134,64,53,65,66,0.2613521218299866,0.35447147488594055,0.33386075496673584,0.39783456921577454,0.43659207224845886,0.4531916677951813,0.7045237421989441,0.5783078670501709
9,0.38761559387128197,0.37426293923729853,0.5564768107668046,0.12580869231192815,0.9650331901446465,5454.587899854107,0.9650331901446465,0.5436384954279468,0.4438002184033394,60,56,67,65,0.2662490904331207,0.35748744010925293,0.34065088629722595,0.4012906849384308,0.44858136773109436,0.4574142396450043,0.7197195291519165,0.5828633904457092
10,0.3710350549269107,0.35855458556644376,0.515252013119959,0.12176317460234126,0.9577974564125461,5208.212018450902,0.9577974564125461,0.5023769306079033,0.4380617216229439,65,65,53,65,0.26096096634864807,0.3540937304496765,0.3364153504371643,0.39857983589172363,0.43734830617904663,0.45253175497055054,0.7175222635269165,0.5830667614936829
11,0.35725665080451197,0.3460442300044721,0.4545997346360837,0.11670307959279706,0.9533964051834999,5412.724290217123,0.9533964051834999,0.5453950089793052,0.4383239820599556,57,57,60,74,0.26196056604385376,0.35691776871681213,0.33646565675735474,0.4009091258049011,0.4402768909931183,0.4556093215942383,0.7145928144454956,0.5846821665763855
12,0.34029517334795767,0.3295835400781324,0.43199755035100446,0.11249373584324794,0.9467441131991725,5179.436275689833,0.9467441131991725,0.541338121218066,0.4367070198059082,54,71,71,52,0.2637891173362732,0.35659125447273254,0.3384712338447571,0.40129032731056213,0.4344460368156433,0.45387738943099976,0.7101216912269592,0.583928644657135
