pool_index,origin,channel,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,gain_h96,gain_h192,gain_h336,gain_h720,min_gain,visibility96,visible_net,tail_visible_net,accuracy_eligible,fit_eligible,audited_eligible
164,6657,0,0.606514143923074,0.84557668141665,0.6143762626852161,0.23458931478422104,0.5572462604905215,0.9118526323493775,0.5184762981141753,0.34566460955041656,0.5653446502170242,0.9006715179390299,0.5066533001204812,0.3010218879694075,0.4999759841117991,0.37686467714022054,0.4023940033420791,0.2545927450798635,0.2545927450798635,0.09324891599612492,0.3,0.3125,True,True,True
31,2295,0,0.9101059945136283,0.9575186178006034,0.8823971862527866,0.033055702130736796,0.9101551350990947,0.965231064360786,0.9481238249923178,0.145681896161298,0.9484596962091772,0.9926710932750475,0.9133967546744055,0.1750765045748055,0.3058881643067659,0.41378479603242213,0.3250181694737557,0.5669544679238948,0.3058881643067659,0.08425500283076216,0.2666666666666666,0.59375,True,True,True
66,2314,0,0.9151798977098543,0.9592116567090545,0.89630039015529,0.030810342375179437,0.9193219424701798,0.9742353223355051,0.9242086987419068,0.16525694462808543,0.9545837323072439,0.9919415761251089,0.925844566132483,0.15809978940010191,0.5114865960539985,0.4372766495394961,0.437203068986177,0.5785582760068022,0.437203068986177,0.07556689322088436,0.2513888888888889,0.47916666666666663,True,True,True
44,2392,0,0.9019934724765578,0.9531735271525351,0.8966681251229628,0.05790889335260402,0.886025849350412,0.9862149608079555,0.9432351637245908,0.2911130993509193,0.8920745862801234,0.9833151334969124,0.937185803399089,0.2696407802774886,0.5333422187672263,0.006918603953517621,0.2552349667338526,0.544511544993723,0.006918603953517621,0.08255871950276104,0.24583333333333332,0.5651041666666666,True,True,True
107,2296,0,0.9079757371601388,0.957988233113992,0.8677429889677691,0.04026802122922399,0.91041651616811,0.9652672313375946,0.931779251624203,0.1421367895400445,0.9465340316314003,0.992471127377885,0.8983926769912918,0.17208762948040818,0.11611746139174306,0.3697278015706754,0.20801146625756117,0.5557788524577552,0.11611746139174306,0.07621510296535784,0.24305555555555558,0.578125,True,True,True
62,2325,0,0.913407342031208,0.9584306328394587,0.8865204152525519,0.003294926469709881,0.9114129000252728,0.9803178910376993,0.9098402050259744,0.21128928803364075,0.942396675903083,0.9912495008849753,0.9262598312888507,0.18961866982819853,0.49908270462670046,0.6474305477737909,0.5051781621991907,0.5930341350007781,0.49908270462670046,0.07949114098272701,0.23194444444444443,0.359375,True,True,True
157,2363,0,0.9015901157440599,0.9558081569734669,0.8563654259331368,0.04571936609573839,0.8877067125730421,0.987944121194127,0.8992587576712482,0.28365785786014897,0.9055190255523208,0.9880985537128211,0.9057601903546272,0.2530614949306618,0.357993612819101,0.4660238740913455,0.42463197386847307,0.6729019795010837,0.357993612819101,0.08095482594961219,0.23055555555555557,0.3958333333333333,True,True,True
248,2342,0,0.9073665114212409,0.9557079210851112,0.8784851458644334,0.006911005049970204,0.907789637141785,0.989576051239692,0.9149158416416479,0.2567040653128273,0.9299202562763829,0.9924841894122601,0.9075606750616808,0.21884379513085356,0.17039395939135804,0.4963539075367702,0.2739039773885553,0.5946000207153674,0.17039395939135804,0.09514688947678764,0.23055555555555557,0.3151041666666667,True,True,True
27,2294,0,0.909795672261916,0.9576035487728478,0.8758442575262019,0.022897656108903586,0.9059651983021964,0.9653114489424559,0.9417186116959184,0.15907348361008034,0.9397600414569947,0.9926894278733397,0.9087204031215282,0.19652343788142573,0.3239651574540632,0.4418979396540118,0.33875982936800053,0.49992992002265946,0.3239651574540632,0.09209074075158671,0.22916666666666666,0.5442708333333334,True,True,True
41,2391,0,0.9018184460260928,0.9532780508236893,0.8939828598200655,0.05834960565387661,0.8845352062716939,0.9865646418466328,0.9407667779563955,0.29440981969590124,0.8920108236509984,0.9840184806761293,0.9413266148547241,0.2728716754334287,0.5349373265922788,0.006686832706556567,0.24574705442952183,0.5356172710408527,0.006686832706556567,0.08215060862665391,0.2263888888888889,0.5286458333333334,True,True,True
83,2327,0,0.9102978957633835,0.956954336519814,0.8840686236983563,0.012303629025679119,0.905714062166782,0.9815332254394598,0.9069505107013732,0.22832176667392937,0.9307283607677349,0.9908189327801358,0.9202212623794074,0.21449887114346827,0.4965936673910124,0.6261535908415603,0.4986818294442664,0.5820465935533441,0.4965936673910124,0.0819389943747582,0.22499999999999998,0.33072916666666663,True,True,True
235,2280,0,0.9033938955090237,0.958010274338064,0.8510595419026572,0.05432615447276785,0.90439289523894,0.9602167436053707,0.9052746028064435,0.12084974400300784,0.9324341373565526,0.9917897507702178,0.8727290675639756,0.19245084071201396,0.09094160001246765,0.5983594102088285,0.3724103750106813,0.5225681163619309,0.09094160001246765,0.07906719996455651,0.22083333333333335,0.2760416666666667,True,True,True
40,2293,0,0.9088744787854812,0.9575118769614304,0.8777421617595086,0.039891205463416804,0.9107280673335472,0.9649833386368255,0.9452283777976408,0.14168457232659507,0.9460920936631417,0.9925815426374781,0.9081927129298415,0.1788981568994778,0.27831554387718305,0.4934397010573617,0.28901004961465626,0.45709901651388285,0.27831554387718305,0.089501061333567,0.2208333333333333,0.5494791666666666,True,True,True
30,2389,0,0.900852524182123,0.9524153912558994,0.9004787067078595,0.059541028855426004,0.881448084712796,0.9869258149974746,0.9470405172839245,0.3016349492713569,0.8890368350107123,0.9851041586631372,0.949531808485467,0.28306885435796786,0.5313215458203298,0.0360277103766139,0.2289443159079505,0.5454806945652491,0.0360277103766139,0.0954836032214627,0.21944444444444441,0.4973958333333333,True,True,True
135,2328,0,0.9098825317531737,0.9570044148122523,0.8804231455292926,0.010498924324829007,0.9068727618754202,0.9818443541226312,0.9038187203748183,0.22595923155586783,0.9327545606649373,0.991152050426263,0.9199826343623232,0.2110988882404785,0.3617445828576168,0.6256883470088421,0.5110899256835801,0.5712659630324305,0.3617445828576168,0.07939574804479901,0.21805555555555556,0.3020833333333333,True,True,True
163,6655,0,0.5994204605295617,0.8484208505271725,0.6045798469918725,0.2468583481970733,0.5495690249631174,0.9123987681386072,0.5108719909269215,0.3488247902883733,0.5566593526891763,0.8987102544614941,0.497452125044536,0.300021136525197,0.4961277792432508,0.2389826841930679,0.3279254352448726,0.19847133303783304,0.19847133303783304,0.09011779466554651,0.21805555555555556,0.21354166666666669,True,True,True
228,2362,0,0.9038535861943597,0.9568316525820584,0.8543456127415199,0.034202877457263074,0.8960881817886205,0.9887521835004092,0.8977424987769606,0.2706657271889883,0.9120399148671152,0.9888326762648446,0.9011759464634719,0.240969799980222,0.39673443035314604,0.4027669059400193,0.41757398382703237,0.6681484665032857,0.39673443035314604,0.07638051598083956,0.21805555555555553,0.3932291666666667,True,True,True
82,2272,0,0.9063062604711769,0.9593677387929535,0.8547181408709447,0.05593442071113074,0.9024307972310236,0.9572541166747005,0.8969348583950866,0.10132242466618846,0.9349928887187129,0.9920445701628463,0.8798869084381892,0.19125950796582936,0.46996111982423294,0.6626112993912345,0.5222266771497356,0.5838791207729798,0.46996111982423294,0.08303716429505979,0.21666666666666667,0.26041666666666663,True,True,True
91,2394,0,0.8993035266270856,0.9525860947596976,0.8945651953246107,0.06892254008080693,0.8783830651331347,0.9855496625621223,0.9409966775881526,0.3015627692091454,0.8837149797735133,0.9820502875983765,0.9304658399026472,0.2793686316580097,0.528065573893622,0.08416604027929708,0.4064150968680401,0.5440205781198106,0.08416604027929708,0.08151119445437265,0.2138888888888889,0.5104166666666666,True,True,True
54,2291,0,0.9084292736831729,0.9574675891291363,0.8716179789724223,0.030736866878848104,0.9075969196878197,0.9655323477995353,0.9434733208369137,0.15546444702543968,0.9380967691990565,0.9931316787795552,0.905482101693693,0.20132390278630846,0.23349951413682635,0.5115022554881441,0.27443688726936055,0.46533168969148775,0.23349951413682635,0.08685434146364944,0.21388888888888888,0.5,True,True,True
29,2390,0,0.9012394423914089,0.953033230724032,0.8950211732899261,0.06055986843726623,0.8822948143360413,0.9866439433811641,0.939377613989819,0.2982236589886221,0.8904464791034242,0.9845247767106359,0.941192622089359,0.2774254516614889,0.5258445033043013,0.014183906862456075,0.20379075474038133,0.5316144090658821,0.014183906862456075,0.08833717308640499,0.21388888888888888,0.46875,True,True,True
