tensor,shape,expected,finite,pass
arm_forecasts,"(1, 2, 5, 720)","(1, 2, 5, 720)",True,True
policy,"(1, 2, 720, 5)","(1, 2, 720, 5)",True,True
base_logits,"(1, 2, 720, 5)","(1, 2, 720, 5)",True,True
base_policy,"(1, 2, 720, 5)","(1, 2, 720, 5)",True,True
contrast_descriptor,"(1, 2, 720, 5, 6)","(1, 2, 720, 5, 6)",True,True
correction_logits,"(1, 2, 720, 5)","(1, 2, 720, 5)",True,True
output,"(1, 720, 2)","(1, 720, 2)",True,True
