dataset,ordered_parameters,independent_parameters,independent_rank,relative_gap,threshold,pass
ETTh1,3571894,3563098,109,0.0024625590793007856,0.005,True
ETTh2,1974454,1982022,116,0.003832958377353942,0.005,True
ETTm1,1974454,1982022,116,0.003832958377353942,0.005,True
ETTm2,6766774,6772030,106,0.000776736447825803,0.005,True
Weather,1974454,1982022,116,0.003832958377353942,0.005,True
