arm,loss,encoder_gradient_norm,readout_gradient_norm,correction_output_gradient_norm,pass
a6_measure,0.8748781085014343,0.8595456648617983,0.51677355915308,0,True
siff_v1_equal,2.6760454177856445,4.212588548660278,2.3880868032574654,0,True
siff_v1_relcal,2.7676680088043213,4.212588272988796,2.398854061961174,0,True
ccsf_equal,2.708966016769409,11.87960310280323,2.6345449444124824,0.16730628723598784,True
ccsf_relcal,2.8034825325012207,11.879601895809174,2.6403187561954837,0.168120348098455,True
ccsf_stdcal,2.845336675643921,11.879601895809174,2.6456361868768,0.1693781921057962,True
ccsf_no_contrast_equal,2.708966016769409,11.87960310280323,2.5439317506024963,0.07669309342600172,True
ccsf_no_contrast_relcal,2.8034825325012207,11.879601895809174,2.550685552152572,0.07848714405554347,True
ccsf_permuted_contrast_relcal,2.8034825325012207,11.879601895809174,2.630111132952152,0.1579127248551231,True
ccsf_independent_relcal,2.153244972229004,2.4474524408578873,1.0107446054244065,0.03512587233126396,True
