dataset,width,regions,fold,train_regions,true_over_base_expected_gain_percent,true_over_base_mixture_gain_percent,true_over_shuffled_expected_gain_percent,true_over_shuffled_mixture_gain_percent,true_best_arm_accuracy
ETTh2,1,720,0,16384,-1.3887962601462522,0.33069692347387214,-1.237025402007741,0.4163941074751709,0.4375759548611111
ETTh2,1,720,1,16384,-1.1504941128666069,0.49397323550688377,-1.2156521825348543,0.40290135468162847,0.4292751736111111
ETTh2,48,15,0,1920,0.2917667163119031,0.17729469074746484,0.16983670851073995,0.19859082003067519,0.503125
ETTh2,48,15,1,1920,0.5118498312920217,0.116621189924071,0.6539336964962783,0.3743579825138066,0.46875
ETTh2,144,5,0,640,1.1078291185836697,0.49158649177077907,2.12855514893332,1.2774482745739002,0.5703125
ETTh2,144,5,1,640,0.5611416581307371,-0.3995859733992635,0.5591646438607323,-0.1208289095856463,0.51875
ETTh2,360,2,0,256,1.0069865346934548,0.1368911833281361,1.0696414184863556,0.8634243227988336,0.65234375
ETTh2,360,2,1,256,0.5406541437073087,0.07976930141071481,0.7224505981708873,0.8154267723301301,0.59375
ETTh2,720,1,0,128,0.2775539412684713,-0.4340095108699815,0.7564469021801967,0.8335747155591156,0.6484375
ETTh2,720,1,1,128,0.31590679028207225,-0.5896641783355916,0.5550644833011931,0.6168190903551807,0.625
