dataset,width,regions,fold,train_regions,true_over_base_expected_gain_percent,true_over_base_mixture_gain_percent,true_over_shuffled_expected_gain_percent,true_over_shuffled_mixture_gain_percent,true_best_arm_accuracy
Weather,1,720,0,16384,1.4056665889692566,1.6696176597846168,1.3913449107206155,1.6558825787511777,0.5500217013888888
Weather,1,720,1,16384,1.33960472692215,1.553130805660663,1.3356077560910062,1.5490769666648863,0.5483615451388889
Weather,48,15,0,1920,3.0070095012961984,2.820265741651673,2.9121844557462917,2.7770423188367865,0.6244791666666667
Weather,48,15,1,1920,2.958804259846892,2.6404792162740276,2.938992979374333,2.680652925473437,0.6145833333333334
Weather,144,5,0,640,3.871160559515663,3.3896897798038617,4.029532516978806,3.573308936678188,0.653125
Weather,144,5,1,640,3.6478757265365536,3.0468885021292746,3.672968648982855,3.1275086097577676,0.6546875
Weather,360,2,0,256,3.646270456432721,3.0336213923532696,4.050590272920818,3.6747771670599727,0.75
Weather,360,2,1,256,2.1774919403447335,1.7311272337433903,2.6920652952876933,2.352364135212115,0.7734375
Weather,720,1,0,128,2.3807906026958037,1.8783740498491297,2.742068199102732,2.325263853097237,0.8515625
Weather,720,1,1,128,2.040282306599317,1.6536026603251819,3.4797759359215807,3.078848124632849,0.8515625
ETTm1,1,720,0,16384,0.5637226490428304,1.1725137999302637,0.5604686663399416,1.1653432097984529,0.4862738715277778
ETTm1,1,720,1,16384,-0.6375604691517323,0.030818661645515277,-0.6784385418089789,-0.004119981135120021,0.4568901909722222
ETTm1,48,15,0,1920,1.986663220910423,1.5022294811010362,1.9417250761165183,1.5665903676727155,0.36822916666666666
ETTm1,48,15,1,1920,-0.0843352370698991,-0.2654545383538043,-0.2017908885220132,-0.29509822183384493,0.3171875
ETTm1,144,5,0,640,0.20513243554241,-0.30511794052421326,1.1699986700859366,0.7359937036583997,0.5359375
ETTm1,144,5,1,640,0.2118663744951066,-0.40673166418081497,0.3493352828666363,-0.09603124607857616,0.3625
ETTm1,360,2,0,256,0.313362149818075,-0.06730470112836784,1.1270594485918939,0.9908855913318027,0.5234375
ETTm1,360,2,1,256,1.3895485775822558,0.8264660853450789,1.7640074193397082,1.429130239358689,0.484375
ETTm1,720,1,0,128,-0.9828978677560496,-1.009410041647829,-0.885538627347171,-0.6960795666944186,0.4375
ETTm1,720,1,1,128,0.35184046546060666,0.014611638070161082,1.2557663540417652,0.7038509274254201,0.53125
ETTm2,1,720,0,16384,-1.8834177606517732,-0.13491578948758853,-2.0556985005417694,-0.2877780333647939,0.3653103298611111
ETTm2,1,720,1,16384,-0.2164943444979306,1.5262410572518426,-0.4145106113057073,1.4054522441296124,0.3810763888888889
ETTm2,48,15,0,1920,0.6838548164298297,-1.0361237661318468,0.33041394143279446,-1.1090566619809339,0.378125
ETTm2,48,15,1,1920,1.1260730889314674,1.3359153776267507,1.0860974786238042,1.3422085512237447,0.4109375
ETTm2,144,5,0,640,2.1241662412011753,0.25782834607098737,1.738210552957442,0.49420202365312305,0.4265625
ETTm2,144,5,1,640,2.0598394343009585,1.1534277781602431,2.245032960914306,1.3716917116976757,0.496875
ETTm2,360,2,0,256,0.9591507106094577,-1.2356205059969705,0.9731347169306459,-0.41152850468648694,0.453125
ETTm2,360,2,1,256,1.2357497870162937,0.2240335710507857,1.6078623886182197,1.0449666662245227,0.5
ETTm2,720,1,0,128,3.7490918574934584,-0.13384512413134875,4.3289657550016685,2.588012387587313,0.5390625
ETTm2,720,1,1,128,0.4523313108747873,-1.1743203702799354,0.4432354349688472,-0.3624649598162666,0.453125
ETTh1,1,720,0,16384,-0.15157984076710207,1.810483852385203,-0.16908535283177706,1.7571958973884305,0.44619140625
ETTh1,1,720,1,16384,-0.34693416828186496,1.6024831449878763,-0.42592482850078994,1.5434143083877139,0.45460069444444445
ETTh1,48,15,0,1920,2.130186208226892,0.7847954271009816,1.8394896687032425,0.7402572507914873,0.4161458333333333
ETTh1,48,15,1,1920,1.464472350399082,0.5155114550992157,1.2338076596328684,0.6065459379737126,0.4088541666666667
ETTh1,144,5,0,640,1.9584646659029814,-0.15675668136077014,1.8937474646699703,0.6198642662589626,0.459375
ETTh1,144,5,1,640,1.1128739072739258,-0.1354305825640445,0.8702433329254466,0.09885323952982805,0.4546875
ETTh1,360,2,0,256,0.30828334181955963,-0.7735677167795885,0.27690504132702465,0.2464833118981269,0.58984375
ETTh1,360,2,1,256,1.0749181929885832,-0.06063659146964273,1.5097769123994076,0.9994338232161448,0.65625
ETTh1,720,1,0,128,0.40564513060807883,-1.1976955179583193,1.1413180906472586,0.4939335978441761,0.4921875
ETTh1,720,1,1,128,1.2206208746436853,-0.3838804364009185,1.0097399067405366,0.21464003244304752,0.609375
