backbone,arm_id,dataset,horizon,mse,mae,seed,checkpoint_sha256,test_access_date,test_role,test_tuned,checkpoint_retrained
patchtst_style,patchtst_iscf_bsca,Weather,96,0.15307711764265566,0.18813394178461693,2021,4f1611138973120f036ba8bb4a7040d67d31498fa73cb8395fde59ce4c565884,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,Weather,192,0.1941664785328356,0.23003792400233247,2021,4f1611138973120f036ba8bb4a7040d67d31498fa73cb8395fde59ce4c565884,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,Weather,336,0.2456021846147501,0.2702370602648295,2021,4f1611138973120f036ba8bb4a7040d67d31498fa73cb8395fde59ce4c565884,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,Weather,720,0.3212300973377608,0.3228986937996015,2021,4f1611138973120f036ba8bb4a7040d67d31498fa73cb8395fde59ce4c565884,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm1,96,0.2878700809641686,0.3359208127326385,2021,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm1,192,0.33189469087681733,0.3620796637598506,2021,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm1,336,0.3761160709349059,0.3857919519861816,2021,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm1,720,0.4361314740177168,0.4178112622596119,2021,b971218680fd0a07cebfd4c34e26579d4aefd2ab55c1e437640322a8d8fa9751,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm2,96,0.1702301956431334,0.25445734288885413,2021,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm2,192,0.22897837228654966,0.2938304585641238,2021,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm2,336,0.27878404955079816,0.32646496650347295,2021,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf_bsca,ETTm2,720,0.3625713450438061,0.37894638234593253,2021,cc4074cf030158b9b0b490a9e5f88f6098ed051a7bc4d35d79ee31a48c2ece3a,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,Weather,96,0.15421713098425138,0.1907629248149217,2021,96841be6570d8653ee47f27ded4f24adc7afdd29cdbd2932f7018fdd1ed0ebe3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,Weather,192,0.19735490844194653,0.23324762831248394,2021,96841be6570d8653ee47f27ded4f24adc7afdd29cdbd2932f7018fdd1ed0ebe3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,Weather,336,0.24962708114338752,0.27330405183025236,2021,96841be6570d8653ee47f27ded4f24adc7afdd29cdbd2932f7018fdd1ed0ebe3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,Weather,720,0.32670096507489327,0.3260272431607632,2021,96841be6570d8653ee47f27ded4f24adc7afdd29cdbd2932f7018fdd1ed0ebe3,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm1,96,0.2835898575916123,0.33724452468862587,2021,173b8494624b22a9c25bf87dee0006cc4f1ab6eb1c866c9476711ae7ac9a28c1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
patchtst_style,patchtst_iscf,ETTm1,192,0.3269072528456213,0.36379421740284584,2021,173b8494624b22a9c25bf87dee0006cc4f1ab6eb1c866c9476711ae7ac9a28c1,2026-08-14,primary-mechanism-effectiveness-and-paper-benchmark,False,True
