backbone,arm_id,dataset,mean_mse,mean_mae,cell_count
dlinear_style,dlinear_iscf,ETTh1,0.4595312697706187,0.4554601790555436,4
dlinear_style,dlinear_iscf,ETTh2,0.8194955200601555,0.6111060316239891,4
dlinear_style,dlinear_iscf,ETTm1,0.34422724608224464,0.3702899322276665,4
dlinear_style,dlinear_iscf,ETTm2,0.28292155753086023,0.33860712815123584,4
dlinear_style,dlinear_iscf,Weather,0.22867388527182042,0.2572712061880894,4
dlinear_style,dlinear_iscf_bsca,ETTh1,0.46529414838750377,0.45787974439371215,4
dlinear_style,dlinear_iscf_bsca,ETTh2,0.6820756877484612,0.5615178975411865,4
dlinear_style,dlinear_iscf_bsca,ETTm1,0.35531647295095037,0.37589542108828594,4
dlinear_style,dlinear_iscf_bsca,ETTm2,0.27864016288934557,0.332843252962461,4
dlinear_style,dlinear_iscf_bsca,Weather,0.23181460544591395,0.2587493421804554,4
dlinear_style,dlinear_original,ETTh1,0.46818521793637596,0.4654041331065555,4
dlinear_style,dlinear_original,ETTh2,1.0094257821631203,0.6983238472260054,4
dlinear_style,dlinear_original,ETTm1,0.3533296352863923,0.3716958489011356,4
dlinear_style,dlinear_original,ETTm2,0.31093316839250945,0.3541276702374567,4
dlinear_style,dlinear_original,Weather,0.24626303299575872,0.27443754979475754,4
patchtst_style,patchtst_iscf,ETTh1,0.4070304106690542,0.4238422190246619,4
patchtst_style,patchtst_iscf,ETTh2,0.32660817351895943,0.3684996375209973,4
patchtst_style,patchtst_iscf,ETTm1,0.35316798786349335,0.3774445335169484,4
patchtst_style,patchtst_iscf,ETTm2,0.26569187719409254,0.3171382548074859,4
patchtst_style,patchtst_iscf,Weather,0.23197502141111967,0.2558354620296053,4
patchtst_style,patchtst_iscf_bsca,ETTh1,0.3998196160052067,0.41623119601059355,4
patchtst_style,patchtst_iscf_bsca,ETTh2,0.31603812950866,0.36242557379356904,4
patchtst_style,patchtst_iscf_bsca,ETTm1,0.35800307919840213,0.37540092268457065,4
patchtst_style,patchtst_iscf_bsca,ETTm2,0.2601409906310718,0.3134247875755959,4
patchtst_style,patchtst_iscf_bsca,Weather,0.22851896953200054,0.2528269049628451,4
patchtst_style,patchtst_original,ETTh1,0.3944725883282434,0.4163535392641513,4
patchtst_style,patchtst_original,ETTh2,0.3106083499058316,0.3605377257374265,4
patchtst_style,patchtst_original,ETTm1,0.3584157738081862,0.375184875774802,4
patchtst_style,patchtst_original,ETTm2,0.2589857375308403,0.31375826232082565,4
patchtst_style,patchtst_original,Weather,0.2286663697420997,0.25341201829297344,4
